run,beta_p,method,precision,accuracy
1,0.7,Constrained PIP,0.790450928,0.849440716
1,0.72,Constrained PIP,0.800546448,0.84966443
1,0.74,Constrained PIP,0.795148248,0.849440716
1,0.76,Constrained PIP,0.769035533,0.84787472
1,0.78,Constrained PIP,0.785123967,0.846756152
1,0.8,Constrained PIP,0.829850746,0.849888143
1,0.82,Constrained PIP,0.837349398,0.850559284
1,0.84,Constrained PIP,0.845070423,0.844295302
1,0.86,Constrained PIP,0.862068966,0.83803132
1,0.88,Constrained PIP,0.882608696,0.839821029
1,0.9,Constrained PIP,0.9030837,0.841387025
1,0.92,Constrained PIP,0.921568627,0.838926174
1,0.94,Constrained PIP,0.943298969,0.838926174
1,0.96,Constrained PIP,0.963636364,0.834675615
1,0.98,Constrained PIP,0.985611511,0.83064877
2,0.7,Constrained PIP,0.801630435,0.850111857
2,0.72,Constrained PIP,0.797402597,0.851677852
2,0.74,Constrained PIP,0.798913043,0.84966443
2,0.76,Constrained PIP,0.814516129,0.852796421
2,0.78,Constrained PIP,0.803814714,0.85033557
2,0.8,Constrained PIP,0.828571429,0.851901566
2,0.82,Constrained PIP,0.824404762,0.849217002
2,0.84,Constrained PIP,0.842105263,0.846979866
2,0.86,Constrained PIP,0.861209964,0.845861298
2,0.88,Constrained PIP,0.90990991,0.841163311
2,0.9,Constrained PIP,0.907079646,0.841610738
2,0.92,Constrained PIP,0.923809524,0.840268456
2,0.94,Constrained PIP,0.95625,0.83310962
2,0.96,Constrained PIP,0.963855422,0.834899329
2,0.98,Constrained PIP,0.986013986,0.831543624
3,0.7,Constrained PIP,0.804289544,0.851230425
3,0.72,Constrained PIP,0.814606742,0.850559284
3,0.74,Constrained PIP,0.8101983,0.849440716
3,0.76,Constrained PIP,0.801652893,0.849440716
3,0.78,Constrained PIP,0.804469274,0.849217002
3,0.8,Constrained PIP,0.807692308,0.850559284
3,0.82,Constrained PIP,0.823880597,0.848993289
3,0.84,Constrained PIP,0.843137255,0.847427293
3,0.86,Constrained PIP,0.861538462,0.842505593
3,0.88,Constrained PIP,0.890410959,0.838702461
3,0.9,Constrained PIP,0.906542056,0.839373602
3,0.92,Constrained PIP,0.930348259,0.839149888
3,0.94,Constrained PIP,0.945945946,0.837360179
3,0.96,Constrained PIP,0.962025316,0.83310962
3,0.98,Constrained PIP,0.98,0.832662192
4,0.7,Constrained PIP,0.796561605,0.846756152
4,0.72,Constrained PIP,0.795252226,0.844966443
4,0.74,Constrained PIP,0.798833819,0.846308725
4,0.76,Constrained PIP,0.798270893,0.846756152
4,0.78,Constrained PIP,0.813084112,0.84541387
4,0.8,Constrained PIP,0.82208589,0.847427293
4,0.82,Constrained PIP,0.827476038,0.846308725
4,0.84,Constrained PIP,0.841911765,0.842058166
4,0.86,Constrained PIP,0.863636364,0.839821029
4,0.88,Constrained PIP,0.881355932,0.840715884
4,0.9,Constrained PIP,0.907407407,0.839821029
4,0.92,Constrained PIP,0.92195122,0.839149888
4,0.94,Constrained PIP,0.945355191,0.836912752
4,0.96,Constrained PIP,0.964912281,0.836017897
4,0.98,Constrained PIP,0.98125,0.834899329
1,,Unconstrained PIP,0.742081448,0.848322148
2,,Unconstrained PIP,0.810810811,0.851901566
3,,Unconstrained PIP,0.78680203,0.851006711
4,,Unconstrained PIP,0.77027027,0.845190157
1,,Logistic Regression,0.714673913,0.835794183
1,,Linear SVM,0.800829876,0.832885906
1,,Perceptron,0,0.800447427
1,,Ridge,0.714765101,0.829082774
2,,Logistic Regression,0.736543909,0.837807606
2,,Linear SVM,0.732258065,0.832662192
2,,Perceptron,0,0.800447427
2,,Ridge,0.754716981,0.83064877
3,,Logistic Regression,0.733509235,0.840044743
3,,Linear SVM,0.718934911,0.833557047
3,,Perceptron,0,0.800447427
3,,Ridge,0.753472222,0.83310962
4,,Logistic Regression,0.713483146,0.834451902
4,,Linear SVM,0.723472669,0.831543624
4,,Perceptron,0,0.800447427
4,,Ridge,0.765799257,0.832438479
