run,beta_p,method,precision,accuracy
1,0.71,Constrained PIP,0.776887872,0.897588407
1,0.72,Constrained PIP,0.778029445,0.898345409
1,0.73,Constrained PIP,0.779205607,0.896939548
1,0.74,Constrained PIP,0.782035928,0.896182546
1,0.75,Constrained PIP,0.788834951,0.896723262
1,0.76,Constrained PIP,0.78077374,0.897047691
1,0.77,Constrained PIP,0.781839623,0.896939548
1,0.78,Constrained PIP,0.793522267,0.892289391
1,0.79,Constrained PIP,0.8,0.895209257
1,0.8,Constrained PIP,0.803571429,0.889369525
1,0.81,Constrained PIP,0.817771084,0.89088353
1,0.82,Constrained PIP,0.830769231,0.891748675
1,0.83,Constrained PIP,0.830088496,0.885584514
1,0.84,Constrained PIP,0.840983607,0.890234671
1,0.85,Constrained PIP,0.853107345,0.8858008
2,0.71,Constrained PIP,0.779359431,0.896182546
2,0.72,Constrained PIP,0.781362007,0.896182546
2,0.73,Constrained PIP,0.789221557,0.897480264
2,0.74,Constrained PIP,0.78271028,0.897588407
2,0.75,Constrained PIP,0.782035928,0.896182546
2,0.76,Constrained PIP,0.784382284,0.89802098
2,0.77,Constrained PIP,0.787410926,0.897588407
2,0.78,Constrained PIP,0.793190416,0.895533687
2,0.79,Constrained PIP,0.801068091,0.894019682
2,0.8,Constrained PIP,0.805970149,0.894019682
2,0.81,Constrained PIP,0.823196605,0.894668541
2,0.82,Constrained PIP,0.826271186,0.895209257
2,0.83,Constrained PIP,0.832605531,0.894668541
2,0.84,Constrained PIP,0.840490798,0.89326268
2,0.85,Constrained PIP,0.851913478,0.890991673
3,0.71,Constrained PIP,0.792041078,0.894452255
3,0.72,Constrained PIP,0.773455378,0.896939548
3,0.73,Constrained PIP,0.761226725,0.896831405
3,0.74,Constrained PIP,0.784386617,0.894884828
3,0.75,Constrained PIP,0.776119403,0.89326268
3,0.76,Constrained PIP,0.771867612,0.894992971
3,0.77,Constrained PIP,0.781862745,0.894992971
3,0.78,Constrained PIP,0.802486188,0.892613821
3,0.79,Constrained PIP,0.79869281,0.894668541
3,0.8,Constrained PIP,0.809869376,0.891424246
3,0.81,Constrained PIP,0.816058394,0.892073105
3,0.82,Constrained PIP,0.827531646,0.890018384
3,0.83,Constrained PIP,0.836276083,0.8905591
3,0.84,Constrained PIP,0.842931937,0.887747378
3,0.85,Constrained PIP,0.850258176,0.889261382
4,0.71,Constrained PIP,0.782035928,0.896182546
4,0.72,Constrained PIP,0.781927711,0.895858116
4,0.73,Constrained PIP,0.763904654,0.895533687
4,0.74,Constrained PIP,0.782190132,0.895966259
4,0.75,Constrained PIP,0.783913565,0.896398832
4,0.76,Constrained PIP,0.796226415,0.896182546
4,0.77,Constrained PIP,0.791510612,0.895749973
4,0.78,Constrained PIP,0.78986403,0.895966259
4,0.79,Constrained PIP,0.804166667,0.892613821
4,0.8,Constrained PIP,0.805630027,0.894560398
4,0.81,Constrained PIP,0.816326531,0.892181248
4,0.82,Constrained PIP,0.82183908,0.893695253
4,0.83,Constrained PIP,0.832572298,0.892505678
4,0.84,Constrained PIP,0.835051546,0.894452255
4,0.85,Constrained PIP,0.834365325,0.891964962
1,,Unconstrained PIP,0.768115942,0.897263978
2,,Unconstrained PIP,0.766776678,0.89769655
3,,Unconstrained PIP,0.78375,0.894344112
4,,Unconstrained PIP,0.755237045,0.8953174
1,,Logistic Regression,0.743478261,0.881583216
1,,Linear SVM,0.74151436,0.885260084
1,,Perceptron,0.69460501,0.888936953
1,,Ridge,0.787418655,0.87390505
2,,Logistic Regression,0.754120879,0.885260084
2,,Linear SVM,0.75255102,0.888071807
2,,Perceptron,0.740926158,0.886882232
2,,Ridge,0.799544419,0.873688764
3,,Logistic Regression,0.748554913,0.882448362
3,,Linear SVM,0.743725231,0.885151941
3,,Perceptron,0,0.845247107
3,,Ridge,0.786780384,0.874337623
4,,Logistic Regression,0.747503566,0.882772791
4,,Linear SVM,0.742444152,0.885151941
4,,Perceptron,0.441049745,0.81269601
4,,Ridge,0.794930876,0.872931762
