run,type,beta_p,objective_value,optimality_gap,time,w,b,gamma_in_obj,train_acc_margin,train_accuracy,train_precision,train_recall,test_acc_margin,test_accuracy,test_precision,test_recall,violations_assumption_1,violations_assumption_2,violations_feasibilitytol,z_integrality_vio
1,shrinkage,0.693478261,0.883097221,0.039064413,714.9496241,"[0.0, -0.37329932467812815, 0.0, 0.08022310500184443, -0.16880154191182628, 0.0, 0.10580403184338472, -0.545512699323663, -1.5691791930893322, 5.200306079943682, 0.0, -0.07850538015577058, -0.08612702184920978, 0.0931727757092371, 0.09198273361645226, 0.0363778139505907, 1.5149816772933378, -0.0557266216335397]",-6.892448654,0,0.883097221,0.888288093,0.782670455,0.385045423,0.88323062,0.891015245,0.785425101,0.406708595,0,0,0,0
1,shrinkage,0.703478261,0.882880934,0.038951494,1208.62747,"[0.34075391270567756, -0.27658918892838374, -0.2856061127587389, -0.05334075497876922, -0.11640862911000678, 0.037937788221158675, 0.09558730063573467, -0.7149524220251432, -1.4754259526867066, 4.5070695306573585, 0.2203746046018013, 0.0, -0.06828616628404469, 0.04505373208200983, 0.17692424463538897, 0.022069252267354494, 1.277264506616334, 0.2863559008053857]",-5.686031893,0,0.882880934,0.889693955,0.779591837,0.400419287,0.88290626,0.893934479,0.790697674,0.427672956,0,0,0,0
1,shrinkage,0.713478261,0.880826214,0.03990178,693.9227214,"[0.6634445076127823, -0.21134037706697006, 0.0019217669818644312, -0.0430742110671795, -0.008014265100367634, 0.49340313916442324, 0.0, 0.0, -1.9174224844909942, 4.942693765393645, 0.0, 0.0, 0.0, 0.0026188952249763526, -0.0437493979006098, 0.05292454659165874, 1.5469319370053116, 0.07246070639921823]",-6.862928974,0,0.880826214,0.888288093,0.783475783,0.384346611,0.88323062,0.890366526,0.783673469,0.402515723,0,0,0,0
1,shrinkage,0.723478261,0.88342165,0.039050067,948.9575601,"[0.027125806331867584, -0.41235805215553556, -0.007159131820056339, 0.0879210262305837, -0.15811539289807128, 0.0, -0.00021938300686484083, 0.0, -2.3688893959817854, 4.968625286185069, 0.0, -0.01783684987914125, -0.27524591808596666, 0.0, -0.09270184838154892, -0.04332006549409927, 1.5400389468160571, 0.0004428967333570611]",-6.434959965,0,0.88342165,0.889910241,0.783264746,0.399021663,0.885825495,0.891988323,0.78125,0.419287212,0,0,0,0
1,shrinkage,0.733478261,0.884611225,0.038264059,992.1783149,"[0.0, -0.3869077269453127, 0.020271982267895616, -0.00789604168393332, -0.18925290512567283, 0.0, 0.039838848711372776, -0.34943555266055526, 0.0, 5.942200738119438, 0.05290638545502624, 0.35396339419677325, -0.09890159622905514, 0.05239612612134259, -0.0330694967786318, -0.005983584551422894, 2.4238000054725823, 0.04317561568098682]",-6.368121816,0,0.884611225,0.889802098,0.77688172,0.403913347,0.887122932,0.892637042,0.787401575,0.419287212,0,0,0,0
1,shrinkage,0.743478261,0.882664648,0.039206077,936.7038014,"[0.2510553731821332, -0.5190115862361422, -0.04839947251092003, -0.0950650619162321, -0.04684521168127276, 0.4155808746890939, -0.003043141269883698, -0.4184578042350111, -1.8585619574726557, 4.641854578412582, -0.005088597870503975, 0.0, 0.0, 0.03403921018308864, 0.0193206454256849, 0.031654184959627685, 1.3164846472655451, 0.2955376526896263]",-6.02128034,0,0.882664648,0.889910241,0.780952381,0.401118099,0.882581901,0.893285761,0.786821705,0.42557652,0,0,0,0
1,shrinkage,0.753478261,0.883637937,0.038795741,1064.26415,"[0.5239404983871735, -0.5584992422162144, 0.00398388420499395, 0.21522516141112696, -0.03181609567206312, 0.01863702026243069, 0.1319285707280478, 0.0, -0.5267333589380534, 5.522912540280367, 0.0, 0.028682243791575694, -0.0941935570384877, -0.0006187536175287297, 0.13766301454417224, 0.31642248850520055, 1.6055877466673982, 0.28315582373516146]",-6.092855993,0,0.883637937,0.888936953,0.772972973,0.399720475,0.884852416,0.892961401,0.785992218,0.423480084,0,0,0,0
1,shrinkage,0.763478261,0.881475073,0.039749724,1249.636054,"[0.9335504808759278, -0.2743121910260662, -0.02420086948908029, 0.057688005982686974, -0.01578381254729866, 0.05266519284226856, 0.0, -0.006983565618519094, -0.9249192417144982, 5.106967879860069, 0.0, 0.0, 0.00939709125480448, 0.10826835912627075, -0.15542864268671153, 0.4222350527868155, 1.5732267489291463, 0.3343728652598372]",-6.67012216,0,0.881475073,0.886990375,0.783823529,0.372466806,0.881933182,0.88842037,0.780590717,0.387840671,0,0,0,0
1,shrinkage,0.773478261,0.883637937,0.038673357,1037.158988,"[-0.03711061249097708, -0.5405238481012786, -0.008412745565893618, -0.06827446343537928, -0.08834296250502992, 0.0036254382001273547, 0.05164312436926593, 0.0, -2.363576913460133, 4.87116870440812, 0.0, 0.0, -0.15685586443724703, -0.0429907037787811, -0.02024293289328658, -0.13926325104511975, 1.404206953308993, 0.2037614820003652]",-6.281600851,0,0.883637937,0.890018384,0.784340659,0.399021663,0.883879338,0.892312682,0.782101167,0.421383648,0,0,0,0
1,shrinkage,0.783478261,0.881691359,0.039739973,1029.664587,"[0.06969320729281285, -0.6656254203099415, -0.024866175411219375, 0.002622628875418164, -0.04437382814637004, 0.0, 0.0, -1.8672616883029585, -2.346902160876186, 3.672328688442117, 0.16141089655438792, 0.08580023035284791, 0.0, 0.0, 0.10575151521611484, -0.05727711149429887, 0.7960777750712215, 0.10000867365410852]",-5.483652425,0,0.881691359,0.891316103,0.787061995,0.408106219,0.882257541,0.890366526,0.77254902,0.412997904,0,0,0,0
