run,beta_p,method,precision,accuracy
1,0.92,Constrained PIP,0.939449541,0.930696535
1,0.925,Constrained PIP,0.939449541,0.930696535
1,0.93,Constrained PIP,0.939412485,0.930346517
1,0.935,Constrained PIP,0.939412485,0.930346517
1,0.94,Constrained PIP,0.942011104,0.929296465
1,0.945,Constrained PIP,0.945341615,0.929646482
1,0.95,Constrained PIP,0.950251889,0.928246412
1,0.955,Constrained PIP,0.955242967,0.926146307
1,0.96,Constrained PIP,0.960078534,0.919845992
1,0.965,Constrained PIP,0.965517241,0.919145957
1,0.97,Constrained PIP,0.970068027,0.911445572
2,0.92,Constrained PIP,0.940961656,0.934896745
2,0.925,Constrained PIP,0.940389294,0.934546727
2,0.93,Constrained PIP,0.940961656,0.934896745
2,0.935,Constrained PIP,0.940961656,0.934896745
2,0.94,Constrained PIP,0.940997567,0.935246762
2,0.945,Constrained PIP,0.945331695,0.935246762
2,0.95,Constrained PIP,0.9501868,0.933846692
2,0.955,Constrained PIP,0.955006337,0.930346517
2,0.96,Constrained PIP,0.960312297,0.92299615
2,0.965,Constrained PIP,0.965333333,0.916345817
2,0.97,Constrained PIP,0.970006817,0.91039552
3,0.92,Constrained PIP,0.944649446,0.933846692
3,0.925,Constrained PIP,0.944649446,0.933846692
3,0.93,Constrained PIP,0.944649446,0.933846692
3,0.935,Constrained PIP,0.94193154,0.933846692
3,0.94,Constrained PIP,0.944068838,0.933496675
3,0.945,Constrained PIP,0.945197044,0.933846692
3,0.95,Constrained PIP,0.95,0.931746587
3,0.955,Constrained PIP,0.955357143,0.927546377
3,0.96,Constrained PIP,0.960260586,0.922296115
3,0.965,Constrained PIP,0.965108624,0.922296115
3,0.97,Constrained PIP,0.970489604,0.91879594
4,0.92,Constrained PIP,0.932974267,0.93419671
4,0.925,Constrained PIP,0.938106796,0.933146657
4,0.93,Constrained PIP,0.938106796,0.933146657
4,0.935,Constrained PIP,0.938106796,0.933146657
4,0.94,Constrained PIP,0.941967013,0.93419671
4,0.945,Constrained PIP,0.945027795,0.932096605
4,0.95,Constrained PIP,0.950376884,0.929646482
4,0.955,Constrained PIP,0.955910543,0.92719636
4,0.96,Constrained PIP,0.960338101,0.923346167
4,0.965,Constrained PIP,0.965356429,0.916695835
4,0.97,Constrained PIP,0.970149254,0.912845642
1,,Unconstrained PIP,0.939412485,0.930346517
2,,Unconstrained PIP,0.941033435,0.93559678
3,,Unconstrained PIP,0.947858473,0.93279664
4,,Unconstrained PIP,0.941967013,0.93419671
1,,Logistic Regression,0.937766931,0.9299965
1,,Linear SVM,0.939061548,0.932096605
1,,Perceptron,0.77302944,0.830241512
1,,Ridge,0.92695962,0.931046552
2,,Logistic Regression,0.938294011,0.934896745
2,,Linear SVM,0.938294011,0.934896745
2,,Perceptron,0.95390525,0.924046202
2,,Ridge,0.927347903,0.93419671
3,,Logistic Regression,0.939707674,0.933146657
3,,Linear SVM,0.942839582,0.932096605
3,,Perceptron,0.958224543,0.919145957
3,,Ridge,0.931055156,0.931046552
4,,Logistic Regression,0.938898972,0.93559678
4,,Linear SVM,0.938294011,0.934896745
4,,Perceptron,0.899255867,0.9159958
4,,Ridge,0.931547619,0.935246762
