dataset,split,method,beta,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec,train_recall,test_recall
hmeq,1,Full MIP ,0.8,0.827516779,0.181400378,311,3601,0,0.828,0.815,0.832,0.823,0.844,0.736,0.194,0.178
hmeq,1,Early MIP (T300),0.8,0.827516779,0.20312077,644,,0,0.828,0.815,0.832,0.823,0.844,0.736,0.194,0.178
hmeq,1,Early MIP (T600),0.8,0.827516779,0.20312077,928,,0,0.828,0.815,0.832,0.823,0.844,0.736,0.194,0.178
hmeq,1,Fixed PIP,0.8,0.824161074,0.082519001,376,,0,0.824,0.817,0.84,0.838,0.829,0.804,0.25,0.249
hmeq,1,Shrinkage PIP,0.8,0.826621924,0.08173207,905,,0,0.827,0.819,0.836,0.836,0.812,0.785,0.232,0.246
hmeq,2,Full MIP ,0.8,0.827516779,0.185455529,339,3601,0,0.828,0.819,0.831,0.827,0.843,0.767,0.187,0.189
hmeq,2,Early MIP (T300),0.8,0.827516779,0.202165644,656,,0,0.828,0.819,0.831,0.827,0.843,0.767,0.187,0.189
hmeq,2,Early MIP (T600),0.8,0.827516779,0.202165644,967,,0,0.828,0.819,0.831,0.827,0.843,0.767,0.187,0.189
hmeq,2,Fixed PIP,0.8,0.822147651,0.083809524,271,,0,0.822,0.812,0.841,0.84,0.802,0.784,0.272,0.269
hmeq,2,Shrinkage PIP,0.8,0.825279642,0.081865004,784,,0,0.825,0.823,0.835,0.838,0.838,0.857,0.215,0.222
hmeq,3,Full MIP ,0.8,0.825279642,0.19192193,1594,3601,0,0.825,0.819,0.832,0.826,0.818,0.75,0.206,0.192
hmeq,3,Early MIP (T300),0.8,0.824832215,0.205525839,430,,0,0.825,0.819,0.832,0.827,0.813,0.753,0.204,0.195
hmeq,3,Early MIP (T600),0.8,0.824832215,0.205525839,734,,0,0.825,0.819,0.832,0.827,0.813,0.753,0.204,0.195
hmeq,3,Fixed PIP,0.8,0.822818792,0.082381729,301,,0,0.823,0.817,0.843,0.838,0.831,0.816,0.265,0.239
hmeq,3,Shrinkage PIP,0.8,0.824384787,0.082767978,607,,0,0.824,0.821,0.841,0.837,0.844,0.814,0.249,0.236
hmeq,4,Full MIP ,0.8,0.825055928,0.194956616,656,3601,0,0.825,0.824,0.831,0.834,0.819,0.845,0.197,0.202
hmeq,4,Early MIP (T300),0.8,0.824608501,0.206554979,631,,0,0.825,0.826,0.832,0.834,0.83,0.836,0.197,0.205
hmeq,4,Early MIP (T600),0.8,0.824608501,0.206554979,1330,,0,0.825,0.826,0.832,0.834,0.83,0.836,0.197,0.205
hmeq,4,Fixed PIP,0.8,0.825055928,0.061279826,496,,0,0.825,0.819,0.836,0.84,0.813,0.863,0.229,0.232
hmeq,4,Shrinkage PIP,0.8,0.825950783,0.080985915,678,,0,0.826,0.815,0.838,0.836,0.851,0.853,0.231,0.215
hmeq,1,Full MIP ,0.85,0.824161074,0.18946797,1568,3601,0,0.824,0.822,0.83,0.828,0.884,0.873,0.17,0.162
hmeq,1,Early MIP (T300),0.85,0.821700224,0.211011355,323,,0,0.822,0.821,0.828,0.83,0.883,0.877,0.16,0.168
hmeq,1,Early MIP (T600),0.85,0.823489933,0.190437381,1999,,0,0.823,0.822,0.829,0.83,0.89,0.877,0.164,0.168
hmeq,1,Fixed PIP,0.85,0.827069351,0.080335407,603,,0,0.827,0.824,0.835,0.834,0.861,0.818,0.209,0.212
hmeq,1,Shrinkage PIP,0.85,0.827293065,0.0805841,1048,,0,0.827,0.823,0.835,0.834,0.858,0.821,0.21,0.215
hmeq,2,Full MIP ,0.85,0.826845638,0.191287879,531,3601,0,0.827,0.819,0.834,0.831,0.856,0.792,0.201,0.205
hmeq,2,Early MIP (T300),0.85,0.826845638,0.202471719,839,,0,0.827,0.819,0.834,0.831,0.856,0.792,0.201,0.205
hmeq,2,Early MIP (T600),0.85,0.826845638,0.202380952,1132,,0,0.827,0.819,0.834,0.831,0.856,0.792,0.201,0.205
hmeq,2,Fixed PIP,0.85,0.82393736,0.083084442,363,,0,0.824,0.822,0.837,0.838,0.856,0.848,0.22,0.226
hmeq,2,Shrinkage PIP,0.85,0.822818792,0.082925503,636,,0,0.823,0.823,0.836,0.833,0.882,0.853,0.209,0.195
