dataset,split,method,beta,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec,train_recall,test_recall
ospi,1,Full MIP ,0.77,0.874878339,0.141863554,2963,3601,0,0.875,0.872,0.877,0.876,0.803,0.782,0.273,0.279
ospi,1,Early MIP (T300),0.77,0.87390505,0.143135275,860,,0,0.874,0.871,0.877,0.877,0.809,0.790,0.272,0.277
ospi,1,Early MIP (T600),0.77,0.87390505,0.143135275,1144,,0,0.874,0.871,0.877,0.877,0.809,0.790,0.272,0.277
ospi,1,Fixed PIP,0.77,0.88136693,0.039631902,581,,0,0.881,0.880,0.887,0.889,0.785,0.783,0.375,0.394
ospi,1,Shrinkage PIP,0.77,0.881583216,0.039622179,986,,0,0.882,0.884,0.889,0.890,0.788,0.783,0.385,0.400
ospi,2,Full MIP ,0.77,0.881475073,0.133409158,1434,3601,0,0.881,0.872,0.888,0.880,0.835,0.785,0.340,0.306
ospi,2,Early MIP (T300),0.77,0.881475073,0.133409158,1765,,0,0.881,0.872,0.888,0.880,0.835,0.785,0.340,0.306
ospi,2,Early MIP (T600),0.77,0.881475073,0.133409158,2022,,0,0.881,0.872,0.888,0.880,0.835,0.785,0.340,0.306
ospi,2,Fixed PIP,0.77,0.8858008,0.037968502,674,,0,0.886,0.878,0.893,0.885,0.792,0.743,0.416,0.388
ospi,2,Shrinkage PIP,0.77,0.885476371,0.03810415,1101,,0,0.885,0.877,0.893,0.885,0.786,0.737,0.424,0.394
ospi,3,Full MIP ,0.77,0.878122634,0.137807104,3601,3601,0,0.878,0.871,0.881,0.878,0.800,0.795,0.307,0.285
ospi,3,Early MIP (T300),0.77,0.877365632,0.138788818,719,,0,0.877,0.872,0.880,0.879,0.799,0.798,0.303,0.289
ospi,3,Early MIP (T600),0.77,0.877365632,0.138788818,1333,,0,0.877,0.872,0.880,0.879,0.799,0.798,0.303,0.289
ospi,3,Fixed PIP,0.77,0.883313507,0.038687561,602,,0,0.883,0.875,0.889,0.886,0.784,0.773,0.392,0.371
ospi,3,Shrinkage PIP,0.77,0.884611225,0.038386308,871,,0,0.885,0.878,0.890,0.891,0.777,0.783,0.405,0.409
ospi,4,Full MIP ,0.77,0.877149346,0.139140004,1151,3601,0,0.877,0.882,0.888,0.891,0.785,0.772,0.381,0.419
ospi,4,Early MIP (T300),0.77,0.877149346,0.139140004,1443,,0,0.877,0.882,0.888,0.891,0.785,0.772,0.381,0.419
ospi,4,Early MIP (T600),0.77,0.877149346,0.139140004,1672,,0,0.877,0.882,0.888,0.891,0.785,0.772,0.381,0.419
ospi,4,Fixed PIP,0.77,0.879528496,0.040329522,441,,0,0.880,0.879,0.887,0.889,0.783,0.755,0.371,0.419
ospi,4,Shrinkage PIP,0.77,0.885043798,0.037878788,1155,,0,0.885,0.883,0.892,0.890,0.788,0.740,0.410,0.442
ospi,1,Full MIP ,0.79,0.875959771,0.14031815,2531,3601,0,0.876,0.873,0.880,0.878,0.808,0.787,0.295,0.294
ospi,1,Early MIP (T300),0.79,0.874878339,0.141727691,784,,0,0.875,0.872,0.879,0.878,0.811,0.785,0.287,0.291
ospi,1,Early MIP (T600),0.79,0.875310912,0.141163457,1581,,0,0.875,0.872,0.880,0.877,0.811,0.783,0.290,0.287
ospi,1,Fixed PIP,0.79,0.879420353,0.040703394,440,,0,0.879,0.879,0.889,0.891,0.791,0.795,0.382,0.398
ospi,1,Shrinkage PIP,0.79,0.883637937,0.038795741,960,,0,0.884,0.884,0.888,0.890,0.798,0.799,0.372,0.384
ospi,2,Full MIP ,0.79,0.878230778,0.137121448,2273,3601,0,0.878,0.872,0.885,0.879,0.833,0.785,0.320,0.298
ospi,2,Early MIP (T300),0.79,0.877690062,0.137821991,781,,0,0.878,0.871,0.885,0.878,0.834,0.782,0.317,0.294
ospi,2,Early MIP (T600),0.79,0.877690062,0.137821991,1291,,0,0.878,0.871,0.885,0.878,0.834,0.782,0.317,0.294
