run,type,beta_p,objective_value,optimality_gap,time,w,b,gamma_in_obj,train_acc_margin,train_accuracy,train_precision,train_recall,test_acc_margin,test_accuracy,test_precision,test_recall,violations_assumption_1,violations_assumption_2,violations_feasibilitytol,z_integrality_vio
1,full_mip,0.98,0.8463423171158561,0.16501240694789043,1199.3985390663147,"[0.0, -0.976139045176968, -8.74577483156578, -0.11083584519366287, 0.0, -0.06621767872120511, -0.10103259934238473]",-2.8842951582078635,0.0,0.8463423171158558,0.8760938046902345,0.9804951237809453,0.7993883792048929,0.8226652675760755,0.8688352570828961,0.972972972972973,0.7926605504587156,0,0,0,0
1,full_mip_t300,0.98,0.845992299614981,0.17087298303682213,503.1735370159149,"[-0.10883446744419137, -0.6293132152441213, -9.01643321853194, -0.148256473759647, -0.009440549012587701, 0.0, -0.08772207600751117]",-2.8859134484382327,0.0,0.8459922996149808,0.8760938046902345,0.9804951237809453,0.7993883792048929,0.8237145855194123,0.8677859391395593,0.9707865168539326,0.7926605504587156,0,0,0,0
1,full_mip_t600,0.98,0.845992299614981,0.16963177492759582,806.6687440872192,"[-0.10883446744419137, -0.6293132152441213, -9.01643321853194, -0.148256473759647, -0.009440549012587701, 0.0, -0.08772207600751117]",-2.8859134484382327,0.0,0.8459922996149808,0.8760938046902345,0.9804951237809453,0.7993883792048929,0.8237145855194123,0.8677859391395593,0.9707865168539326,0.7926605504587156,0,0,0,0
1,fixed,0.98,0.8442422121106057,0.06965174129353209,305.8977539539337,"[0.0, -1.2877481039412304, -6.701929899724468, 0.0, -1.806975172361553, 0.0, -0.20334682397274786]",-2.3857396930136665,0.0,0.8442422121106056,0.8764438221911095,0.9805097451274363,0.8,0.8268625393494229,0.8541448058761805,0.9787735849056604,0.7614678899082569,0,0,0,0
1,shrinkage,0.98,0.8438921946097306,0.07051016175860614,891.9446063041687,"[0.0, -3.0828968515157738, -4.1725342906621385, 0.0, -1.573221563703016, -0.9246945453531125, 0.24665274876595902]",-2.522139310921115,0.0,0.8438921946097305,0.8788939446972348,0.9806114839671887,0.8042813455657493,0.8226652675760755,0.8688352570828961,0.972972972972973,0.7926605504587156,0,0,0,0
2,full_mip,0.98,0.83829191459573,0.17536534446764054,1244.6771168708801,"[-0.8574620295688345, -2.2132174085333136, -5.090422530277488, 0.0, -1.3003850040917946, 0.0, -0.53851302752857]",-2.6031823691088185,0.0,0.8382919145957298,0.8708435421771089,0.9802731411229135,0.7902140672782875,0.8310598111227702,0.8677859391395593,0.9883449883449883,0.7779816513761468,0,0,0,0
2,full_mip_t300,0.98,0.8368918445922299,0.18276871601840197,764.8716199398041,"[-1.5183440350155981, -1.8829823501796372, -4.5497966292167655, 0.0, -1.5759970506048633, 0.0, -0.47287993498313496]",-2.5611705102195073,0.0,0.8368918445922297,0.871543577178859,0.9803030303030303,0.7914373088685015,0.8331584470094439,0.8656873032528857,0.986013986013986,0.7761467889908257,0,0,0,0
2,full_mip_t600,0.98,0.8368918445922299,0.18151401087411087,1056.9374310970306,"[-1.5183440350155981, -1.8829823501796372, -4.5497966292167655, 0.0, -1.5759970506048633, 0.0, -0.47287993498313496]",-2.5611705102195073,0.0,0.8368918445922297,0.871543577178859,0.9803030303030303,0.7914373088685015,0.8331584470094439,0.8656873032528857,0.986013986013986,0.7761467889908257,0,0,0,0
2,fixed,0.98,0.83899194959748,0.07509386733416747,391.0599088668823,"[0.0, -0.1898545728854919, -7.933788526757784, 0.0, -1.1264612445137812, 0.0, -0.7498956558429435]",-2.3989400524388698,0.0,0.8389919495974799,0.8725936296814841,0.9803476946334089,0.7932721712538227,0.8300104931794333,0.8646379853095488,0.985981308411215,0.7743119266055046,0,0,0,0
2,shrinkage,0.98,0.83899194959748,0.07217355027117206,758.7779014110565,"[-0.2954401854583482, -0.1959077402883127, -7.418734018046798, 0.0, -1.3469182786117893, -0.05978270649043783, -0.6832170711043127]",-2.3453203663730617,0.0,0.8389919495974799,0.8746937346867344,0.9804364183596689,0.7969418960244649,0.8310598111227702,0.8646379853095488,0.985981308411215,0.7743119266055046,0,0,0,0
3,full_mip,0.98,0.8463423171158561,0.16381663446270167,303.135183095932,"[0.0, -2.8007474370331815, -7.075044249149844, 0.0, -0.023498149643460007, 0.0, 0.10071016417351426]",-2.5998968270007454,0.0,0.8463423171158558,0.8785439271963598,0.9805970149253731,0.8036697247706422,0.8426023084994754,0.881427072402938,0.9675324675324676,0.8201834862385321,0,0,0,0
3,full_mip_t300,0.98,0.8463423171158561,0.16803452394868792,605.2570269107819,"[0.0, -2.8007474370331815, -7.075044249149844, 0.0, -0.023498149643460007, 0.0, 0.10071016417351426]",-2.5998968270007454,0.0,0.8463423171158558,0.8785439271963598,0.9805970149253731,0.8036697247706422,0.8426023084994754,0.881427072402938,0.9675324675324676,0.8201834862385321,0,0,0,0
