dataset,depth,split,method,restricted_class,beta_p,objective_value,optimality_gap,time,gamma,train_acc,test_acc,train_prec,test_prec
blsc,2,1,C-BinOCT,0,0.88,189,0,3.991219997,0,0.596153846,0.592356688,0.893333333,0.88
blsc,2,1,C-BinOCT,0,0.89,189,0,3.227838993,0,0.596153846,0.592356688,0.893333333,0.88
blsc,2,1,C-BinOCT,0,0.9,193,0,2.58275795,0,0.587606838,0.598726115,0.9,0.833333333
blsc,2,1,C-BinOCT,0,0.91,204,0,3.159475088,0,0.564102564,0.573248408,0.925925926,0.904761905
blsc,2,1,C-BinOCT,0,0.92,204,0,2.637001038,0,0.564102564,0.573248408,0.925925926,0.904761905
blsc,2,1,C-BinOCT,0,0.93,217,0,3.058478117,0,0.536324786,0.52866242,0.947368421,0.916666667
blsc,2,1,C-BinOCT,0,0.94,217,0,4.236819983,0,0.536324786,0.52866242,0.947368421,0.916666667
blsc,2,1,C-BinOCT,0,0.95,218,0,3.124668121,0,0.534188034,0.52866242,0.971428571,0.8
blsc,2,1,C-BinOCT,0,0.96,218,0,4.309234858,0,0.534188034,0.52866242,0.971428571,0.8
blsc,2,1,C-BinOCT,0,0.97,218,0,2.557641983,0,0.534188034,0.52866242,0.971428571,0.8
blsc,2,2,C-BinOCT,0,0.88,190,0,2.709949017,0,0.594017094,0.566878981,0.902777778,0.785714286
blsc,2,2,C-BinOCT,0,0.89,190,0,3.402509928,0,0.594017094,0.566878981,0.902777778,0.785714286
blsc,2,2,C-BinOCT,0,0.9,190,0,2.476305008,0,0.594017094,0.566878981,0.902777778,0.785714286
blsc,2,2,C-BinOCT,0,0.91,203,0,4.194931984,0,0.566239316,0.566878981,0.928571429,0.894736842
blsc,2,2,C-BinOCT,0,0.92,203,0,3.355854988,0,0.566239316,0.566878981,0.928571429,0.894736842
blsc,2,2,C-BinOCT,0,0.93,216,0,2.323719025,0,0.538461538,0.522292994,0.973684211,0.833333333
blsc,2,2,C-BinOCT,0,0.94,216,0,4.340451956,0,0.538461538,0.522292994,0.973684211,0.833333333
blsc,2,2,C-BinOCT,0,0.95,216,0,3.228013992,0,0.538461538,0.522292994,0.973684211,0.833333333
blsc,2,2,C-BinOCT,0,0.96,216,0,4.761978149,0,0.538461538,0.522292994,0.973684211,0.833333333
blsc,2,2,C-BinOCT,0,0.97,216,0,2.291365862,0,0.538461538,0.522292994,0.973684211,0.833333333
blsc,2,3,C-BinOCT,0,0.88,188,0,3.53780508,0,0.598290598,0.566878981,0.917808219,0.777777778
blsc,2,3,C-BinOCT,0,0.89,188,0,2.571398973,0,0.598290598,0.566878981,0.917808219,0.777777778
blsc,2,3,C-BinOCT,0,0.9,188,0,2.144265175,0,0.598290598,0.566878981,0.917808219,0.777777778
blsc,2,3,C-BinOCT,0,0.91,188,0,2.054019213,0,0.598290598,0.566878981,0.917808219,0.777777778
blsc,2,3,C-BinOCT,0,0.92,199,0,2.350093126,0,0.574786325,0.541401274,0.933333333,0.866666667
blsc,2,3,C-BinOCT,0,0.93,199,0,3.849890947,0,0.574786325,0.541401274,0.933333333,0.866666667
blsc,2,3,C-BinOCT,0,0.94,203,0,3.30043602,0,0.566239316,0.566878981,0.945454545,0.85
blsc,2,3,C-BinOCT,0,0.95,217,0,4.350563049,0,0.536324786,0.52866242,0.972972973,0.846153846
blsc,2,3,C-BinOCT,0,0.96,217,0,2.096163034,0,0.536324786,0.52866242,0.972972973,0.846153846
blsc,2,3,C-BinOCT,0,0.97,217,0,3.674892902,0,0.536324786,0.52866242,0.972972973,0.846153846
blsc,2,4,C-BinOCT,0,0.88,187,0,4.140712976,0,0.60042735,0.579617834,0.896103896,0.869565217
blsc,2,4,C-BinOCT,0,0.89,187,0,3.540902138,0,0.60042735,0.579617834,0.896103896,0.869565217
blsc,2,4,C-BinOCT,0,0.9,189,0,2.604662895,0,0.596153846,0.573248408,0.918918919,0.769230769
blsc,2,4,C-BinOCT,0,0.91,189,0,2.086205959,0,0.596153846,0.573248408,0.918918919,0.769230769
blsc,2,4,C-BinOCT,0,0.92,200,0,2.62984395,0,0.572649573,0.547770701,0.948275862,0.823529412
blsc,2,4,C-BinOCT,0,0.93,200,0,1.997401953,0,0.572649573,0.547770701,0.948275862,0.823529412
blsc,2,4,C-BinOCT,0,0.94,200,0,2.496041059,0,0.572649573,0.547770701,0.948275862,0.823529412
blsc,2,4,C-BinOCT,0,0.95,215,0,2.54511404,0,0.540598291,0.50955414,0.95,0.8
blsc,2,4,C-BinOCT,0,0.96,231,0,3.368089914,0,0.506410256,0.477707006,1,0.666666667
blsc,2,4,C-BinOCT,0,0.97,231,0,3.128633022,0,0.506410256,0.477707006,1,0.666666667
blsc,3,1,C-BinOCT,0,0.88,107,0.969013061,3600.112221,0,0.771367521,0.694267516,0.882681564,0.754098361
blsc,3,1,C-BinOCT,0,0.89,109,0.968479458,3600.102073,0,0.767094017,0.675159236,0.89017341,0.754385965
blsc,3,1,C-BinOCT,0,0.9,124,0.977322542,3600.073255,0,0.735042735,0.700636943,0.912162162,0.872340426
blsc,3,1,C-BinOCT,0,0.91,124,0.974083561,3600.504832,0,0.735042735,0.700636943,0.912162162,0.872340426
blsc,3,1,C-BinOCT,0,0.92,126,0.971487166,3600.058663,0,0.730769231,0.681528662,0.922535211,0.88372093
blsc,3,1,C-BinOCT,0,0.93,136,0.98638577,3600.089817,0,0.709401709,0.681528662,0.930232558,0.847826087
blsc,3,1,C-BinOCT,0,0.94,144,0.977330295,3600.082912,0,0.692307692,0.656050955,0.94017094,0.894736842
blsc,3,1,C-BinOCT,0,0.95,148,0.976248548,3600.102355,0,0.683760684,0.643312102,0.954954955,0.911764706
blsc,3,1,C-BinOCT,0,0.96,153,0.983911205,3600.104537,0,0.673076923,0.630573248,0.960784314,0.909090909
blsc,3,1,C-BinOCT,0,0.97,163,0.983711998,3600.092529,0,0.651709402,0.624203822,0.978021978,0.823529412
blsc,3,2,C-BinOCT,0,0.88,114,0.976242123,3600.088102,0,0.767094017,0.694267516,0.767932489,0.705128205
blsc,3,2,C-BinOCT,0,0.89,119,0.981804174,3600.108481,0,0.745726496,0.668789809,0.893081761,0.767857143
blsc,3,2,C-BinOCT,0,0.9,123,0.986231223,3600.355587,0,0.737179487,0.694267516,0.901960784,0.904761905
blsc,3,2,C-BinOCT,0,0.91,125,0.987403994,3600.072846,0,0.732905983,0.707006369,0.923611111,0.843137255
blsc,3,2,C-BinOCT,0,0.92,134,0.984071291,3600.068178,0,0.713675214,0.681528662,0.92481203,0.829787234
blsc,3,2,C-BinOCT,0,0.93,130,0.982168815,3600.108407,0,0.722222222,0.707006369,0.933823529,0.857142857
blsc,3,2,C-BinOCT,0,0.94,138,0.988602939,3600.134601,0,0.705128205,0.668789809,0.943089431,0.857142857
blsc,3,2,C-BinOCT,0,0.95,140,0.988165397,3600.102342,0,0.700854701,0.636942675,0.950819672,0.878787879
blsc,3,2,C-BinOCT,0,0.96,144,0.985167708,3600.547916,0,0.692307692,0.624203822,0.964285714,0.842105263
blsc,3,2,C-BinOCT,0,0.97,163,0.988921916,3600.115232,0,0.651709402,0.624203822,0.977777778,0.933333333
blsc,3,3,C-BinOCT,0,0.88,119,0.976417234,3600.224161,0,0.713675214,0.72611465,0.793478261,0.786885246
blsc,3,3,C-BinOCT,0,0.89,121,0.972518621,3600.096043,0,0.741452991,0.681528662,0.913333333,0.82
blsc,3,3,C-BinOCT,0,0.9,121,0.96252864,3600.40031,0,0.741452991,0.681528662,0.913333333,0.82
blsc,3,3,C-BinOCT,0,0.91,121,0.967319587,3600.433125,0,0.741452991,0.681528662,0.913333333,0.82
blsc,3,3,C-BinOCT,0,0.92,127,0.970487223,3600.096404,0,0.728632479,0.681528662,0.929078014,0.840909091
blsc,3,3,C-BinOCT,0,0.93,125,0.975612832,3600.084569,0,0.732905983,0.668789809,0.93006993,0.833333333
blsc,3,3,C-BinOCT,0,0.94,131,0.973943889,3600.259273,0,0.72008547,0.668789809,0.940298507,0.853658537
blsc,3,3,C-BinOCT,0,0.95,143,0.974498246,3600.080721,0,0.694444444,0.656050955,0.956896552,0.871794872
blsc,3,3,C-BinOCT,0,0.96,151,0.981226322,3600.080138,0,0.677350427,0.656050955,0.963302752,0.861111111
blsc,3,3,C-BinOCT,0,0.97,152,0.97402538,3600.115793,0,0.675213675,0.643312102,0.971428571,0.857142857
blsc,3,4,C-BinOCT,0,0.88,115,0.974057499,3600.07839,0,0.754273504,0.707006369,0.880952381,0.807017544
blsc,3,4,C-BinOCT,0,0.89,120,0.981676017,3600.094939,0,0.743589744,0.713375796,0.892405063,0.807017544
blsc,3,4,C-BinOCT,0,0.9,122,0.979871452,3600.07749,0,0.739316239,0.700636943,0.901315789,0.854166667
blsc,3,4,C-BinOCT,0,0.91,125,0.987443313,3600.077615,0,0.732905983,0.707006369,0.910958904,0.87755102
blsc,3,4,C-BinOCT,0,0.92,128,0.98035731,3600.388392,0,0.726495726,0.687898089,0.921985816,0.836734694
blsc,3,4,C-BinOCT,0,0.93,133,0.978127556,3600.413081,0,0.715811966,0.681528662,0.931818182,0.88372093
blsc,3,4,C-BinOCT,0,0.94,144,0.978476272,3600.106847,0,0.692307692,0.656050955,0.949579832,0.861111111
blsc,3,4,C-BinOCT,0,0.95,150,0.987202494,3600.353021,0,0.679487179,0.656050955,0.954545455,0.914285714
