dataset,depth,split,method,restricted_class,beta_p,objective_value,optimality_gap,time,gamma,train_acc,test_acc,train_prec,test_prec
ctmc,2,1,C-BinOCT,0,0.54,488,8.33E-05,139.770345,0,0.557971014,0.509485095,0.64208243,0.594936709
ctmc,2,1,C-BinOCT,0,0.56,488,9.73E-05,173.961735,0,0.557971014,0.509485095,0.64208243,0.594936709
ctmc,2,1,C-BinOCT,0,0.58,488,7.40E-05,140.5241709,0,0.557971014,0.509485095,0.64208243,0.594936709
ctmc,2,1,C-BinOCT,0,0.6,488,7.41E-05,150.783143,0,0.557971014,0.509485095,0.64208243,0.594936709
ctmc,2,1,C-BinOCT,0,0.62,488,1.61E-05,146.1134119,0,0.557971014,0.509485095,0.64208243,0.594936709
ctmc,2,1,C-BinOCT,0,0.64,488,0,110.019918,0,0.557971014,0.509485095,0.64208243,0.594936709
ctmc,2,1,C-BinOCT,0,0.66,498,5.07E-05,141.9069951,0,0.548913043,0.520325203,0.664268585,0.602649007
ctmc,2,1,C-BinOCT,0,0.68,504,0,123.053261,0,0.543478261,0.498644986,0.747440273,0.720430108
ctmc,2,1,C-BinOCT,0,0.7,504,0,128.727865,0,0.543478261,0.498644986,0.747440273,0.720430108
ctmc,2,1,C-BinOCT,0,0.72,504,0,137.6704161,0,0.543478261,0.498644986,0.747440273,0.720430108
ctmc,2,2,C-BinOCT,0,0.54,488,0,148.1919591,0,0.557971014,0.493224932,0.656750572,0.618320611
ctmc,2,2,C-BinOCT,0,0.56,488,9.71E-05,157.82602,0,0.557971014,0.493224932,0.656750572,0.618320611
ctmc,2,2,C-BinOCT,0,0.58,488,0,143.424655,0,0.557971014,0.493224932,0.656750572,0.618320611
ctmc,2,2,C-BinOCT,0,0.6,488,1.31E-05,143.285197,0,0.557971014,0.493224932,0.656750572,0.618320611
ctmc,2,2,C-BinOCT,0,0.62,488,4.94E-05,166.5178361,0,0.557971014,0.493224932,0.656750572,0.618320611
ctmc,2,2,C-BinOCT,0,0.64,488,4.28E-05,132.8429499,0,0.557971014,0.493224932,0.656750572,0.618320611
ctmc,2,2,C-BinOCT,0,0.66,507,7.72E-05,137.380877,0,0.54076087,0.485094851,0.794573643,0.767123288
ctmc,2,2,C-BinOCT,0,0.68,507,7.72E-05,126.3479469,0,0.54076087,0.485094851,0.794573643,0.767123288
ctmc,2,2,C-BinOCT,0,0.7,507,9.78E-05,104.2926691,0,0.54076087,0.485094851,0.794573643,0.767123288
ctmc,2,2,C-BinOCT,0,0.72,507,9.78E-05,135.97699,0,0.54076087,0.485094851,0.794573643,0.767123288
ctmc,2,3,C-BinOCT,0,0.54,502,3.56E-05,137.239625,0,0.545289855,0.547425474,0.640522876,0.6
ctmc,2,3,C-BinOCT,0,0.56,502,0,166.5391691,0,0.545289855,0.547425474,0.640522876,0.6
ctmc,2,3,C-BinOCT,0,0.58,502,1.58E-05,134.523932,0,0.545289855,0.547425474,0.640522876,0.6
ctmc,2,3,C-BinOCT,0,0.6,502,0,137.7194581,0,0.545289855,0.547425474,0.640522876,0.6
ctmc,2,3,C-BinOCT,0,0.62,502,0,123.265907,0,0.545289855,0.547425474,0.640522876,0.6
ctmc,2,3,C-BinOCT,0,0.64,502,5.96E-05,113.6971269,0,0.545289855,0.547425474,0.640522876,0.6
ctmc,2,3,C-BinOCT,0,0.66,524,1.49E-05,143.8935978,0,0.525362319,0.552845528,0.759124088,0.696428571
ctmc,2,3,C-BinOCT,0,0.68,524,1.49E-05,131.2035148,0,0.525362319,0.552845528,0.759124088,0.696428571
ctmc,2,3,C-BinOCT,0,0.7,524,5.98E-05,153.2217891,0,0.525362319,0.533875339,0.725423729,0.647540984
ctmc,2,3,C-BinOCT,0,0.72,524,0,135.0735409,0,0.525362319,0.533875339,0.725423729,0.647540984
ctmc,2,4,C-BinOCT,0,0.54,493,9.00E-05,138.285737,0,0.553442029,0.52303523,0.63362069,0.619354839
ctmc,2,4,C-BinOCT,0,0.56,493,6.88E-05,144.8318582,0,0.553442029,0.52303523,0.63362069,0.619354839
ctmc,2,4,C-BinOCT,0,0.58,493,6.96E-05,153.062871,0,0.553442029,0.52303523,0.63362069,0.619354839
ctmc,2,4,C-BinOCT,0,0.6,493,0,151.997256,0,0.553442029,0.52303523,0.63362069,0.619354839
ctmc,2,4,C-BinOCT,0,0.62,493,9.53E-05,128.840941,0,0.553442029,0.52303523,0.63362069,0.619354839
ctmc,2,4,C-BinOCT,0,0.64,497,3.29E-05,124.2814739,0,0.549818841,0.525745257,0.64399093,0.630872483
ctmc,2,4,C-BinOCT,0,0.66,507,1.90E-05,133.1754611,0,0.54076087,0.506775068,0.741496599,0.739130435
ctmc,2,4,C-BinOCT,0,0.68,507,0,118.525342,0,0.54076087,0.506775068,0.741496599,0.739130435
ctmc,2,4,C-BinOCT,0,0.7,507,6.02E-05,114.9386401,0,0.54076087,0.506775068,0.741496599,0.739130435
ctmc,2,4,C-BinOCT,0,0.72,507,5.23E-05,123.932831,0,0.54076087,0.506775068,0.741496599,0.739130435
ctmc,3,1,C-BinOCT,0,0.64,460,1,3600.349605,0,0.583333333,0.501355014,0.657200811,0.580246914
ctmc,3,1,C-BinOCT,0,0.66,460,1,3600.319459,0,0.583333333,0.539295393,0.668874172,0.611111111
ctmc,3,1,C-BinOCT,0,0.68,474,1,3615.74562,0,0.570652174,0.52303523,0.697788698,0.654676259
ctmc,3,1,C-BinOCT,0,0.7,476,1,3602.057341,0,0.56884058,0.520325203,0.707253886,0.677419355
ctmc,3,1,C-BinOCT,0,0.72,478,1,3600.565727,0,0.567028986,0.501355014,0.725988701,0.666666667
ctmc,3,1,C-BinOCT,0,0.74,467,1,3600.33945,0,0.576992754,0.536585366,0.746518106,0.719008264
ctmc,3,1,C-BinOCT,0,0.76,496,1,3600.315631,0,0.550724638,0.498644986,0.762068966,0.720430108
ctmc,3,1,C-BinOCT,0,0.78,505,1,3600.196664,0,0.542572464,0.501355014,0.78358209,0.730337079
ctmc,3,1,C-BinOCT,0,0.8,487,1,3600.228481,0,0.558876812,0.501355014,0.802197802,0.739130435
ctmc,3,1,C-BinOCT,0,0.82,502,1,3600.258996,0,0.545289855,0.495934959,0.826446281,0.759493671
ctmc,3,2,C-BinOCT,0,0.64,455,1,3600.479373,0,0.587862319,0.514905149,0.648261759,0.580645161
ctmc,3,2,C-BinOCT,0,0.66,454,1,3600.33939,0,0.588768116,0.501355014,0.741602067,0.663716814
ctmc,3,2,C-BinOCT,0,0.68,454,1,3600.287985,0,0.588768116,0.504065041,0.735064935,0.666666667
ctmc,3,2,C-BinOCT,0,0.7,455,1,3600.428103,0,0.587862319,0.501355014,0.719512195,0.64516129
ctmc,3,2,C-BinOCT,0,0.72,454,1,3600.315302,0,0.588768116,0.504065041,0.735064935,0.666666667
ctmc,3,2,C-BinOCT,0,0.74,487,1,3600.284149,0,0.558876812,0.482384824,0.742331288,0.652173913
ctmc,3,2,C-BinOCT,0,0.76,458,1,3600.461291,0,0.585144928,0.509485095,0.766197183,0.694444444
ctmc,3,2,C-BinOCT,0,0.78,469,1,3600.328885,0,0.575181159,0.495934959,0.783281734,0.705263158
ctmc,3,2,C-BinOCT,0,0.8,481,1,3600.294026,0,0.564311594,0.528455285,0.800699301,0.795454545
ctmc,3,2,C-BinOCT,0,0.82,481,1,3600.738653,0,0.564311594,0.471544715,0.821561338,0.736842105
ctmc,3,3,C-BinOCT,0,0.64,478,1,3600.259661,0,0.567028986,0.54200542,0.655246253,0.608433735
ctmc,3,3,C-BinOCT,0,0.66,478,1,3600.387687,0,0.567028986,0.539295393,0.662280702,0.609756098
ctmc,3,3,C-BinOCT,0,0.68,471,1,3600.342734,0,0.573369565,0.558265583,0.688221709,0.627329193
ctmc,3,3,C-BinOCT,0,0.7,472,1,3600.260027,0,0.572463768,0.544715447,0.715710723,0.644295302
ctmc,3,3,C-BinOCT,0,0.72,502,1,3600.529147,0,0.545289855,0.563685637,0.743670886,0.674603175
ctmc,3,3,C-BinOCT,0,0.74,481,1,3600.212557,0,0.564311594,0.550135501,0.746397695,0.671755725
ctmc,3,3,C-BinOCT,0,0.76,512,1,3600.462639,0,0.536231884,0.539295393,0.775735294,0.698113208
ctmc,3,3,C-BinOCT,0,0.78,506,1,3600.349856,0,0.541666667,0.558265583,0.780918728,0.736842105
ctmc,3,3,C-BinOCT,0,0.8,520,1,3600.303926,0,0.528985507,0.555555556,0.810483871,0.818181818
ctmc,3,3,C-BinOCT,0,0.82,494,1,3600.361353,0,0.552536232,0.531165312,0.820512821,0.754901961
ctmc,3,4,C-BinOCT,0,0.64,455,1,3600.307582,0,0.587862319,0.544715447,0.658203125,0.606936416
ctmc,3,4,C-BinOCT,0,0.66,484,1,3600.319143,0,0.561594203,0.528455285,0.71884058,0.742857143
ctmc,3,4,C-BinOCT,0,0.68,487,1,3600.809946,0,0.558876812,0.52303523,0.744479495,0.75257732
ctmc,3,4,C-BinOCT,0,0.7,462,1,3600.301454,0,0.581521739,0.547425474,0.701711491,0.716535433
ctmc,3,4,C-BinOCT,0,0.72,465,1,3600.554923,0,0.578804348,0.550135501,0.722513089,0.73553719
ctmc,3,4,C-BinOCT,0,0.74,470,1,3600.489402,0,0.574275362,0.555555556,0.740740741,0.769911504
ctmc,3,4,C-BinOCT,0,0.76,481,1,3600.584706,0,0.564311594,0.517615176,0.789644013,0.740384615
ctmc,3,4,C-BinOCT,0,0.78,481,1,3600.352674,0,0.564311594,0.509485095,0.782608696,0.702970297
ctmc,3,4,C-BinOCT,0,0.8,497,1,3600.262641,0,0.549818841,0.498644986,0.807692308,0.780487805
ctmc,3,4,C-BinOCT,0,0.82,529,1,3600.439806,0,0.520833333,0.501355014,0.822429907,0.835820896
ctmc,4,1,C-BinOCT,0,0.64,454,1,3600.88233,0,0.588768116,0.533875339,0.706443914,0.679104478
ctmc,4,1,C-BinOCT,0,0.66,462,1,3600.55223,0,0.581521739,0.520325203,0.665245203,0.595092025
ctmc,4,1,C-BinOCT,0,0.68,446,1,3600.584083,0,0.596014493,0.569105691,0.746666667,0.715384615
ctmc,4,1,C-BinOCT,0,0.7,455,1,3600.673446,0,0.587862319,0.539295393,0.744318182,0.702479339
ctmc,4,1,C-BinOCT,0,0.72,481,1,3600.713107,0,0.564311594,0.501355014,0.762214984,0.695238095
ctmc,4,1,C-BinOCT,0,0.74,459,1,3600.610018,0,0.58423913,0.544715447,0.741144414,0.702479339
ctmc,4,1,C-BinOCT,0,0.76,478,1,3600.750594,0,0.567028986,0.495934959,0.7625,0.682692308
ctmc,4,1,C-BinOCT,0,0.78,485,1,3600.691041,0,0.560688406,0.498644986,0.780487805,0.731182796
ctmc,4,1,C-BinOCT,0,0.8,491,1,3600.587434,0,0.555253623,0.504065041,0.802867384,0.733333333
ctmc,4,1,C-BinOCT,0,0.82,472,1,3600.786197,0,0.572463768,0.512195122,0.820610687,0.761904762
ctmc,4,2,C-BinOCT,0,0.64,429,1,3600.68314,0,0.611413043,0.528455285,0.685950413,0.615384615
ctmc,4,2,C-BinOCT,0,0.66,438,1,3600.655776,0,0.60326087,0.506775068,0.7425,0.655737705
ctmc,4,2,C-BinOCT,0,0.68,433,1,3600.544976,0,0.607789855,0.536585366,0.724220624,0.682539683
ctmc,4,2,C-BinOCT,0,0.7,447,1,3600.549832,0,0.595108696,0.517615176,0.752688172,0.677966102
ctmc,4,2,C-BinOCT,0,0.72,436,1,3600.629818,0,0.605072464,0.498644986,0.753246753,0.647058824
ctmc,4,2,C-BinOCT,0,0.74,458,1,3600.394358,0,0.585144928,0.514905149,0.744623656,0.709090909
ctmc,4,2,C-BinOCT,0,0.76,492,1,3600.522004,0,0.554347826,0.479674797,0.770547945,0.720930233
ctmc,4,2,C-BinOCT,0,0.78,468,1,3600.515798,0,0.576086957,0.506775068,0.782334385,0.717391304
ctmc,4,2,C-BinOCT,0,0.8,464,1,3600.523554,0,0.579710145,0.539295393,0.800653595,0.747368421
ctmc,4,2,C-BinOCT,0,0.82,469,1,3600.867649,0,0.575181159,0.490514905,0.821052632,0.738095238
ctmc,4,3,C-BinOCT,0,0.64,464,1,3600.509568,0,0.579710145,0.569105691,0.67405765,0.613496933
ctmc,4,3,C-BinOCT,0,0.66,457,1,3600.561288,0,0.586050725,0.533875339,0.687089716,0.581818182
ctmc,4,3,C-BinOCT,0,0.68,455,1,3600.707924,0,0.587862319,0.588075881,0.697674419,0.641509434
ctmc,4,3,C-BinOCT,0,0.7,466,1,3600.788691,0,0.577898551,0.555555556,0.700696056,0.61875
ctmc,4,3,C-BinOCT,0,0.72,470,1,3600.692871,0,0.574275362,0.558265583,0.738764045,0.661764706
ctmc,4,3,C-BinOCT,0,0.74,485,1,3600.776674,0,0.560688406,0.555555556,0.749262537,0.693548387
ctmc,4,3,C-BinOCT,0,0.76,507,1,3600.590756,0,0.54076087,0.525745257,0.762411348,0.67826087
ctmc,4,3,C-BinOCT,0,0.78,479,1,3600.82562,0,0.566123188,0.555555556,0.78164557,0.717741935
ctmc,4,3,C-BinOCT,0,0.8,498,1,3600.616101,0,0.548913043,0.54200542,0.80141844,0.709090909
ctmc,4,3,C-BinOCT,0,0.82,504,1,3600.361048,0,0.543478261,0.544715447,0.821011673,0.742574257
ctmc,4,4,C-BinOCT,0,0.64,444,1,3600.485663,0,0.597826087,0.547425474,0.669354839,0.620481928
ctmc,4,4,C-BinOCT,0,0.66,448,1,3600.748017,0,0.594202899,0.544715447,0.663366337,0.611764706
ctmc,4,4,C-BinOCT,0,0.68,454,1,3600.53324,0,0.588768116,0.536585366,0.689038031,0.650684932
ctmc,4,4,C-BinOCT,0,0.7,459,1,3600.66206,0,0.58423913,0.539295393,0.711491443,0.692857143
ctmc,4,4,C-BinOCT,0,0.72,463,1,3600.538408,0,0.580615942,0.550135501,0.724409449,0.73553719
ctmc,4,4,C-BinOCT,0,0.74,458,1,3601.732339,0,0.585144928,0.528455285,0.746478873,0.752293578
ctmc,4,4,C-BinOCT,0,0.76,513,1,3600.876618,0,0.535326087,0.482384824,0.761565836,0.797297297
ctmc,4,4,C-BinOCT,0,0.78,481,1,3600.509776,0,0.564311594,0.490514905,0.783687943,0.75
ctmc,4,4,C-BinOCT,0,0.8,516,1,3600.718695,0,0.532608696,0.495934959,0.806866953,0.74025974
ctmc,4,4,C-BinOCT,0,0.82,496,1,3600.620891,0,0.550724638,0.479674797,0.821862348,0.816901408
