dataset,depth,split,method,tau_0,key_beta_p,beta_p,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc,test_acc,train_prec,test_prec
wine,2,1,Full MIP,8,2,0.98,1,0,282.055788,282.055788,0,1,0.956,1,0.947
wine,2,1,F-PIP,8,2,0.98,1,,415.7819176,,0,1,0.956,1,1
wine,2,1,ISA-PIP,8,2,0.98,1,,176.5569701,,0,1,0.978,1,1
wine,2,1,FD4-PIP,8,2,0.98,1,,179.8962545,,0,1,0.933,1,0.895
wine,2,1,FD-PIP,8,2,0.98,1,,176.9070973,,0,1,0.933,1,0.895
wine,2,1,IDSA4-PIP,8,2,0.98,1,,38.71181393,,0,1,0.867,1,0.933
wine,2,1,IDSA-PIP,8,2,0.98,1,,37.59800649,,0,1,0.867,1,0.933
wine,2,2,Full MIP,9,2,0.98,1,0,108.3034241,108.3034241,0,1,0.889,1,0.81
wine,2,2,F-PIP,9,2,0.98,1,,135.0623538,,0,1,0.867,1,0.833
wine,2,2,ISA-PIP,9,2,0.98,1,,148.0855145,,0,1,0.911,1,0.941
wine,2,2,FD4-PIP,9,2,0.98,1,,36.87298894,,0,1,0.867,1,0.929
wine,2,2,FD-PIP,9,2,0.98,1,,36.87075925,,0,1,0.867,1,0.929
wine,2,2,IDSA4-PIP,9,2,0.98,1,,39.15845871,,0,1,0.911,1,0.938
wine,2,2,IDSA-PIP,9,2,0.98,1,,38.48427773,,0,1,0.911,1,0.938
wine,2,3,Full MIP,8,2,0.98,1,0,1200.45585,1200.45585,0,1,0.933,1,0.895
wine,2,3,F-PIP,8,2,0.98,1,,181.8862407,,0,1,0.911,1,0.938
wine,2,3,ISA-PIP,8,2,0.98,1,,813.277235,,0,1,0.978,1,1
wine,2,3,FD4-PIP,8,2,0.98,0.992481203,,206.1193364,,0,0.992,0.911,1,0.941
wine,2,3,FD-PIP,8,2,0.98,0.992481203,,204.8938088,,0,0.992,0.911,1,0.941
wine,2,3,IDSA4-PIP,8,2,0.98,1,,106.0792034,,0,1,0.933,1,1
wine,2,3,IDSA-PIP,8,2,0.98,1,,106.5872104,,0,1,0.933,1,1
wine,2,4,Full MIP,4,2,0.98,1,0,3485.42275,3485.42275,0,1,0.933,1,0.941
wine,2,4,F-PIP,4,2,0.98,0.992481203,,903.8825333,,0,0.992,0.956,1,1
