method,dataset,run,depth,restricted_class,beta_p,objective_value,optimality_gap,time,gamma,train_acc,test_acc,train_prec,test_prec
C-BinOCT,balance_scale,1,2,0,0.88,189.0,0.0,3.991219997406006,0.0,0.5961538461538461,0.5923566878980892,0.8933333333333333,0.88
C-BinOCT,balance_scale,1,2,0,0.89,189.0,0.0,3.2278389930725098,0.0,0.5961538461538461,0.5923566878980892,0.8933333333333333,0.88
C-BinOCT,balance_scale,1,2,0,0.9,192.999999993,0.0,2.5827579498291016,0.0,0.5876068376068376,0.5987261146496815,0.9,0.8333333333333334
C-BinOCT,balance_scale,1,2,0,0.91,204.0,0.0,3.159475088119507,0.0,0.5641025641025641,0.5732484076433121,0.9259259259259259,0.9047619047619048
C-BinOCT,balance_scale,1,2,0,0.92,204.0,0.0,2.6370010375976562,0.0,0.5641025641025641,0.5732484076433121,0.9259259259259259,0.9047619047619048
C-BinOCT,balance_scale,1,2,0,0.93,217.0,0.0,3.0584781169891357,0.0,0.5363247863247863,0.5286624203821656,0.9473684210526315,0.9166666666666666
C-BinOCT,balance_scale,1,2,0,0.94,217.0,0.0,4.2368199825286865,0.0,0.5363247863247863,0.5286624203821656,0.9473684210526315,0.9166666666666666
C-BinOCT,balance_scale,1,2,0,0.95,218.0,0.0,3.1246681213378906,0.0,0.5341880341880342,0.5286624203821656,0.9714285714285714,0.8
C-BinOCT,balance_scale,1,2,0,0.96,218.0,0.0,4.309234857559204,0.0,0.5341880341880342,0.5286624203821656,0.9714285714285714,0.8
C-BinOCT,balance_scale,1,2,0,0.97,218.0,0.0,2.5576419830322266,0.0,0.5341880341880342,0.5286624203821656,0.9714285714285714,0.8
C-BinOCT,balance_scale,2,2,0,0.88,190.0,0.0,2.709949016571045,0.0,0.594017094017094,0.5668789808917197,0.9027777777777778,0.7857142857142857
C-BinOCT,balance_scale,2,2,0,0.89,190.0,0.0,3.402509927749634,0.0,0.594017094017094,0.5668789808917197,0.9027777777777778,0.7857142857142857
C-BinOCT,balance_scale,2,2,0,0.9,190.0,0.0,2.4763050079345703,0.0,0.594017094017094,0.5668789808917197,0.9027777777777778,0.7857142857142857
C-BinOCT,balance_scale,2,2,0,0.91,203.0,0.0,4.194931983947754,0.0,0.5662393162393162,0.5668789808917197,0.9285714285714286,0.8947368421052632
C-BinOCT,balance_scale,2,2,0,0.92,203.0,0.0,3.3558549880981445,0.0,0.5662393162393162,0.5668789808917197,0.9285714285714286,0.8947368421052632
C-BinOCT,balance_scale,2,2,0,0.93,216.0,0.0,2.323719024658203,0.0,0.5384615384615384,0.5222929936305732,0.9736842105263158,0.8333333333333334
C-BinOCT,balance_scale,2,2,0,0.94,216.0,0.0,4.340451955795288,0.0,0.5384615384615384,0.5222929936305732,0.9736842105263158,0.8333333333333334
C-BinOCT,balance_scale,2,2,0,0.95,216.0,0.0,3.2280139923095703,0.0,0.5384615384615384,0.5222929936305732,0.9736842105263158,0.8333333333333334
C-BinOCT,balance_scale,2,2,0,0.96,216.0,0.0,4.7619781494140625,0.0,0.5384615384615384,0.5222929936305732,0.9736842105263158,0.8333333333333334
C-BinOCT,balance_scale,2,2,0,0.97,216.0,0.0,2.2913658618927,0.0,0.5384615384615384,0.5222929936305732,0.9736842105263158,0.8333333333333334
C-BinOCT,balance_scale,3,2,0,0.88,188.0,0.0,3.5378050804138184,0.0,0.5982905982905983,0.5668789808917197,0.9178082191780822,0.7777777777777778
C-BinOCT,balance_scale,3,2,0,0.89,188.0,0.0,2.571398973464966,0.0,0.5982905982905983,0.5668789808917197,0.9178082191780822,0.7777777777777778
C-BinOCT,balance_scale,3,2,0,0.9,188.0,0.0,2.1442651748657227,0.0,0.5982905982905983,0.5668789808917197,0.9178082191780822,0.7777777777777778
C-BinOCT,balance_scale,3,2,0,0.91,187.99999999416667,0.0,2.0540192127227783,0.0,0.5982905982905983,0.5668789808917197,0.9178082191780822,0.7777777777777778
