dataset,depth,run,type,tau_0,varrho,key_beta_p,beta_p,objective_value,optimality_gap,time,actual_time,same_pieces,gamma,z_frac,z_counts,train_frac,train_constraint_gap,train_counts,test_frac,test_constraint_gap,test_counts,test_train_gap,vio_asm_equal_0,vio_asm_interval,vio_feasibilitytol,vio_asm_equal_0_rate,vio_asm_interval_rate,vio_feasibilitytol_rate,z_integrality_vio,train_acc,test_acc,train_prec,test_prec
blsc,2,1,simplified_arbitrary1_shrinkage,,0,1,0.88,0.9102564102564104,0.09859154929577453,924.5418558120728,924.9393882751465,,0.0,"{'acc_margin': 0.91, 'prec1': 0.925, 'prec2': -1, 'prec3': 0.896}","{'acc_margin': {'nm': 426.0, 'dm': 468}, 1: {'nm': 211.0, 'dm': 228.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 215.0, 'dm': 240.0}}","{'acc': 0.91, 'acc_margin': 0.91, 'prec1': 0.925, 'prec2': -1, 'prec3': 0.896}",{'prec1': 0},"{'acc': {'nm': 426, 'dm': 468}, 'acc_margin': {'nm': 426, 'dm': 468}, 'prec1': {'nm': 211, 'dm': 228}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 215, 'dm': 240}}","{'acc': 0.892, 'acc_margin': 0.892, 'prec1': 0.92, 'prec2': -1, 'prec3': 0.866}",{'prec1': 0},"{'acc': {'nm': 140, 'dm': 157}, 'acc_margin': {'nm': 140, 'dm': 157}, 'prec1': {'nm': 69, 'dm': 75}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 71, 'dm': 82}}","{'acc': -0.018, 'acc_margin': -0.018, 'prec1': -0.005, 'prec2': 999, 'prec3': -0.03}",0,0,0,0.0,0.0,0.0,0,0.91,0.892,0.925,0.92
blsc,2,2,simplified_arbitrary1_shrinkage,,0,1,0.88,0.9230769230769231,0.08333333333333327,861.3009750843048,861.6252229213715,,0.0,"{'acc_margin': 0.923, 'prec1': 0.962, 'prec2': 0.569, 'prec3': 0.971}","{'acc_margin': {'nm': 432.0, 'dm': 468}, 1: {'nm': 202.0, 'dm': 210.0}, 2: {'nm': 29.0, 'dm': 51.0}, 3: {'nm': 201.0, 'dm': 207.0}}","{'acc': 0.923, 'acc_margin': 0.923, 'prec1': 0.962, 'prec2': 0.569, 'prec3': 0.971}",{'prec1': 0},"{'acc': {'nm': 432, 'dm': 468}, 'acc_margin': {'nm': 432, 'dm': 468}, 'prec1': {'nm': 202, 'dm': 210}, 'prec2': {'nm': 29, 'dm': 51}, 'prec3': {'nm': 201, 'dm': 207}}","{'acc': 0.93, 'acc_margin': 0.93, 'prec1': 0.986, 'prec2': 0.636, 'prec3': 0.921}",{'prec1': 0},"{'acc': {'nm': 146, 'dm': 157}, 'acc_margin': {'nm': 146, 'dm': 157}, 'prec1': {'nm': 69, 'dm': 70}, 'prec2': {'nm': 7, 'dm': 11}, 'prec3': {'nm': 70, 'dm': 76}}","{'acc': 0.007, 'acc_margin': 0.007, 'prec1': 0.024, 'prec2': 0.067, 'prec3': -0.05}",0,0,0,0.0,0.0,0.0,0,0.923,0.93,0.962,0.986
blsc,2,3,simplified_arbitrary1_shrinkage,,0,1,0.88,0.8910256410256411,0.12230215827338123,1452.7853286266327,1453.2182219028473,,0.0,"{'acc_margin': 0.891, 'prec1': 0.936, 'prec2': -1, 'prec3': 0.825}","{'acc_margin': {'nm': 417.0, 'dm': 468}, 1: {'nm': 205.0, 'dm': 219.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 212.0, 'dm': 257.0}}","{'acc': 0.891, 'acc_margin': 0.891, 'prec1': 0.953, 'prec2': -1, 'prec3': 0.838}",{'prec1': 0},"{'acc': {'nm': 417, 'dm': 468}, 'acc_margin': {'nm': 417, 'dm': 468}, 'prec1': {'nm': 205, 'dm': 215}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 212, 'dm': 253}}","{'acc': 0.879, 'acc_margin': 0.873, 'prec1': 0.971, 'prec2': -1, 'prec3': 0.809}",{'prec1': 0},"{'acc': {'nm': 138, 'dm': 157}, 'acc_margin': {'nm': 137, 'dm': 157}, 'prec1': {'nm': 66, 'dm': 68}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 72, 'dm': 89}}","{'acc': -0.012, 'acc_margin': -0.018, 'prec1': 0.018, 'prec2': 999, 'prec3': -0.029}",0,0,0,0.0,0.0,0.0,0,0.891,0.879,0.953,0.971
blsc,2,4,simplified_arbitrary1_shrinkage,,0,1,0.88,0.9230769230769231,0.08333333333333327,894.3811748027802,894.8061006069183,,0.0,"{'acc_margin': 0.923, 'prec1': 0.918, 'prec2': 1.0, 'prec3': 0.926}","{'acc_margin': {'nm': 432.0, 'dm': 468}, 1: {'nm': 214.0, 'dm': 233.0}, 2: {'nm': 5.0, 'dm': 5.0}, 3: {'nm': 213.0, 'dm': 230.0}}","{'acc': 0.923, 'acc_margin': 0.923, 'prec1': 0.918, 'prec2': 1.0, 'prec3': 0.926}",{'prec1': 0},"{'acc': {'nm': 432, 'dm': 468}, 'acc_margin': {'nm': 432, 'dm': 468}, 'prec1': {'nm': 214, 'dm': 233}, 'prec2': {'nm': 5, 'dm': 5}, 'prec3': {'nm': 213, 'dm': 230}}","{'acc': 0.86, 'acc_margin': 0.86, 'prec1': 0.848, 'prec2': 0.0, 'prec3': 0.907}",{'prec1': -0.032},"{'acc': {'nm': 135, 'dm': 157}, 'acc_margin': {'nm': 135, 'dm': 157}, 'prec1': {'nm': 67, 'dm': 79}, 'prec2': {'nm': 0, 'dm': 3}, 'prec3': {'nm': 68, 'dm': 75}}","{'acc': -0.063, 'acc_margin': -0.063, 'prec1': -0.07, 'prec2': -1.0, 'prec3': -0.019}",0,0,0,0.0,0.0,0.0,0,0.923,0.86,0.918,0.848
blsc,2,1,simplified_arbitrary1_shrinkage,,0,1,0.89,0.9145299145299147,0.09345794392523342,960.8649859428406,961.2896566390991,,0.0,"{'acc_margin': 0.915, 'prec1': 0.918, 'prec2': -1, 'prec3': 0.911}","{'acc_margin': {'nm': 428.0, 'dm': 468}, 1: {'nm': 214.0, 'dm': 233.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 214.0, 'dm': 235.0}}","{'acc': 0.915, 'acc_margin': 0.915, 'prec1': 0.918, 'prec2': -1, 'prec3': 0.911}",{'prec1': 0},"{'acc': {'nm': 428, 'dm': 468}, 'acc_margin': {'nm': 428, 'dm': 468}, 'prec1': {'nm': 214, 'dm': 233}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 214, 'dm': 235}}","{'acc': 0.885, 'acc_margin': 0.879, 'prec1': 0.907, 'prec2': -1, 'prec3': 0.866}",{'prec1': 0},"{'acc': {'nm': 139, 'dm': 157}, 'acc_margin': {'nm': 138, 'dm': 157}, 'prec1': {'nm': 68, 'dm': 75}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 71, 'dm': 82}}","{'acc': -0.03, 'acc_margin': -0.036, 'prec1': -0.011, 'prec2': 999, 'prec3': -0.045}",0,0,0,0.0,0.0,0.0,0,0.915,0.885,0.918,0.907
blsc,2,2,simplified_arbitrary1_shrinkage,,0,1,0.89,0.9252136752136753,0.08083140877598147,876.4429574012756,876.8312814235687,,0.0,"{'acc_margin': 0.925, 'prec1': 0.929, 'prec2': 0.833, 'prec3': 0.926}","{'acc_margin': {'nm': 433.0, 'dm': 468}, 1: {'nm': 210.0, 'dm': 226.0}, 2: {'nm': 10.0, 'dm': 12.0}, 3: {'nm': 213.0, 'dm': 230.0}}","{'acc': 0.925, 'acc_margin': 0.925, 'prec1': 0.929, 'prec2': 0.833, 'prec3': 0.926}",{'prec1': 0},"{'acc': {'nm': 433, 'dm': 468}, 'acc_margin': {'nm': 433, 'dm': 468}, 'prec1': {'nm': 210, 'dm': 226}, 'prec2': {'nm': 10, 'dm': 12}, 'prec3': {'nm': 213, 'dm': 230}}","{'acc': 0.885, 'acc_margin': 0.885, 'prec1': 0.944, 'prec2': 0.5, 'prec3': 0.852}",{'prec1': 0},"{'acc': {'nm': 139, 'dm': 157}, 'acc_margin': {'nm': 139, 'dm': 157}, 'prec1': {'nm': 68, 'dm': 72}, 'prec2': {'nm': 2, 'dm': 4}, 'prec3': {'nm': 69, 'dm': 81}}","{'acc': -0.04, 'acc_margin': -0.04, 'prec1': 0.015, 'prec2': -0.333, 'prec3': -0.074}",0,0,0,0.0,0.0,0.0,0,0.925,0.885,0.929,0.944
blsc,2,3,simplified_arbitrary1_shrinkage,,0,1,0.89,0.9316239316239316,0.07339449541284401,1364.9921526908875,1365.4166054725647,,0.0,"{'acc_margin': 0.932, 'prec1': 0.967, 'prec2': 0.604, 'prec3': 0.971}","{'acc_margin': {'nm': 436.0, 'dm': 468}, 1: {'nm': 205.0, 'dm': 212.0}, 2: {'nm': 29.0, 'dm': 48.0}, 3: {'nm': 202.0, 'dm': 208.0}}","{'acc': 0.932, 'acc_margin': 0.932, 'prec1': 0.967, 'prec2': 0.604, 'prec3': 0.971}",{'prec1': 0},"{'acc': {'nm': 436, 'dm': 468}, 'acc_margin': {'nm': 436, 'dm': 468}, 'prec1': {'nm': 205, 'dm': 212}, 'prec2': {'nm': 29, 'dm': 48}, 'prec3': {'nm': 202, 'dm': 208}}","{'acc': 0.879, 'acc_margin': 0.866, 'prec1': 0.985, 'prec2': 0.357, 'prec3': 0.883}",{'prec1': 0},"{'acc': {'nm': 138, 'dm': 157}, 'acc_margin': {'nm': 136, 'dm': 157}, 'prec1': {'nm': 65, 'dm': 66}, 'prec2': {'nm': 5, 'dm': 14}, 'prec3': {'nm': 68, 'dm': 77}}","{'acc': -0.053, 'acc_margin': -0.066, 'prec1': 0.018, 'prec2': -0.247, 'prec3': -0.088}",0,0,0,0.0,0.0,0.0,0,0.932,0.879,0.967,0.985
blsc,2,4,simplified_arbitrary1_shrinkage,,0,1,0.89,0.9252136752136754,0.08083140877598134,916.4554958343506,916.9235103130341,,0.0,"{'acc_margin': 0.925, 'prec1': 0.946, 'prec2': 0.654, 'prec3': 0.936}","{'acc_margin': {'nm': 433.0, 'dm': 468}, 1: {'nm': 210.0, 'dm': 222.0}, 2: {'nm': 17.0, 'dm': 26.0}, 3: {'nm': 206.0, 'dm': 220.0}}","{'acc': 0.925, 'acc_margin': 0.925, 'prec1': 0.946, 'prec2': 0.654, 'prec3': 0.936}",{'prec1': 0},"{'acc': {'nm': 433, 'dm': 468}, 'acc_margin': {'nm': 433, 'dm': 468}, 'prec1': {'nm': 210, 'dm': 222}, 'prec2': {'nm': 17, 'dm': 26}, 'prec3': {'nm': 206, 'dm': 220}}","{'acc': 0.879, 'acc_margin': 0.866, 'prec1': 0.882, 'prec2': 0.455, 'prec3': 0.943}",{'prec1': -0.008},"{'acc': {'nm': 138, 'dm': 157}, 'acc_margin': {'nm': 136, 'dm': 157}, 'prec1': {'nm': 67, 'dm': 76}, 'prec2': {'nm': 5, 'dm': 11}, 'prec3': {'nm': 66, 'dm': 70}}","{'acc': -0.046, 'acc_margin': -0.059, 'prec1': -0.064, 'prec2': -0.199, 'prec3': 0.007}",0,0,0,0.0,0.0,0.0,0,0.925,0.879,0.946,0.882
blsc,2,1,simplified_arbitrary1_shrinkage,,0,1,0.9,0.9273504273504275,0.07834101382488462,996.6559834480286,997.1807148456573,,0.0,"{'acc_margin': 0.927, 'prec1': 0.921, 'prec2': 0.833, 'prec3': 0.938}","{'acc_margin': {'nm': 434.0, 'dm': 468}, 1: {'nm': 211.0, 'dm': 229.0}, 2: {'nm': 10.0, 'dm': 12.0}, 3: {'nm': 213.0, 'dm': 227.0}}","{'acc': 0.927, 'acc_margin': 0.927, 'prec1': 0.921, 'prec2': 0.833, 'prec3': 0.938}",{'prec1': 0},"{'acc': {'nm': 434, 'dm': 468}, 'acc_margin': {'nm': 434, 'dm': 468}, 'prec1': {'nm': 211, 'dm': 229}, 'prec2': {'nm': 10, 'dm': 12}, 'prec3': {'nm': 213, 'dm': 227}}","{'acc': 0.879, 'acc_margin': 0.879, 'prec1': 0.907, 'prec2': 0.0, 'prec3': 0.897}",{'prec1': 0},"{'acc': {'nm': 138, 'dm': 157}, 'acc_margin': {'nm': 138, 'dm': 157}, 'prec1': {'nm': 68, 'dm': 75}, 'prec2': {'nm': 0, 'dm': 4}, 'prec3': {'nm': 70, 'dm': 78}}","{'acc': -0.048, 'acc_margin': -0.048, 'prec1': -0.014, 'prec2': -0.833, 'prec3': -0.041}",0,0,0,0.0,0.0,0.0,0,0.927,0.879,0.921,0.907
blsc,2,2,simplified_arbitrary1_shrinkage,,0,1,0.9,0.9252136752136754,0.08083140877598134,1090.0112566947937,1090.4757843017578,,0.0,"{'acc_margin': 0.925, 'prec1': 0.925, 'prec2': 0.833, 'prec3': 0.93}","{'acc_margin': {'nm': 433.0, 'dm': 468}, 1: {'nm': 210.0, 'dm': 227.0}, 2: {'nm': 10.0, 'dm': 12.0}, 3: {'nm': 213.0, 'dm': 229.0}}","{'acc': 0.925, 'acc_margin': 0.925, 'prec1': 0.925, 'prec2': 0.833, 'prec3': 0.93}",{'prec1': 0},"{'acc': {'nm': 433, 'dm': 468}, 'acc_margin': {'nm': 433, 'dm': 468}, 'prec1': {'nm': 210, 'dm': 227}, 'prec2': {'nm': 10, 'dm': 12}, 'prec3': {'nm': 213, 'dm': 229}}","{'acc': 0.885, 'acc_margin': 0.885, 'prec1': 0.944, 'prec2': 0.5, 'prec3': 0.852}",{'prec1': 0},"{'acc': {'nm': 139, 'dm': 157}, 'acc_margin': {'nm': 139, 'dm': 157}, 'prec1': {'nm': 68, 'dm': 72}, 'prec2': {'nm': 2, 'dm': 4}, 'prec3': {'nm': 69, 'dm': 81}}","{'acc': -0.04, 'acc_margin': -0.04, 'prec1': 0.019, 'prec2': -0.333, 'prec3': -0.078}",0,0,0,0.0,0.0,0.0,0,0.925,0.885,0.925,0.944
