method,dataset,run,depth,restricted_class,criterion,min_samples_split,min_samples_leaf,max_features,splitter,time,train_acc,test_acc,train_prec,test_prec
CART,blsc,1,2,1,gini,2,1,sqrt,random,0.12271025963127613,0.6452991452991453,0.6369426751592356,0.6504424778761062,0.6486486486486487
CART,blsc,2,2,1,gini,2,1,sqrt,random,0.1216179234907031,0.6410256410256411,0.6178343949044586,0.6810810810810811,0.6615384615384615
CART,blsc,3,2,1,gini,2,1,sqrt,best,0.11978522036224604,0.6709401709401709,0.6242038216560509,0.7843137254901961,0.7446808510638298
CART,blsc,4,2,1,gini,2,1,,best,0.12070789188146591,0.7158119658119658,0.6878980891719745,0.7440758293838863,0.734375
CART,blsc,1,3,1,gini,2,1,sqrt,random,0.12224334850907326,0.7435897435897436,0.6878980891719745,0.7110266159695817,0.6494845360824743
CART,blsc,2,3,1,gini,2,1,,best,0.12237494066357613,0.7670940170940171,0.6942675159235668,0.756198347107438,0.6867469879518072
CART,blsc,3,3,1,gini,2,1,sqrt,best,0.12211291305720806,0.7478632478632479,0.6624203821656051,0.6778523489932886,0.6413043478260869
CART,blsc,4,3,1,entropy,2,1,sqrt,best,0.12282460276037455,0.7713675213675214,0.732484076433121,0.717948717948718,0.6956521739130435
CART,blsc,1,4,1,gini,2,5,,best,0.13121460378170013,0.8376068376068376,0.7834394904458599,0.8539823008849557,0.7945205479452054
CART,blsc,2,4,1,gini,10,1,sqrt,best,0.12648712657392025,0.7649572649572649,0.7388535031847133,0.7178571428571429,0.725
CART,blsc,3,4,1,gini,2,1,,best,0.12338560726493597,0.8376068376068376,0.7961783439490446,0.7976653696498055,0.821917808219178
CART,blsc,4,4,1,gini,10,1,,best,0.12333924975246191,0.8333333333333334,0.7770700636942676,0.8284518828451883,0.7560975609756098
