approach,dataset,sample,nrow,depth,restricted_class,beta_p,lambda,time_limit,status,obj_value,gamma_value,solving_time,gap,train_acc,eval_acc,test_acc,train_prec,eval_prec,test_prec,node_count,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc
FlowOCT,balance_scale_onehot,1,468,2,0,0.88,0.8,3600,2,-40.2,0,285.4557228,0,0.587606838,0.596153846,0.598726115,0.9,0.956521739,0.833333333,1373,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,2,0,0.89,0.8,3600,2,-40.2,0,197.8356531,0,0.587606838,0.596153846,0.598726115,0.9,0.956521739,0.833333333,1173,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,2,0,0.9,0.8,3600,2,-40.2,0,264.803515,0,0.587606838,0.596153846,0.598726115,0.9,0.956521739,0.833333333,1217,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,2,0,0.91,0.8,3600,2,-47.8,0,640.6222479,0,0.506410256,0.525641026,0.477707006,1,1,0.75,4251,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,2,0,0.92,0.8,3600,2,-47.8,0,338.65763,0,0.506410256,0.525641026,0.477707006,1,1,0.75,4385,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,2,0,0.93,0.8,3600,2,-47.8,0,473.1872849,0,0.506410256,0.525641026,0.477707006,1,1,0.75,3934,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,2,0,0.94,0.8,3600,2,-47.8,0,591.4765859,0,0.506410256,0.525641026,0.477707006,1,1,0.75,3819,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,2,0,0.95,0.8,3600,2,-47.8,0,437.9592462,0,0.506410256,0.525641026,0.477707006,1,1,0.75,3541,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,2,0,0.96,0.8,3600,2,-47.8,0,488.662596,0,0.506410256,0.525641026,0.477707006,1,1,0.75,3386,0,0,0,0
FlowOCT,balance_scale_onehot,1,468,2,0,0.97,0.8,3600,2,-47.8,0,482.1648729,0,0.506410256,0.525641026,0.477707006,1,1,0.75,2875,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,2,0,0.88,0.7,3600,2,-59.6,0,302.626308,0,0.585470085,0.621794872,0.605095541,0.888888889,0.875,0.857142857,1557,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,2,0,0.89,0.7,3600,2,-71.3,0,643.5982301,0,0.502136752,0.519230769,0.477707006,0.952380952,1,0.75,6141,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,2,0,0.9,0.7,3600,2,-71.3,0,590.6464779,0,0.502136752,0.519230769,0.477707006,0.952380952,1,0.75,6047,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,2,0,0.91,0.7,3600,2,-71.3,0,715.420367,0,0.502136752,0.519230769,0.477707006,0.952380952,1,0.75,5489,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,2,0,0.92,0.7,3600,2,-71.3,0,327.6172831,0,0.502136752,0.519230769,0.477707006,0.952380952,1,0.75,5652,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,2,0,0.93,0.7,3600,2,-71.3,0,801.1996441,0,0.502136752,0.519230769,0.477707006,0.952380952,1,0.75,5395,0,0,0,0
FlowOCT,balance_scale_onehot,2,468,2,0,0.94,0.7,3600,2,-71.3,0,589.2058041,0,0.502136752,0.519230769,0.477707006,0.952380952,1,0.75,4981,0,0,0,0
