method,dataset,run,depth,restricted_class,beta_p,objective_value,optimality_gap,time,gamma,train_acc,test_acc,train_prec,test_prec
U-BinOCT,balance_scale,1,2,0,,127.0,0.0,2.8773441314697266,,0.7286324786324786,0.6815286624203821,0.6966292134831461,0.6626506024096386
U-BinOCT,balance_scale,2,2,0,,127.0,0.0,1.7845380306243896,,0.7286324786324786,0.6815286624203821,0.7788944723618091,0.6842105263157895
U-BinOCT,balance_scale,3,2,0,,126.0,0.0,1.9145629405975342,,0.7307692307692307,0.6751592356687898,0.7707317073170732,0.7
U-BinOCT,balance_scale,4,2,0,,125.0,0.0,2.004926919937134,,0.7329059829059829,0.6687898089171974,0.7783251231527094,0.6805555555555556
U-BinOCT,balance_scale,1,3,0,,98.99999998599999,0.9589139066928031,3600.057494878769,,0.7884615384615384,0.7006369426751592,0.7931034482758621,0.6987951807228916
U-BinOCT,balance_scale,2,3,0,,98.999999984,0.9671144815712963,3600.0684530735016,,0.7884615384615384,0.7006369426751592,0.7824267782426778,0.7236842105263158
U-BinOCT,balance_scale,3,3,0,,98.999999984,0.9666426968921692,3600.075623989105,,0.7628205128205128,0.7452229299363057,0.7952380952380952,0.8333333333333334
U-BinOCT,balance_scale,4,3,0,,96.99999998502777,0.9547613394423523,3600.0910170078278,,0.7927350427350427,0.7197452229299363,0.7982832618025751,0.7222222222222222
U-BinOCT,balance_scale,1,4,0,,73.99999997999998,0.9999999999986486,3600.134001970291,,0.8418803418803419,0.7707006369426752,0.8418803418803419,0.7792207792207793
U-BinOCT,balance_scale,2,4,0,,72.0,0.9999999999986111,3600.225837945938,,0.8461538461538461,0.7834394904458599,0.8528138528138528,0.8055555555555556
U-BinOCT,balance_scale,3,4,0,,72.99999998533333,0.9999999999986301,3600.224974155426,,0.844017094017094,0.8152866242038217,0.8218623481781376,0.8493150684931506
U-BinOCT,balance_scale,4,4,0,,69.0,0.9999999999985507,3600.225461959839,,0.8525641025641025,0.7770700636942676,0.8388429752066116,0.7972972972972973
