approach,dataset,sample,nrow,depth,restricted_class,beta_p,lambda,time_limit,status,obj_value,gamma_value,solving_time,gap,train_acc,eval_acc,test_acc,train_prec,eval_prec,test_prec,node_count,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc
"BendersOCT","ctmc_5buckets",1,1104,2,0,"",0.6,3600,2,-214.5999999999923,"",67.89840388298035,0.0,0.5181159420289855,0.48641304347826086,0.45799457994579945,0.5639810426540285,0.5203619909502263,0.525,6195.0,2.15079927444458,2.0829453468322754,33,28
"BendersOCT","ctmc_5buckets",2,1104,2,0,"",0.4,3600,2,-316.80000000001314,"",21.58605694770813,0.0,0.5235507246376812,0.5244565217391305,0.4796747967479675,0.6900584795321637,0.7053571428571429,0.66,6948.0,2.0786194801330566,1.9183244705200195,47,35
"BendersOCT","ctmc_5buckets",3,1104,2,0,"",0.3,3600,2,-383.1000000000107,"",29.304331064224243,0.0,0.5054347826086957,0.5271739130434783,0.5338753387533876,0.6901840490797546,0.6885245901639344,0.6637931034482759,9171.0,2.3165078163146973,2.166013717651367,50,40
"BendersOCT","ctmc_5buckets",4,1104,2,0,"",0.7,3600,2,-163.80000000000658,"",18.836405038833618,0.0,0.5117753623188406,0.5163043478260869,0.5149051490514905,0.6859756097560976,0.6826923076923077,0.6754385964912281,7654.0,1.82470703125,1.71677827835083,37,29
"BendersOCT","ctmc_5buckets",1,1104,3,0,"",0.9,3600,9,-53.39999999999809,"",3600.092968940735,73.27119128045257,0.5407608695652174,0.5,0.47696476964769646,0.5692771084337349,0.5217391304347826,0.5336538461538461,372397.0,6.6006083488464355,6.409002065658569,61,53
"BendersOCT","ctmc_5buckets",2,1104,3,0,"",0.3,3600,9,-347.60000000001054,"",3600.1320481300354,80.98388952819072,0.552536231884058,0.5652173913043478,0.5176151761517616,0.6396396396396397,0.6594202898550725,0.6301369863013698,389201.0,7.251685380935669,6.886141300201416,83,68
"BendersOCT","ctmc_5buckets",3,1104,3,0,"",0.8,3600,9,-103.79999999999617,"",3600.0418717861176,76.68593448940564,0.5443840579710145,0.5407608695652174,0.5040650406504065,0.6,0.5792349726775956,0.543010752688172,413911.0,7.322929620742798,7.051720142364502,85,72
"BendersOCT","ctmc_5buckets",4,1104,3,0,"",0.5,3600,9,-251.0,"",3600.132076025009,79.6812749003984,0.5507246376811594,0.5570652173913043,0.5230352303523035,0.6404494382022472,0.6333333333333333,0.6275862068965518,418667.0,7.134941577911377,6.835678339004517,106,90
"BendersOCT","ctmc_5buckets",1,1104,4,0,"",0.8,3600,9,-102.1999999999962,"",3600.1176228523254,96.27735491279229,0.5625,0.532608695652174,0.5284552845528455,0.6666666666666666,0.6111111111111112,0.6193548387096774,29777.0,18.0552761554718,17.626157522201538,183,161
"BendersOCT","ctmc_5buckets",2,1104,4,0,"",0.2,3600,9,-384.1999999999848,"",3600.2183001041412,99.79177511713065,0.5679347826086957,0.5869565217391305,0.4878048780487805,0.7048346055979644,0.7313432835820896,0.6470588235294118,27363.0,17.481364965438843,16.720898389816284,184,158
"BendersOCT","ctmc_5buckets",3,1104,4,0,"",0.4,3600,9,-298.40000000001305,"",3600.200576066971,99.19571045575954,0.5579710144927537,0.5489130434782609,0.5121951219512195,0.5774877650897227,0.587378640776699,0.545,27339.0,18.0393168926239,17.466252088546753,173,151
"BendersOCT","ctmc_5buckets",4,1104,4,0,"",0.5,3600,9,-247.5,"",3600.203348875046,99.11100035030768,0.5634057971014492,0.5516304347826086,0.5040650406504065,0.601027397260274,0.5894736842105263,0.5714285714285714,26553.0,17.396538496017456,16.88811492919922,167,148
