method,dataset,run,depth,restricted_class,beta_p,objective_value,optimality_gap,time,gamma,train_acc,test_acc,train_prec,test_prec
C-BinOCT,ctmc,1,2,0,0.54,488.0,8.330134876327815e-05,139.77034497261047,0.0,0.5579710144927537,0.5094850948509485,0.6420824295010846,0.5949367088607594
C-BinOCT,ctmc,1,2,0,0.56,488.0,9.727118752869289e-05,173.9617350101471,0.0,0.5579710144927537,0.5094850948509485,0.6420824295010846,0.5949367088607594
C-BinOCT,ctmc,1,2,0,0.58,487.999999999,7.396192061201856e-05,140.52417087554932,0.0,0.5579710144927537,0.5094850948509485,0.6420824295010846,0.5949367088607594
C-BinOCT,ctmc,1,2,0,0.6,488.0,7.413817708459909e-05,150.78314304351807,0.0,0.5579710144927537,0.5094850948509485,0.6420824295010846,0.5949367088607594
C-BinOCT,ctmc,1,2,0,0.62,488.0,1.6051020843351607e-05,146.11341190338135,0.0,0.5579710144927537,0.5094850948509485,0.6420824295010846,0.5949367088607594
C-BinOCT,ctmc,1,2,0,0.64,488.0,0.0,110.0199179649353,0.0,0.5579710144927537,0.5094850948509485,0.6420824295010846,0.5949367088607594
C-BinOCT,ctmc,1,2,0,0.66,498.0,5.06758896844418e-05,141.9069950580597,0.0,0.5489130434782609,0.5203252032520326,0.6642685851318945,0.6026490066225165
C-BinOCT,ctmc,1,2,0,0.68,504.0,0.0,123.05326104164124,0.0,0.5434782608695652,0.4986449864498645,0.7474402730375427,0.7204301075268817
C-BinOCT,ctmc,1,2,0,0.7,504.0,0.0,128.72786498069763,0.0,0.5434782608695652,0.4986449864498645,0.7474402730375427,0.7204301075268817
C-BinOCT,ctmc,1,2,0,0.72,504.0,0.0,137.67041611671448,0.0,0.5434782608695652,0.4986449864498645,0.7474402730375427,0.7204301075268817
C-BinOCT,ctmc,2,2,0,0.54,488.0,0.0,148.19195914268494,0.0,0.5579710144927537,0.4932249322493225,0.6567505720823799,0.6183206106870229
