dataset,depth,run,type,tau_0,varrho,key_beta_p,beta_p,objective_value,optimality_gap,time,actual_time,same_pieces,gamma,z_frac,z_counts,train_frac,train_constraint_gap,train_counts,test_frac,test_constraint_gap,test_counts,test_train_gap,vio_asm_equal_0,vio_asm_interval,vio_feasibilitytol,vio_asm_equal_0_rate,vio_asm_interval_rate,vio_feasibilitytol_rate,z_integrality_vio,train_acc,test_acc,train_prec,test_prec
ctmc,2,1,simplified_arbitrary1_shrinkage,5,0,1,0.54,0.5144927536231884,0.9436619718309861,1079.9777252674103,1080.913640499115,,0.0,"{'acc_margin': 0.514, 'prec1': 0.692, 'prec2': 0.517, 'prec3': 0.431}","{'acc_margin': {'nm': 568.0, 'dm': 1104}, 1: {'nm': 191.0, 'dm': 276.0}, 2: {'nm': 119.0, 'dm': 230.0}, 3: {'nm': 258.0, 'dm': 598.0}}","{'acc': 0.514, 'acc_margin': 0.514, 'prec1': 0.692, 'prec2': 0.517, 'prec3': 0.431}",{'prec1': 0},"{'acc': {'nm': 568, 'dm': 1104}, 'acc_margin': {'nm': 568, 'dm': 1104}, 'prec1': {'nm': 191, 'dm': 276}, 'prec2': {'nm': 119, 'dm': 230}, 'prec3': {'nm': 258, 'dm': 598}}","{'acc': 0.472, 'acc_margin': 0.472, 'prec1': 0.617, 'prec2': 0.397, 'prec3': 0.418}",{'prec1': 0},"{'acc': {'nm': 174, 'dm': 369}, 'acc_margin': {'nm': 174, 'dm': 369}, 'prec1': {'nm': 66, 'dm': 107}, 'prec2': {'nm': 29, 'dm': 73}, 'prec3': {'nm': 79, 'dm': 189}}","{'acc': -0.042, 'acc_margin': -0.042, 'prec1': -0.075, 'prec2': -0.12, 'prec3': -0.013}",0,0,0,0.0,0.0,0.0,0,0.514,0.472,0.692,0.617
ctmc,2,2,simplified_arbitrary1_shrinkage,4,0,1,0.54,0.5643115942028986,0.7720706260032103,1216.0429632663727,1217.0191252231598,,0.0,"{'acc_margin': 0.564, 'prec1': 0.65, 'prec2': -1, 'prec3': 0.492}","{'acc_margin': {'nm': 623.0, 'dm': 1104}, 1: {'nm': 321.0, 'dm': 494.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 302.0, 'dm': 614.0}}","{'acc': 0.564, 'acc_margin': 0.564, 'prec1': 0.651, 'prec2': -1, 'prec3': 0.494}",{'prec1': 0},"{'acc': {'nm': 623, 'dm': 1104}, 'acc_margin': {'nm': 623, 'dm': 1104}, 'prec1': {'nm': 321, 'dm': 493}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 302, 'dm': 611}}","{'acc': 0.477, 'acc_margin': 0.477, 'prec1': 0.562, 'prec2': -1, 'prec3': 0.422}",{'prec1': 0},"{'acc': {'nm': 176, 'dm': 369}, 'acc_margin': {'nm': 176, 'dm': 369}, 'prec1': {'nm': 81, 'dm': 144}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 95, 'dm': 225}}","{'acc': -0.087, 'acc_margin': -0.087, 'prec1': -0.089, 'prec2': 999, 'prec3': -0.072}",0,0,0,0.0,0.0,0.0,0,0.564,0.477,0.651,0.562
ctmc,2,3,simplified_arbitrary1_shrinkage,6,0,1,0.54,0.5235507246376812,0.9100346020761246,1046.1797227859497,1047.1488094329834,,0.0,"{'acc_margin': 0.524, 'prec1': 0.694, 'prec2': 0.498, 'prec3': 0.455}","{'acc_margin': {'nm': 578.0, 'dm': 1104}, 1: {'nm': 200.0, 'dm': 288.0}, 2: {'nm': 103.0, 'dm': 207.0}, 3: {'nm': 277.0, 'dm': 609.0}}","{'acc': 0.525, 'acc_margin': 0.524, 'prec1': 0.694, 'prec2': 0.498, 'prec3': 0.455}",{'prec1': 0},"{'acc': {'nm': 580, 'dm': 1104}, 'acc_margin': {'nm': 578, 'dm': 1104}, 'prec1': {'nm': 200, 'dm': 288}, 'prec2': {'nm': 103, 'dm': 207}, 'prec3': {'nm': 277, 'dm': 609}}","{'acc': 0.509, 'acc_margin': 0.501, 'prec1': 0.674, 'prec2': 0.581, 'prec3': 0.415}",{'prec1': 0},"{'acc': {'nm': 188, 'dm': 369}, 'acc_margin': {'nm': 185, 'dm': 369}, 'prec1': {'nm': 64, 'dm': 95}, 'prec2': {'nm': 36, 'dm': 62}, 'prec3': {'nm': 88, 'dm': 212}}","{'acc': -0.016, 'acc_margin': -0.023, 'prec1': -0.02, 'prec2': 0.083, 'prec3': -0.04}",0,0,0,0.0,0.0,0.0,0,0.525,0.509,0.694,0.674
ctmc,2,4,simplified_arbitrary1_shrinkage,5,0,1,0.54,0.5181159420289856,0.9300699300699298,1241.2373600006104,1242.1592745780945,,0.0,"{'acc_margin': 0.518, 'prec1': 0.715, 'prec2': 0.525, 'prec3': 0.43}","{'acc_margin': {'nm': 572.0, 'dm': 1104}, 1: {'nm': 196.0, 'dm': 274.0}, 2: {'nm': 104.0, 'dm': 198.0}, 3: {'nm': 272.0, 'dm': 632.0}}","{'acc': 0.518, 'acc_margin': 0.518, 'prec1': 0.715, 'prec2': 0.525, 'prec3': 0.43}",{'prec1': 0},"{'acc': {'nm': 572, 'dm': 1104}, 'acc_margin': {'nm': 572, 'dm': 1104}, 'prec1': {'nm': 196, 'dm': 274}, 'prec2': {'nm': 104, 'dm': 198}, 'prec3': {'nm': 272, 'dm': 632}}","{'acc': 0.504, 'acc_margin': 0.504, 'prec1': 0.673, 'prec2': 0.468, 'prec3': 0.432}",{'prec1': 0},"{'acc': {'nm': 186, 'dm': 369}, 'acc_margin': {'nm': 186, 'dm': 369}, 'prec1': {'nm': 68, 'dm': 101}, 'prec2': {'nm': 29, 'dm': 62}, 'prec3': {'nm': 89, 'dm': 206}}","{'acc': -0.014, 'acc_margin': -0.014, 'prec1': -0.042, 'prec2': -0.057, 'prec3': 0.002}",0,0,0,0.0,0.0,0.0,0,0.518,0.504,0.715,0.673
ctmc,2,1,simplified_arbitrary1_shrinkage,5,0,1,0.56,0.5280797101449275,0.8936535162950259,933.1256811618805,934.0445506572723,,0.0,"{'acc_margin': 0.528, 'prec1': 0.687, 'prec2': 0.517, 'prec3': 0.446}","{'acc_margin': {'nm': 583.0, 'dm': 1104}, 1: {'nm': 211.0, 'dm': 307.0}, 2: {'nm': 119.0, 'dm': 230.0}, 3: {'nm': 253.0, 'dm': 567.0}}","{'acc': 0.528, 'acc_margin': 0.528, 'prec1': 0.687, 'prec2': 0.517, 'prec3': 0.446}",{'prec1': 0},"{'acc': {'nm': 583, 'dm': 1104}, 'acc_margin': {'nm': 583, 'dm': 1104}, 'prec1': {'nm': 211, 'dm': 307}, 'prec2': {'nm': 119, 'dm': 230}, 'prec3': {'nm': 253, 'dm': 567}}","{'acc': 0.466, 'acc_margin': 0.466, 'prec1': 0.607, 'prec2': 0.397, 'prec3': 0.413}",{'prec1': 0},"{'acc': {'nm': 172, 'dm': 369}, 'acc_margin': {'nm': 172, 'dm': 369}, 'prec1': {'nm': 65, 'dm': 107}, 'prec2': {'nm': 29, 'dm': 73}, 'prec3': {'nm': 78, 'dm': 189}}","{'acc': -0.062, 'acc_margin': -0.062, 'prec1': -0.08, 'prec2': -0.12, 'prec3': -0.033}",0,0,0,0.0,0.0,0.0,0,0.528,0.466,0.687,0.607
ctmc,2,2,simplified_arbitrary1_shrinkage,4,0,1,0.56,0.5561594202898551,0.7980456026058631,668.0951006412506,669.0462095737457,,0.0,"{'acc_margin': 0.556, 'prec1': 0.653, 'prec2': -1, 'prec3': 0.488}","{'acc_margin': {'nm': 614.0, 'dm': 1104}, 1: {'nm': 296.0, 'dm': 453.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 318.0, 'dm': 651.0}}","{'acc': 0.556, 'acc_margin': 0.556, 'prec1': 0.653, 'prec2': -1, 'prec3': 0.488}",{'prec1': 0},"{'acc': {'nm': 614, 'dm': 1104}, 'acc_margin': {'nm': 614, 'dm': 1104}, 'prec1': {'nm': 296, 'dm': 453}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 318, 'dm': 651}}","{'acc': 0.477, 'acc_margin': 0.477, 'prec1': 0.563, 'prec2': -1, 'prec3': 0.423}",{'prec1': 0},"{'acc': {'nm': 176, 'dm': 369}, 'acc_margin': {'nm': 176, 'dm': 369}, 'prec1': {'nm': 80, 'dm': 142}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 96, 'dm': 227}}","{'acc': -0.079, 'acc_margin': -0.079, 'prec1': -0.09, 'prec2': 999, 'prec3': -0.065}",0,0,0,0.0,0.0,0.0,0,0.556,0.477,0.653,0.563
ctmc,2,3,simplified_arbitrary1_shrinkage,6,0,1,0.56,0.532608695652174,0.8775510204081631,952.8754930496216,953.8114624023438,,0.0,"{'acc_margin': 0.533, 'prec1': 0.745, 'prec2': 0.472, 'prec3': 0.465}","{'acc_margin': {'nm': 588.0, 'dm': 1104}, 1: {'nm': 199.0, 'dm': 267.0}, 2: {'nm': 110.0, 'dm': 233.0}, 3: {'nm': 281.0, 'dm': 604.0}}","{'acc': 0.534, 'acc_margin': 0.533, 'prec1': 0.745, 'prec2': 0.472, 'prec3': 0.465}",{'prec1': 0},"{'acc': {'nm': 590, 'dm': 1104}, 'acc_margin': {'nm': 588, 'dm': 1104}, 'prec1': {'nm': 199, 'dm': 267}, 'prec2': {'nm': 110, 'dm': 233}, 'prec3': {'nm': 281, 'dm': 604}}","{'acc': 0.477, 'acc_margin': 0.463, 'prec1': 0.674, 'prec2': 0.513, 'prec3': 0.382}",{'prec1': 0},"{'acc': {'nm': 176, 'dm': 369}, 'acc_margin': {'nm': 171, 'dm': 369}, 'prec1': {'nm': 58, 'dm': 86}, 'prec2': {'nm': 39, 'dm': 76}, 'prec3': {'nm': 79, 'dm': 207}}","{'acc': -0.057, 'acc_margin': -0.07, 'prec1': -0.071, 'prec2': 0.041, 'prec3': -0.083}",0,0,0,0.0,0.0,0.0,0,0.534,0.477,0.745,0.674
ctmc,2,4,simplified_arbitrary1_shrinkage,5,0,1,0.56,0.5335144927536232,0.8743633276740238,852.944904088974,853.8922770023346,,0.0,"{'acc_margin': 0.534, 'prec1': 0.636, 'prec2': 0.576, 'prec3': 0.453}","{'acc_margin': {'nm': 589.0, 'dm': 1104}, 1: {'nm': 227.0, 'dm': 357.0}, 2: {'nm': 110.0, 'dm': 191.0}, 3: {'nm': 252.0, 'dm': 556.0}}","{'acc': 0.534, 'acc_margin': 0.534, 'prec1': 0.636, 'prec2': 0.576, 'prec3': 0.453}",{'prec1': 0},"{'acc': {'nm': 589, 'dm': 1104}, 'acc_margin': {'nm': 589, 'dm': 1104}, 'prec1': {'nm': 227, 'dm': 357}, 'prec2': {'nm': 110, 'dm': 191}, 'prec3': {'nm': 252, 'dm': 556}}","{'acc': 0.501, 'acc_margin': 0.501, 'prec1': 0.623, 'prec2': 0.458, 'prec3': 0.428}",{'prec1': 0},"{'acc': {'nm': 185, 'dm': 369}, 'acc_margin': {'nm': 185, 'dm': 369}, 'prec1': {'nm': 81, 'dm': 130}, 'prec2': {'nm': 27, 'dm': 59}, 'prec3': {'nm': 77, 'dm': 180}}","{'acc': -0.033, 'acc_margin': -0.033, 'prec1': -0.013, 'prec2': -0.118, 'prec3': -0.025}",0,0,0,0.0,0.0,0.0,0,0.534,0.501,0.636,0.623
ctmc,2,1,simplified_arbitrary1_shrinkage,5,0,1,0.58,0.5289855072463768,0.8904109589041095,992.0075647830963,992.9534158706665,,0.0,"{'acc_margin': 0.529, 'prec1': 0.691, 'prec2': 0.52, 'prec3': 0.447}","{'acc_margin': {'nm': 584.0, 'dm': 1104}, 1: {'nm': 210.0, 'dm': 304.0}, 2: {'nm': 119.0, 'dm': 229.0}, 3: {'nm': 255.0, 'dm': 571.0}}","{'acc': 0.529, 'acc_margin': 0.529, 'prec1': 0.691, 'prec2': 0.52, 'prec3': 0.447}",{'prec1': 0},"{'acc': {'nm': 584, 'dm': 1104}, 'acc_margin': {'nm': 584, 'dm': 1104}, 'prec1': {'nm': 210, 'dm': 304}, 'prec2': {'nm': 119, 'dm': 229}, 'prec3': {'nm': 255, 'dm': 571}}","{'acc': 0.466, 'acc_margin': 0.466, 'prec1': 0.613, 'prec2': 0.397, 'prec3': 0.411}",{'prec1': 0},"{'acc': {'nm': 172, 'dm': 369}, 'acc_margin': {'nm': 172, 'dm': 369}, 'prec1': {'nm': 65, 'dm': 106}, 'prec2': {'nm': 29, 'dm': 73}, 'prec3': {'nm': 78, 'dm': 190}}","{'acc': -0.063, 'acc_margin': -0.063, 'prec1': -0.078, 'prec2': -0.123, 'prec3': -0.036}",0,0,0,0.0,0.0,0.0,0,0.529,0.466,0.691,0.613
ctmc,2,2,simplified_arbitrary1_shrinkage,4,0,1,0.58,0.572463768115942,0.7468354430379747,1044.9482188224792,1045.865894317627,,0.0,"{'acc_margin': 0.572, 'prec1': 0.692, 'prec2': -1, 'prec3': 0.49}","{'acc_margin': {'nm': 632.0, 'dm': 1104}, 1: {'nm': 312.0, 'dm': 451.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 320.0, 'dm': 653.0}}","{'acc': 0.572, 'acc_margin': 0.572, 'prec1': 0.692, 'prec2': -1, 'prec3': 0.49}",{'prec1': 0},"{'acc': {'nm': 632, 'dm': 1104}, 'acc_margin': {'nm': 632, 'dm': 1104}, 'prec1': {'nm': 312, 'dm': 451}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 320, 'dm': 653}}","{'acc': 0.482, 'acc_margin': 0.482, 'prec1': 0.583, 'prec2': -1, 'prec3': 0.422}",{'prec1': 0},"{'acc': {'nm': 178, 'dm': 369}, 'acc_margin': {'nm': 178, 'dm': 369}, 'prec1': {'nm': 81, 'dm': 139}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 97, 'dm': 230}}","{'acc': -0.09, 'acc_margin': -0.09, 'prec1': -0.109, 'prec2': 999, 'prec3': -0.068}",0,0,0,0.0,0.0,0.0,0,0.572,0.482,0.692,0.583
