method,dataset,run,depth,restricted_class,beta_p,objective_value,optimality_gap,time,gamma,train_acc,test_acc,train_prec,test_prec
U-BinOCT,ctmc,1,2,0,,487.9999999999998,6.823588708725973e-05,104.38475298881531,,0.5579710144927537,0.5094850948509485,0.6420824295010846,0.5949367088607594
U-BinOCT,ctmc,2,2,0,,488.0,8.719482621430851e-05,103.75891709327698,,0.5579710144927537,0.4932249322493225,0.6567505720823799,0.6183206106870229
U-BinOCT,ctmc,3,2,0,,502.0,9.2019949920115e-05,123.57433414459229,,0.5452898550724637,0.5474254742547425,0.6405228758169934,0.6
U-BinOCT,ctmc,4,2,0,,493.0,2.8153946374168603e-05,96.1476559638977,,0.5534420289855072,0.5230352303523035,0.6336206896551724,0.6193548387096774
U-BinOCT,ctmc,1,3,0,,476.99999999865275,0.9999999999997904,3600.318928003311,,0.5679347826086957,0.4986449864498645,0.6387755102040816,0.5688622754491018
U-BinOCT,ctmc,2,3,0,,453.0,0.9999999999997793,3600.4872250556946,,0.5896739130434783,0.5094850948509485,0.6378676470588235,0.5872093023255814
U-BinOCT,ctmc,3,3,0,,476.0,0.99999999999979,3600.515892982483,,0.5688405797101449,0.5555555555555556,0.6415478615071283,0.6094674556213018
U-BinOCT,ctmc,4,3,0,,461.0,0.9999999999997831,3600.2549550533295,,0.582427536231884,0.5447154471544715,0.6869158878504673,0.7
U-BinOCT,ctmc,1,4,0,,465.999999998,0.9999999999997854,3600.509220123291,,0.5778985507246377,0.4905149051490515,0.6474226804123712,0.562874251497006
U-BinOCT,ctmc,2,4,0,,448.0,0.9999999999997768,3600.712124109268,,0.5942028985507246,0.5067750677506775,0.7384615384615385,0.6695652173913044
U-BinOCT,ctmc,3,4,0,,463.999999996,0.9999999999997845,3600.4444301128387,,0.5797101449275363,0.5528455284552846,0.6254752851711026,0.5956284153005464
U-BinOCT,ctmc,4,4,0,,464.0,0.9999999999997845,3600.4813199043274,,0.5797101449275363,0.5013550135501355,0.6326129666011788,0.5722543352601156
