run,type,tau_0,varrho,beta_p,objective_value,optimality_gap,time,actual_time,same_pieces,gamma,z_frac,z_counts,train_frac,train_constraint_gap,train_counts,test_frac,test_constraint_gap,test_counts,test_train_gap,vio_asm_equal_0,vio_asm_interval,vio_feasibilitytol,vio_asm_equal_0_rate,vio_asm_interval_rate,vio_feasibilitytol_rate,z_integrality_vio
1,full_mip,8,0,{1: 0.63},0.43025362318840576,1.3242105263157897,3601.918310880661,3602.0779099464417,,{1: 0.0},"{'acc_margin': 0.43, 'prec1': 0.684, 'prec2': 0.0, 'prec3': 0.0}","{'acc_margin': {'nm': 475.0, 'dm': 1104}, 1: {'nm': 67.0, 'dm': 98.0}, 2: {'nm': 0.0, 'dm': 580.0}, 3: {'nm': 0.0, 'dm': 1351.0}}","{'acc': 0.43, 'acc_margin': 0.43, 'prec1': 0.949, 'prec2': 0.398, 'prec3': 0.386}",{'prec1': 0},"{'acc': {'nm': 475, 'dm': 1104}, 'acc_margin': {'nm': 475, 'dm': 1104}, 'prec1': {'nm': 74, 'dm': 78}, 'prec2': {'nm': 158, 'dm': 397}, 'prec3': {'nm': 243, 'dm': 629}}","{'acc': 0.407, 'acc_margin': 0.407, 'prec1': 0.963, 'prec2': 0.348, 'prec3': 0.373}",{'prec1': 0},"{'acc': {'nm': 150, 'dm': 369}, 'acc_margin': {'nm': 150, 'dm': 369}, 'prec1': {'nm': 26, 'dm': 27}, 'prec2': {'nm': 49, 'dm': 141}, 'prec3': {'nm': 75, 'dm': 201}}","{'acc': -0.023, 'acc_margin': -0.023, 'prec1': 0.014, 'prec2': -0.05, 'prec3': -0.013}",0,0,0,0.0,0.0,0.0,0
1,base_fixed,8,0,{1: 0.63},0.4519927536231884,1.2124248496993986,1444.8301837444305,1444.8301906585693,,{1: 0.0},"{'acc_margin': 0.452, 'prec1': 0.944, 'prec2': 0.412, 'prec3': 0.39}","{'acc_margin': {'nm': 499.0, 'dm': 1104}, 1: {'nm': 102.0, 'dm': 108.0}, 2: {'nm': 159.0, 'dm': 386.0}, 3: {'nm': 238.0, 'dm': 610.0}}","{'acc': 0.452, 'acc_margin': 0.452, 'prec1': 0.944, 'prec2': 0.412, 'prec3': 0.39}",{'prec1': 0},"{'acc': {'nm': 499, 'dm': 1104}, 'acc_margin': {'nm': 499, 'dm': 1104}, 'prec1': {'nm': 102, 'dm': 108}, 'prec2': {'nm': 159, 'dm': 386}, 'prec3': {'nm': 238, 'dm': 610}}","{'acc': 0.431, 'acc_margin': 0.428, 'prec1': 0.972, 'prec2': 0.35, 'prec3': 0.388}",{'prec1': 0},"{'acc': {'nm': 159, 'dm': 369}, 'acc_margin': {'nm': 158, 'dm': 369}, 'prec1': {'nm': 35, 'dm': 36}, 'prec2': {'nm': 48, 'dm': 137}, 'prec3': {'nm': 76, 'dm': 196}}","{'acc': -0.021, 'acc_margin': -0.024, 'prec1': 0.028, 'prec2': -0.062, 'prec3': -0.002}",0,0,0,0.0,0.0,0.0,0
1,base_shrinkage,8,0,{1: 0.63},0.48641304347826086,1.0558659217877095,5777.597625255585,5777.597654342651,,{1: 0.0},"{'acc_margin': 0.486, 'prec1': 0.84, 'prec2': 0.431, 'prec3': 0.425}","{'acc_margin': {'nm': 537.0, 'dm': 1104}, 1: {'nm': 137.0, 'dm': 163.0}, 2: {'nm': 160.0, 'dm': 371.0}, 3: {'nm': 242.0, 'dm': 570.0}}","{'acc': 0.488, 'acc_margin': 0.486, 'prec1': 0.84, 'prec2': 0.431, 'prec3': 0.425}",{'prec1': 0},"{'acc': {'nm': 539, 'dm': 1104}, 'acc_margin': {'nm': 537, 'dm': 1104}, 'prec1': {'nm': 137, 'dm': 163}, 'prec2': {'nm': 160, 'dm': 371}, 'prec3': {'nm': 242, 'dm': 570}}","{'acc': 0.458, 'acc_margin': 0.444, 'prec1': 0.8, 'prec2': 0.344, 'prec3': 0.416}",{'prec1': 0},"{'acc': {'nm': 169, 'dm': 369}, 'acc_margin': {'nm': 164, 'dm': 369}, 'prec1': {'nm': 52, 'dm': 65}, 'prec2': {'nm': 45, 'dm': 131}, 'prec3': {'nm': 72, 'dm': 173}}","{'acc': -0.03, 'acc_margin': -0.042, 'prec1': -0.04, 'prec2': -0.087, 'prec3': -0.009}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary4_fixed,8,0,{1: 0.63},0.5217391304347826,0.9166666666666667,689.0949845314026,693.7266199588776,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",{1: 0.0},"{'acc_margin': 0.522, 'prec1': 0.632, 'prec2': 0.125, 'prec3': 0.195}","{'acc_margin': {'nm': 576.0, 'dm': 1104}, 1: {'nm': 175.0, 'dm': 277.0}, 2: {'nm': 34.0, 'dm': 273.0}, 3: {'nm': 159.0, 'dm': 814.0}}","{'acc': 0.522, 'acc_margin': 0.522, 'prec1': 0.728, 'prec2': 0.52, 'prec3': 0.439}",{'prec1': 0},"{'acc': {'nm': 576, 'dm': 1104}, 'acc_margin': {'nm': 576, 'dm': 1104}, 'prec1': {'nm': 185, 'dm': 254}, 'prec2': {'nm': 115, 'dm': 221}, 'prec3': {'nm': 276, 'dm': 629}}","{'acc': 0.482, 'acc_margin': 0.48, 'prec1': 0.693, 'prec2': 0.416, 'prec3': 0.417}",{'prec1': 0},"{'acc': {'nm': 178, 'dm': 369}, 'acc_margin': {'nm': 177, 'dm': 369}, 'prec1': {'nm': 61, 'dm': 88}, 'prec2': {'nm': 32, 'dm': 77}, 'prec3': {'nm': 85, 'dm': 204}}","{'acc': -0.04, 'acc_margin': -0.042, 'prec1': -0.035, 'prec2': -0.104, 'prec3': -0.022}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary1_fixed,8,0,{1: 0.63},0.519927536231884,0.9233449477351917,691.0560474395752,693.5664799213409,,{1: 0.0},"{'acc_margin': 0.52, 'prec1': 0.731, 'prec2': 0.512, 'prec3': 0.436}","{'acc_margin': {'nm': 574.0, 'dm': 1104}, 1: {'nm': 185.0, 'dm': 253.0}, 2: {'nm': 126.0, 'dm': 246.0}, 3: {'nm': 264.0, 'dm': 605.0}}","{'acc': 0.521, 'acc_margin': 0.52, 'prec1': 0.731, 'prec2': 0.512, 'prec3': 0.436}",{'prec1': 0},"{'acc': {'nm': 575, 'dm': 1104}, 'acc_margin': {'nm': 574, 'dm': 1104}, 'prec1': {'nm': 185, 'dm': 253}, 'prec2': {'nm': 126, 'dm': 246}, 'prec3': {'nm': 264, 'dm': 605}}","{'acc': 0.488, 'acc_margin': 0.488, 'prec1': 0.701, 'prec2': 0.42, 'prec3': 0.423}",{'prec1': 0},"{'acc': {'nm': 180, 'dm': 369}, 'acc_margin': {'nm': 180, 'dm': 369}, 'prec1': {'nm': 61, 'dm': 87}, 'prec2': {'nm': 34, 'dm': 81}, 'prec3': {'nm': 85, 'dm': 201}}","{'acc': -0.033, 'acc_margin': -0.032, 'prec1': -0.03, 'prec2': -0.092, 'prec3': -0.013}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary4_shrinkage,8,0,{1: 0.63},0.5371376811594204,0.8617200674536253,985.3572006225586,987.2377798557281,"{'iter_0': 0, 'iter_1': 0, 'iter_2': 0, 'iter_3': 0}",{1: 0.0},"{'acc_margin': 0.537, 'prec1': 0.744, 'prec2': 0.521, 'prec3': 0.457}","{'acc_margin': {'nm': 593.0, 'dm': 1104}, 1: {'nm': 189.0, 'dm': 254.0}, 2: {'nm': 126.0, 'dm': 242.0}, 3: {'nm': 278.0, 'dm': 608.0}}","{'acc': 0.537, 'acc_margin': 0.537, 'prec1': 0.744, 'prec2': 0.521, 'prec3': 0.457}",{'prec1': 0},"{'acc': {'nm': 593, 'dm': 1104}, 'acc_margin': {'nm': 593, 'dm': 1104}, 'prec1': {'nm': 189, 'dm': 254}, 'prec2': {'nm': 126, 'dm': 242}, 'prec3': {'nm': 278, 'dm': 608}}","{'acc': 0.472, 'acc_margin': 0.469, 'prec1': 0.667, 'prec2': 0.41, 'prec3': 0.415}",{'prec1': 0},"{'acc': {'nm': 174, 'dm': 369}, 'acc_margin': {'nm': 173, 'dm': 369}, 'prec1': {'nm': 56, 'dm': 84}, 'prec2': {'nm': 32, 'dm': 78}, 'prec3': {'nm': 86, 'dm': 207}}","{'acc': -0.065, 'acc_margin': -0.068, 'prec1': -0.077, 'prec2': -0.111, 'prec3': -0.042}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary1_shrinkage,8,0,{1: 0.63},0.5371376811594204,0.8617200674536253,984.9505219459534,985.9571363925934,,{1: 0.0},"{'acc_margin': 0.537, 'prec1': 0.744, 'prec2': 0.521, 'prec3': 0.457}","{'acc_margin': {'nm': 593.0, 'dm': 1104}, 1: {'nm': 189.0, 'dm': 254.0}, 2: {'nm': 126.0, 'dm': 242.0}, 3: {'nm': 278.0, 'dm': 608.0}}","{'acc': 0.537, 'acc_margin': 0.537, 'prec1': 0.744, 'prec2': 0.521, 'prec3': 0.457}",{'prec1': 0},"{'acc': {'nm': 593, 'dm': 1104}, 'acc_margin': {'nm': 593, 'dm': 1104}, 'prec1': {'nm': 189, 'dm': 254}, 'prec2': {'nm': 126, 'dm': 242}, 'prec3': {'nm': 278, 'dm': 608}}","{'acc': 0.472, 'acc_margin': 0.469, 'prec1': 0.667, 'prec2': 0.41, 'prec3': 0.415}",{'prec1': 0},"{'acc': {'nm': 174, 'dm': 369}, 'acc_margin': {'nm': 173, 'dm': 369}, 'prec1': {'nm': 56, 'dm': 84}, 'prec2': {'nm': 32, 'dm': 78}, 'prec3': {'nm': 86, 'dm': 207}}","{'acc': -0.065, 'acc_margin': -0.068, 'prec1': -0.077, 'prec2': -0.111, 'prec3': -0.042}",0,0,0,0.0,0.0,0.0,0
2,full_mip,7,0,{1: 0.63},0.4556159420289855,1.194831013916501,2791.4527349472046,3600.222133874893,,{1: 0.0},"{'acc_margin': 0.456, 'prec1': 0.772, 'prec2': 0.077, 'prec3': 0.051}","{'acc_margin': {'nm': 503.0, 'dm': 1104}, 1: {'nm': 71.0, 'dm': 92.0}, 2: {'nm': 24.0, 'dm': 312.0}, 3: {'nm': 101.0, 'dm': 1974.0}}","{'acc': 0.456, 'acc_margin': 0.456, 'prec1': 0.988, 'prec2': 0.295, 'prec3': 0.463}",{'prec1': 0},"{'acc': {'nm': 503, 'dm': 1104}, 'acc_margin': {'nm': 503, 'dm': 1104}, 'prec1': {'nm': 83, 'dm': 84}, 'prec2': {'nm': 92, 'dm': 312}, 'prec3': {'nm': 328, 'dm': 708}}","{'acc': 0.396, 'acc_margin': 0.396, 'prec1': 1.0, 'prec2': 0.25, 'prec3': 0.412}",{'prec1': 0},"{'acc': {'nm': 146, 'dm': 369}, 'acc_margin': {'nm': 146, 'dm': 369}, 'prec1': {'nm': 16, 'dm': 16}, 'prec2': {'nm': 24, 'dm': 96}, 'prec3': {'nm': 106, 'dm': 257}}","{'acc': -0.06, 'acc_margin': -0.06, 'prec1': 0.012, 'prec2': -0.045, 'prec3': -0.051}",0,0,0,0.0,0.0,0.0,0
2,base_fixed,7,0,{1: 0.63},0.529891304347826,0.8871794871794872,1749.8998289108276,1749.8998401165009,,{1: 0.0},"{'acc_margin': 0.53, 'prec1': 0.678, 'prec2': -1, 'prec3': 0.458}","{'acc_margin': {'nm': 585.0, 'dm': 1104}, 1: {'nm': 244.0, 'dm': 360.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 341.0, 'dm': 744.0}}","{'acc': 0.53, 'acc_margin': 0.53, 'prec1': 0.678, 'prec2': -1, 'prec3': 0.458}",{'prec1': 0},"{'acc': {'nm': 585, 'dm': 1104}, 'acc_margin': {'nm': 585, 'dm': 1104}, 'prec1': {'nm': 244, 'dm': 360}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 341, 'dm': 744}}","{'acc': 0.472, 'acc_margin': 0.469, 'prec1': 0.617, 'prec2': -1, 'prec3': 0.412}",{'prec1': -0.013},"{'acc': {'nm': 174, 'dm': 369}, 'acc_margin': {'nm': 173, 'dm': 369}, 'prec1': {'nm': 66, 'dm': 107}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 108, 'dm': 262}}","{'acc': -0.058, 'acc_margin': -0.061, 'prec1': -0.061, 'prec2': 999, 'prec3': -0.046}",0,0,0,0.0,0.0,0.0,0
2,base_shrinkage,7,0,{1: 0.63},0.5461956521739131,0.8308457711442785,5916.486256599426,5916.486294269562,,{1: 0.0},"{'acc_margin': 0.546, 'prec1': 0.67, 'prec2': -1, 'prec3': 0.476}","{'acc_margin': {'nm': 603.0, 'dm': 1104}, 1: {'nm': 268.0, 'dm': 400.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 335.0, 'dm': 704.0}}","{'acc': 0.546, 'acc_margin': 0.546, 'prec1': 0.67, 'prec2': -1, 'prec3': 0.476}",{'prec1': 0},"{'acc': {'nm': 603, 'dm': 1104}, 'acc_margin': {'nm': 603, 'dm': 1104}, 'prec1': {'nm': 268, 'dm': 400}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 335, 'dm': 704}}","{'acc': 0.474, 'acc_margin': 0.474, 'prec1': 0.595, 'prec2': -1, 'prec3': 0.415}",{'prec1': -0.035},"{'acc': {'nm': 175, 'dm': 369}, 'acc_margin': {'nm': 175, 'dm': 369}, 'prec1': {'nm': 72, 'dm': 121}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 103, 'dm': 248}}","{'acc': -0.072, 'acc_margin': -0.072, 'prec1': -0.075, 'prec2': 999, 'prec3': -0.061}",0,0,0,0.0,0.0,0.0,0
