run,type,tau_0,varrho,beta_p,objective_value,optimality_gap,time,actual_time,same_pieces,gamma,z_frac,z_counts,train_frac,train_constraint_gap,train_counts,test_frac,test_constraint_gap,test_counts,test_train_gap,vio_asm_equal_0,vio_asm_interval,vio_feasibilitytol,vio_asm_equal_0_rate,vio_asm_interval_rate,vio_feasibilitytol_rate,z_integrality_vio
1,full_mip,,0,{8: 0.22},-47599.53790849664,1.0000172442813688,3603.0424449443817,3603.0424449443817,,{8: 4.759999999999991},"{'acc_margin': 0.462, 'prec1': 0.506, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 1.0, 'prec6': -1, 'prec7': -1, 'prec8': 0.217, 'prec9': 1.0}","{'acc_margin': {'nm': 1414.0, 'dm': 3060}, 1: {'nm': 357.0, 'dm': 705.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 0.0, 'dm': 0.0}, 4: {'nm': 0.0, 'dm': 0.0}, 5: {'nm': 356.0, 'dm': 356.0}, 6: {'nm': 0.0, 'dm': 0.0}, 7: {'nm': 0.0, 'dm': 0.0}, 8: {'nm': 360.0, 'dm': 1658.0}, 9: {'nm': 341.0, 'dm': 341.0}}","{'acc': 0.462, 'acc_margin': 0.462, 'prec1': 0.506, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 1.0, 'prec6': -1, 'prec7': -1, 'prec8': 0.217, 'prec9': 1.0}",{'prec8': -0.003},"{'acc': {'nm': 1414, 'dm': 3060}, 'acc_margin': {'nm': 1414, 'dm': 3060}, 'prec1': {'nm': 357, 'dm': 705}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 356, 'dm': 356}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 360, 'dm': 1658}, 'prec9': {'nm': 341, 'dm': 341}}","{'acc': 0.463, 'acc_margin': 0.463, 'prec1': 0.515, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 1.0, 'prec6': -1, 'prec7': -1, 'prec8': 0.216, 'prec9': 1.0}",{'prec8': -0.004},"{'acc': {'nm': 472, 'dm': 1020}, 'acc_margin': {'nm': 472, 'dm': 1020}, 'prec1': {'nm': 119, 'dm': 231}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 119, 'dm': 119}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 120, 'dm': 556}, 'prec9': {'nm': 114, 'dm': 114}}","{'acc': 0.001, 'acc_margin': 0.001, 'prec1': 0.009, 'prec2': 999, 'prec3': 999, 'prec4': 999, 'prec5': 0.0, 'prec6': 999, 'prec7': 999, 'prec8': -0.001, 'prec9': 0.0}",0,0,0,0.0,0.0,0.0,0
1,base_fixed,,0,{8: 0.22},-47599.53790849664,1.0000210086073087,480.2966833114624,480.2966878414154,,{8: 4.759999999999991},"{'acc_margin': 0.462, 'prec1': 0.506, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 1.0, 'prec6': -1, 'prec7': -1, 'prec8': 0.217, 'prec9': 1.0}","{'acc_margin': {'nm': 1414.0, 'dm': 3060}, 1: {'nm': 357.0, 'dm': 705.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 0.0, 'dm': 0.0}, 4: {'nm': 0.0, 'dm': 0.0}, 5: {'nm': 356.0, 'dm': 356.0}, 6: {'nm': 0.0, 'dm': 0.0}, 7: {'nm': 0.0, 'dm': 0.0}, 8: {'nm': 360.0, 'dm': 1658.0}, 9: {'nm': 341.0, 'dm': 341.0}}","{'acc': 0.462, 'acc_margin': 0.462, 'prec1': 0.506, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 1.0, 'prec6': -1, 'prec7': -1, 'prec8': 0.217, 'prec9': 1.0}",{'prec8': -0.003},"{'acc': {'nm': 1414, 'dm': 3060}, 'acc_margin': {'nm': 1414, 'dm': 3060}, 'prec1': {'nm': 357, 'dm': 705}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 356, 'dm': 356}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 360, 'dm': 1658}, 'prec9': {'nm': 341, 'dm': 341}}","{'acc': 0.463, 'acc_margin': 0.463, 'prec1': 0.515, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 1.0, 'prec6': -1, 'prec7': -1, 'prec8': 0.216, 'prec9': 1.0}",{'prec8': -0.004},"{'acc': {'nm': 472, 'dm': 1020}, 'acc_margin': {'nm': 472, 'dm': 1020}, 'prec1': {'nm': 119, 'dm': 231}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 119, 'dm': 119}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 120, 'dm': 556}, 'prec9': {'nm': 114, 'dm': 114}}","{'acc': 0.001, 'acc_margin': 0.001, 'prec1': 0.009, 'prec2': 999, 'prec3': 999, 'prec4': 999, 'prec5': 0.0, 'prec6': 999, 'prec7': 999, 'prec8': -0.001, 'prec9': 0.0}",0,0,0,0.0,0.0,0.0,0
1,base_shrinkage,,0,{8: 0.22},-47599.53790849664,1.0000210086073087,1700.6359858512878,1700.6360030174255,,{8: 4.759999999999991},"{'acc_margin': 0.462, 'prec1': 0.506, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 1.0, 'prec6': -1, 'prec7': -1, 'prec8': 0.217, 'prec9': 1.0}","{'acc_margin': {'nm': 1414.0, 'dm': 3060}, 1: {'nm': 357.0, 'dm': 705.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 0.0, 'dm': 0.0}, 4: {'nm': 0.0, 'dm': 0.0}, 5: {'nm': 356.0, 'dm': 356.0}, 6: {'nm': 0.0, 'dm': 0.0}, 7: {'nm': 0.0, 'dm': 0.0}, 8: {'nm': 360.0, 'dm': 1658.0}, 9: {'nm': 341.0, 'dm': 341.0}}","{'acc': 0.462, 'acc_margin': 0.462, 'prec1': 0.506, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 1.0, 'prec6': -1, 'prec7': -1, 'prec8': 0.217, 'prec9': 1.0}",{'prec8': -0.003},"{'acc': {'nm': 1414, 'dm': 3060}, 'acc_margin': {'nm': 1414, 'dm': 3060}, 'prec1': {'nm': 357, 'dm': 705}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 356, 'dm': 356}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 360, 'dm': 1658}, 'prec9': {'nm': 341, 'dm': 341}}","{'acc': 0.463, 'acc_margin': 0.463, 'prec1': 0.515, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 1.0, 'prec6': -1, 'prec7': -1, 'prec8': 0.216, 'prec9': 1.0}",{'prec8': -0.004},"{'acc': {'nm': 472, 'dm': 1020}, 'acc_margin': {'nm': 472, 'dm': 1020}, 'prec1': {'nm': 119, 'dm': 231}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 119, 'dm': 119}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 120, 'dm': 556}, 'prec9': {'nm': 114, 'dm': 114}}","{'acc': 0.001, 'acc_margin': 0.001, 'prec1': 0.009, 'prec2': 999, 'prec3': 999, 'prec4': 999, 'prec5': 0.0, 'prec6': 999, 'prec7': 999, 'prec8': -0.001, 'prec9': 0.0}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary4_fixed,,0,{8: 0.22},0.46209150326797377,1.1640735502121644,132.8191409111023,136.2123372554779,"[0, 0, 0, 0]",{8: 0.0},"{'acc_margin': 0.462, 'prec1': 0.433, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 0.997, 'prec6': -1, 'prec7': -1, 'prec8': 0.234, 'prec9': 1.0}","{'acc_margin': {'nm': 1414.0, 'dm': 3060}, 1: {'nm': 357.0, 'dm': 824.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 0.0, 'dm': 0.0}, 4: {'nm': 0.0, 'dm': 0.0}, 5: {'nm': 356.0, 'dm': 357.0}, 6: {'nm': 0.0, 'dm': 0.0}, 7: {'nm': 0.0, 'dm': 0.0}, 8: {'nm': 360.0, 'dm': 1538.0}, 9: {'nm': 341.0, 'dm': 341.0}}","{'acc': 0.462, 'acc_margin': 0.462, 'prec1': 0.433, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 0.997, 'prec6': -1, 'prec7': -1, 'prec8': 0.234, 'prec9': 1.0}",{'prec8': 0},"{'acc': {'nm': 1414, 'dm': 3060}, 'acc_margin': {'nm': 1414, 'dm': 3060}, 'prec1': {'nm': 357, 'dm': 824}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 356, 'dm': 357}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 360, 'dm': 1538}, 'prec9': {'nm': 341, 'dm': 341}}","{'acc': 0.463, 'acc_margin': 0.462, 'prec1': 0.436, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 0.992, 'prec6': -1, 'prec7': -1, 'prec8': 0.234, 'prec9': 1.0}",{'prec8': 0},"{'acc': {'nm': 472, 'dm': 1020}, 'acc_margin': {'nm': 471, 'dm': 1020}, 'prec1': {'nm': 119, 'dm': 273}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 119, 'dm': 120}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 120, 'dm': 513}, 'prec9': {'nm': 114, 'dm': 114}}","{'acc': 0.001, 'acc_margin': 0.0, 'prec1': 0.003, 'prec2': 999, 'prec3': 999, 'prec4': 999, 'prec5': -0.005, 'prec6': 999, 'prec7': 999, 'prec8': 0.0, 'prec9': 0.0}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary1_fixed,,0,{8: 0.22},0.46209150326797377,1.1640735502121644,130.28434896469116,132.3632869720459,,{8: 0.0},"{'acc_margin': 0.462, 'prec1': 0.433, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 0.997, 'prec6': -1, 'prec7': -1, 'prec8': 0.234, 'prec9': 1.0}","{'acc_margin': {'nm': 1414.0, 'dm': 3060}, 1: {'nm': 357.0, 'dm': 824.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 0.0, 'dm': 0.0}, 4: {'nm': 0.0, 'dm': 0.0}, 5: {'nm': 356.0, 'dm': 357.0}, 6: {'nm': 0.0, 'dm': 0.0}, 7: {'nm': 0.0, 'dm': 0.0}, 8: {'nm': 360.0, 'dm': 1538.0}, 9: {'nm': 341.0, 'dm': 341.0}}","{'acc': 0.462, 'acc_margin': 0.462, 'prec1': 0.433, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 0.997, 'prec6': -1, 'prec7': -1, 'prec8': 0.234, 'prec9': 1.0}",{'prec8': 0},"{'acc': {'nm': 1414, 'dm': 3060}, 'acc_margin': {'nm': 1414, 'dm': 3060}, 'prec1': {'nm': 357, 'dm': 824}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 356, 'dm': 357}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 360, 'dm': 1538}, 'prec9': {'nm': 341, 'dm': 341}}","{'acc': 0.463, 'acc_margin': 0.462, 'prec1': 0.436, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 0.992, 'prec6': -1, 'prec7': -1, 'prec8': 0.234, 'prec9': 1.0}",{'prec8': 0},"{'acc': {'nm': 472, 'dm': 1020}, 'acc_margin': {'nm': 471, 'dm': 1020}, 'prec1': {'nm': 119, 'dm': 273}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 119, 'dm': 120}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 120, 'dm': 513}, 'prec9': {'nm': 114, 'dm': 114}}","{'acc': 0.001, 'acc_margin': 0.0, 'prec1': 0.003, 'prec2': 999, 'prec3': 999, 'prec4': 999, 'prec5': -0.005, 'prec6': 999, 'prec7': 999, 'prec8': 0.0, 'prec9': 0.0}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary4_shrinkage,,0,{8: 0.22},0.46209150326797377,1.1640735502121644,405.5454158782959,408.73906326293945,"{'iter_0': 0, 'iter_1': 0, 'iter_2': 0, 'iter_3': 0}",{8: 0.0},"{'acc_margin': 0.462, 'prec1': 0.457, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 0.881, 'prec6': -1, 'prec7': -1, 'prec8': 0.235, 'prec9': 1.0}","{'acc_margin': {'nm': 1414.0, 'dm': 3060}, 1: {'nm': 357.0, 'dm': 782.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 0.0, 'dm': 0.0}, 4: {'nm': 0.0, 'dm': 0.0}, 5: {'nm': 356.0, 'dm': 404.0}, 6: {'nm': 0.0, 'dm': 0.0}, 7: {'nm': 0.0, 'dm': 0.0}, 8: {'nm': 360.0, 'dm': 1533.0}, 9: {'nm': 341.0, 'dm': 341.0}}","{'acc': 0.462, 'acc_margin': 0.462, 'prec1': 0.457, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 0.881, 'prec6': -1, 'prec7': -1, 'prec8': 0.235, 'prec9': 1.0}",{'prec8': 0},"{'acc': {'nm': 1414, 'dm': 3060}, 'acc_margin': {'nm': 1414, 'dm': 3060}, 'prec1': {'nm': 357, 'dm': 782}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 356, 'dm': 404}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 360, 'dm': 1533}, 'prec9': {'nm': 341, 'dm': 341}}","{'acc': 0.463, 'acc_margin': 0.463, 'prec1': 0.465, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 0.869, 'prec6': -1, 'prec7': -1, 'prec8': 0.234, 'prec9': 1.0}",{'prec8': 0},"{'acc': {'nm': 472, 'dm': 1020}, 'acc_margin': {'nm': 472, 'dm': 1020}, 'prec1': {'nm': 119, 'dm': 256}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 119, 'dm': 137}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 120, 'dm': 513}, 'prec9': {'nm': 114, 'dm': 114}}","{'acc': 0.001, 'acc_margin': 0.001, 'prec1': 0.008, 'prec2': 999, 'prec3': 999, 'prec4': 999, 'prec5': -0.012, 'prec6': 999, 'prec7': 999, 'prec8': -0.001, 'prec9': 0.0}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary1_shrinkage,,0,{8: 0.22},0.46209150326797377,1.1640735502121644,428.66827034950256,430.76897072792053,,{8: 0.0},"{'acc_margin': 0.462, 'prec1': 0.457, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 0.881, 'prec6': -1, 'prec7': -1, 'prec8': 0.235, 'prec9': 1.0}","{'acc_margin': {'nm': 1414.0, 'dm': 3060}, 1: {'nm': 357.0, 'dm': 782.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 0.0, 'dm': 0.0}, 4: {'nm': 0.0, 'dm': 0.0}, 5: {'nm': 356.0, 'dm': 404.0}, 6: {'nm': 0.0, 'dm': 0.0}, 7: {'nm': 0.0, 'dm': 0.0}, 8: {'nm': 360.0, 'dm': 1533.0}, 9: {'nm': 341.0, 'dm': 341.0}}","{'acc': 0.462, 'acc_margin': 0.462, 'prec1': 0.457, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 0.881, 'prec6': -1, 'prec7': -1, 'prec8': 0.235, 'prec9': 1.0}",{'prec8': 0},"{'acc': {'nm': 1414, 'dm': 3060}, 'acc_margin': {'nm': 1414, 'dm': 3060}, 'prec1': {'nm': 357, 'dm': 782}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 356, 'dm': 404}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 360, 'dm': 1533}, 'prec9': {'nm': 341, 'dm': 341}}","{'acc': 0.463, 'acc_margin': 0.463, 'prec1': 0.465, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 0.869, 'prec6': -1, 'prec7': -1, 'prec8': 0.234, 'prec9': 1.0}",{'prec8': 0},"{'acc': {'nm': 472, 'dm': 1020}, 'acc_margin': {'nm': 472, 'dm': 1020}, 'prec1': {'nm': 119, 'dm': 256}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 119, 'dm': 137}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 120, 'dm': 513}, 'prec9': {'nm': 114, 'dm': 114}}","{'acc': 0.001, 'acc_margin': 0.001, 'prec1': 0.008, 'prec2': 999, 'prec3': 999, 'prec4': 999, 'prec5': -0.012, 'prec6': 999, 'prec7': 999, 'prec8': -0.001, 'prec9': 0.0}",0,0,0,0.0,0.0,0.0,0
2,full_mip,,0,{8: 0.22},-49799.53790849691,1.0000164824547961,3600.955456018448,3600.955456018448,,{8: 4.980000000000018},"{'acc_margin': 0.462, 'prec1': 0.507, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 1.0, 'prec6': -1, 'prec7': -1, 'prec8': 0.217, 'prec9': 1.0}","{'acc_margin': {'nm': 1414.0, 'dm': 3060}, 1: {'nm': 357.0, 'dm': 704.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 0.0, 'dm': 0.0}, 4: {'nm': 0.0, 'dm': 0.0}, 5: {'nm': 356.0, 'dm': 356.0}, 6: {'nm': 0.0, 'dm': 0.0}, 7: {'nm': 0.0, 'dm': 0.0}, 8: {'nm': 360.0, 'dm': 1659.0}, 9: {'nm': 341.0, 'dm': 341.0}}","{'acc': 0.462, 'acc_margin': 0.462, 'prec1': 0.507, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 1.0, 'prec6': -1, 'prec7': -1, 'prec8': 0.217, 'prec9': 1.0}",{'prec8': -0.003},"{'acc': {'nm': 1414, 'dm': 3060}, 'acc_margin': {'nm': 1414, 'dm': 3060}, 'prec1': {'nm': 357, 'dm': 704}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 356, 'dm': 356}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 360, 'dm': 1659}, 'prec9': {'nm': 341, 'dm': 341}}","{'acc': 0.463, 'acc_margin': 0.463, 'prec1': 0.513, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 1.0, 'prec6': -1, 'prec7': -1, 'prec8': 0.216, 'prec9': 1.0}",{'prec8': -0.004},"{'acc': {'nm': 472, 'dm': 1020}, 'acc_margin': {'nm': 472, 'dm': 1020}, 'prec1': {'nm': 119, 'dm': 232}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 119, 'dm': 119}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 120, 'dm': 555}, 'prec9': {'nm': 114, 'dm': 114}}","{'acc': 0.001, 'acc_margin': 0.001, 'prec1': 0.006, 'prec2': 999, 'prec3': 999, 'prec4': 999, 'prec5': 0.0, 'prec6': 999, 'prec7': 999, 'prec8': -0.001, 'prec9': 0.0}",0,0,0,0.0,0.0,0.0,0
2,base_fixed,,0,{8: 0.22},0.4620915032679738,1.1640735502121644,465.1369209289551,465.1369249820709,,{8: 0.0},"{'acc_margin': 0.462, 'prec1': 0.472, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 0.997, 'prec6': -1, 'prec7': -1, 'prec8': 0.224, 'prec9': 1.0}","{'acc_margin': {'nm': 1414.0, 'dm': 3060}, 1: {'nm': 357.0, 'dm': 757.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 0.0, 'dm': 0.0}, 4: {'nm': 0.0, 'dm': 0.0}, 5: {'nm': 356.0, 'dm': 357.0}, 6: {'nm': 0.0, 'dm': 0.0}, 7: {'nm': 0.0, 'dm': 0.0}, 8: {'nm': 360.0, 'dm': 1605.0}, 9: {'nm': 341.0, 'dm': 341.0}}","{'acc': 0.462, 'acc_margin': 0.462, 'prec1': 0.472, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 0.997, 'prec6': -1, 'prec7': -1, 'prec8': 0.224, 'prec9': 1.0}",{'prec8': 0},"{'acc': {'nm': 1414, 'dm': 3060}, 'acc_margin': {'nm': 1414, 'dm': 3060}, 'prec1': {'nm': 357, 'dm': 757}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 356, 'dm': 357}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 360, 'dm': 1605}, 'prec9': {'nm': 341, 'dm': 341}}","{'acc': 0.463, 'acc_margin': 0.463, 'prec1': 0.467, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 1.0, 'prec6': -1, 'prec7': -1, 'prec8': 0.226, 'prec9': 1.0}",{'prec8': 0},"{'acc': {'nm': 472, 'dm': 1020}, 'acc_margin': {'nm': 472, 'dm': 1020}, 'prec1': {'nm': 119, 'dm': 255}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 119, 'dm': 119}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 120, 'dm': 532}, 'prec9': {'nm': 114, 'dm': 114}}","{'acc': 0.001, 'acc_margin': 0.001, 'prec1': -0.005, 'prec2': 999, 'prec3': 999, 'prec4': 999, 'prec5': 0.003, 'prec6': 999, 'prec7': 999, 'prec8': 0.002, 'prec9': 0.0}",0,0,0,0.0,0.0,0.0,0
2,base_shrinkage,,0,{8: 0.22},0.4620915032679738,1.1640735502121644,1644.0233571529388,1644.0233709812164,,{8: 0.0},"{'acc_margin': 0.462, 'prec1': 0.486, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 1.0, 'prec6': -1, 'prec7': -1, 'prec8': 0.221, 'prec9': 1.0}","{'acc_margin': {'nm': 1414.0, 'dm': 3060}, 1: {'nm': 357.0, 'dm': 734.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 0.0, 'dm': 0.0}, 4: {'nm': 0.0, 'dm': 0.0}, 5: {'nm': 356.0, 'dm': 356.0}, 6: {'nm': 0.0, 'dm': 0.0}, 7: {'nm': 0.0, 'dm': 0.0}, 8: {'nm': 360.0, 'dm': 1629.0}, 9: {'nm': 341.0, 'dm': 341.0}}","{'acc': 0.462, 'acc_margin': 0.462, 'prec1': 0.486, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 1.0, 'prec6': -1, 'prec7': -1, 'prec8': 0.221, 'prec9': 1.0}",{'prec8': 0},"{'acc': {'nm': 1414, 'dm': 3060}, 'acc_margin': {'nm': 1414, 'dm': 3060}, 'prec1': {'nm': 357, 'dm': 734}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 356, 'dm': 356}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 360, 'dm': 1629}, 'prec9': {'nm': 341, 'dm': 341}}","{'acc': 0.463, 'acc_margin': 0.463, 'prec1': 0.486, 'prec2': -1, 'prec3': -1, 'prec4': -1, 'prec5': 1.0, 'prec6': -1, 'prec7': -1, 'prec8': 0.221, 'prec9': 1.0}",{'prec8': 0},"{'acc': {'nm': 472, 'dm': 1020}, 'acc_margin': {'nm': 472, 'dm': 1020}, 'prec1': {'nm': 119, 'dm': 245}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}, 'prec5': {'nm': 119, 'dm': 119}, 'prec6': {'nm': 0, 'dm': 0}, 'prec7': {'nm': 0, 'dm': 0}, 'prec8': {'nm': 120, 'dm': 542}, 'prec9': {'nm': 114, 'dm': 114}}","{'acc': 0.001, 'acc_margin': 0.001, 'prec1': 0.0, 'prec2': 999, 'prec3': 999, 'prec4': 999, 'prec5': 0.0, 'prec6': 999, 'prec7': 999, 'prec8': 0.0, 'prec9': 0.0}",0,0,0,0.0,0.0,0.0,0
