run,type,tau_0,varrho,beta_p,objective_value,optimality_gap,time,actual_time,same_pieces,gamma,z_frac,z_counts,train_frac,train_constraint_gap,train_counts,test_frac,test_constraint_gap,test_counts,test_train_gap,vio_asm_equal_0,vio_asm_interval,vio_feasibilitytol,vio_asm_equal_0_rate,vio_asm_interval_rate,vio_feasibilitytol_rate,z_integrality_vio
1,full_mip,,0,{1: 0.97},1.0,0.0,75.531259059906,75.531259059906,,{1: 0.0},"{'acc_margin': 1.0, 'prec1': 0.973, 'prec2': 0.0, 'prec3': 0.0}","{'acc_margin': {'nm': 161.0, 'dm': 161}, 1: {'nm': 109.0, 'dm': 112.0}, 2: {'nm': 0.0, 'dm': 176.0}, 3: {'nm': 0.0, 'dm': 49.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec1': 0},"{'acc': {'nm': 161, 'dm': 161}, 'acc_margin': {'nm': 161, 'dm': 161}, 'prec1': {'nm': 112, 'dm': 112}, 'prec2': {'nm': 26, 'dm': 26}, 'prec3': {'nm': 23, 'dm': 23}}","{'acc': 0.944, 'acc_margin': 0.944, 'prec1': 0.949, 'prec2': 1.0, 'prec3': 0.857}",{'prec1': -0.021},"{'acc': {'nm': 51, 'dm': 54}, 'acc_margin': {'nm': 51, 'dm': 54}, 'prec1': {'nm': 37, 'dm': 39}, 'prec2': {'nm': 8, 'dm': 8}, 'prec3': {'nm': 6, 'dm': 7}}","{'acc': -0.056, 'acc_margin': -0.056, 'prec1': -0.051, 'prec2': 0.0, 'prec3': -0.143}",0,0,0,0.0,0.0,0.0,0
1,base_fixed,,0,{1: 0.97},1.0,0.0,325.11053586006165,325.1105406284332,,{1: 0.0},"{'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc_margin': {'nm': 161.0, 'dm': 161}, 1: {'nm': 112.0, 'dm': 112.0}, 2: {'nm': 26.0, 'dm': 26.0}, 3: {'nm': 23.0, 'dm': 23.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec1': 0},"{'acc': {'nm': 161, 'dm': 161}, 'acc_margin': {'nm': 161, 'dm': 161}, 'prec1': {'nm': 112, 'dm': 112}, 'prec2': {'nm': 26, 'dm': 26}, 'prec3': {'nm': 23, 'dm': 23}}","{'acc': 0.926, 'acc_margin': 0.889, 'prec1': 0.947, 'prec2': 0.9, 'prec3': 0.833}",{'prec1': -0.023},"{'acc': {'nm': 50, 'dm': 54}, 'acc_margin': {'nm': 48, 'dm': 54}, 'prec1': {'nm': 36, 'dm': 38}, 'prec2': {'nm': 9, 'dm': 10}, 'prec3': {'nm': 5, 'dm': 6}}","{'acc': -0.074, 'acc_margin': -0.111, 'prec1': -0.053, 'prec2': -0.1, 'prec3': -0.167}",0,0,0,0.0,0.0,0.0,0
1,base_shrinkage,,0,{1: 0.97},1.0,0.0,401.3843493461609,401.3843605518341,,{1: 0.0},"{'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc_margin': {'nm': 161.0, 'dm': 161}, 1: {'nm': 112.0, 'dm': 112.0}, 2: {'nm': 26.0, 'dm': 26.0}, 3: {'nm': 23.0, 'dm': 23.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec1': 0},"{'acc': {'nm': 161, 'dm': 161}, 'acc_margin': {'nm': 161, 'dm': 161}, 'prec1': {'nm': 112, 'dm': 112}, 'prec2': {'nm': 26, 'dm': 26}, 'prec3': {'nm': 23, 'dm': 23}}","{'acc': 0.963, 'acc_margin': 0.944, 'prec1': 0.95, 'prec2': 1.0, 'prec3': 1.0}",{'prec1': -0.02},"{'acc': {'nm': 52, 'dm': 54}, 'acc_margin': {'nm': 51, 'dm': 54}, 'prec1': {'nm': 38, 'dm': 40}, 'prec2': {'nm': 8, 'dm': 8}, 'prec3': {'nm': 6, 'dm': 6}}","{'acc': -0.037, 'acc_margin': -0.056, 'prec1': -0.05, 'prec2': 0.0, 'prec3': 0.0}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary4_fixed,,0,{1: 0.97},1.0,0.0,38.814942598342896,39.03848624229431,"[0, 0, 0, 0, 0]",{1: 0.0},"{'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc_margin': {'nm': 161.0, 'dm': 161}, 1: {'nm': 112.0, 'dm': 112.0}, 2: {'nm': 26.0, 'dm': 26.0}, 3: {'nm': 23.0, 'dm': 23.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec1': 0},"{'acc': {'nm': 161, 'dm': 161}, 'acc_margin': {'nm': 161, 'dm': 161}, 'prec1': {'nm': 112, 'dm': 112}, 'prec2': {'nm': 26, 'dm': 26}, 'prec3': {'nm': 23, 'dm': 23}}","{'acc': 0.944, 'acc_margin': 0.907, 'prec1': 0.927, 'prec2': 1.0, 'prec3': 1.0}",{'prec1': -0.043},"{'acc': {'nm': 51, 'dm': 54}, 'acc_margin': {'nm': 49, 'dm': 54}, 'prec1': {'nm': 38, 'dm': 41}, 'prec2': {'nm': 7, 'dm': 7}, 'prec3': {'nm': 6, 'dm': 6}}","{'acc': -0.056, 'acc_margin': -0.093, 'prec1': -0.073, 'prec2': 0.0, 'prec3': 0.0}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary1_fixed,,0,{1: 0.97},1.0,0.0,38.796830892562866,38.95273542404175,,{1: 0.0},"{'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc_margin': {'nm': 161.0, 'dm': 161}, 1: {'nm': 112.0, 'dm': 112.0}, 2: {'nm': 26.0, 'dm': 26.0}, 3: {'nm': 23.0, 'dm': 23.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec1': 0},"{'acc': {'nm': 161, 'dm': 161}, 'acc_margin': {'nm': 161, 'dm': 161}, 'prec1': {'nm': 112, 'dm': 112}, 'prec2': {'nm': 26, 'dm': 26}, 'prec3': {'nm': 23, 'dm': 23}}","{'acc': 0.944, 'acc_margin': 0.907, 'prec1': 0.927, 'prec2': 1.0, 'prec3': 1.0}",{'prec1': -0.043},"{'acc': {'nm': 51, 'dm': 54}, 'acc_margin': {'nm': 49, 'dm': 54}, 'prec1': {'nm': 38, 'dm': 41}, 'prec2': {'nm': 7, 'dm': 7}, 'prec3': {'nm': 6, 'dm': 6}}","{'acc': -0.056, 'acc_margin': -0.093, 'prec1': -0.073, 'prec2': 0.0, 'prec3': 0.0}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary4_shrinkage,,0,{1: 0.97},1.0,0.0,412.77390718460083,412.9552004337311,"{'iter_0': 0, 'iter_1': 0, 'iter_2': 0, 'iter_3': 0}",{1: 0.0},"{'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc_margin': {'nm': 161.0, 'dm': 161}, 1: {'nm': 112.0, 'dm': 112.0}, 2: {'nm': 26.0, 'dm': 26.0}, 3: {'nm': 23.0, 'dm': 23.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec1': 0},"{'acc': {'nm': 161, 'dm': 161}, 'acc_margin': {'nm': 161, 'dm': 161}, 'prec1': {'nm': 112, 'dm': 112}, 'prec2': {'nm': 26, 'dm': 26}, 'prec3': {'nm': 23, 'dm': 23}}","{'acc': 0.981, 'acc_margin': 0.963, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 0.875}",{'prec1': 0},"{'acc': {'nm': 53, 'dm': 54}, 'acc_margin': {'nm': 52, 'dm': 54}, 'prec1': {'nm': 37, 'dm': 37}, 'prec2': {'nm': 9, 'dm': 9}, 'prec3': {'nm': 7, 'dm': 8}}","{'acc': -0.019, 'acc_margin': -0.037, 'prec1': 0.0, 'prec2': 0.0, 'prec3': -0.125}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary1_shrinkage,,0,{1: 0.97},1.0,0.0,414.6726334095001,414.78201174736023,,{1: 0.0},"{'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc_margin': {'nm': 161.0, 'dm': 161}, 1: {'nm': 112.0, 'dm': 112.0}, 2: {'nm': 26.0, 'dm': 26.0}, 3: {'nm': 23.0, 'dm': 23.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec1': 0},"{'acc': {'nm': 161, 'dm': 161}, 'acc_margin': {'nm': 161, 'dm': 161}, 'prec1': {'nm': 112, 'dm': 112}, 'prec2': {'nm': 26, 'dm': 26}, 'prec3': {'nm': 23, 'dm': 23}}","{'acc': 0.981, 'acc_margin': 0.963, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 0.875}",{'prec1': 0},"{'acc': {'nm': 53, 'dm': 54}, 'acc_margin': {'nm': 52, 'dm': 54}, 'prec1': {'nm': 37, 'dm': 37}, 'prec2': {'nm': 9, 'dm': 9}, 'prec3': {'nm': 7, 'dm': 8}}","{'acc': -0.019, 'acc_margin': -0.037, 'prec1': 0.0, 'prec2': 0.0, 'prec3': -0.125}",0,0,0,0.0,0.0,0.0,0
2,full_mip,,0,{1: 0.97},0.9875776397515528,0.012578616352201281,752.5694649219513,3600.264878988266,,{1: 0.0},"{'acc_margin': 0.988, 'prec1': 0.974, 'prec2': 0.0, 'prec3': 0.0}","{'acc_margin': {'nm': 159.0, 'dm': 161}, 1: {'nm': 111.0, 'dm': 114.0}, 2: {'nm': 0.0, 'dm': 33.0}, 3: {'nm': 0.0, 'dm': 157.0}}","{'acc': 0.988, 'acc_margin': 0.988, 'prec1': 0.982, 'prec2': 1.0, 'prec3': 1.0}",{'prec1': 0},"{'acc': {'nm': 159, 'dm': 161}, 'acc_margin': {'nm': 159, 'dm': 161}, 'prec1': {'nm': 112, 'dm': 114}, 'prec2': {'nm': 26, 'dm': 26}, 'prec3': {'nm': 21, 'dm': 21}}","{'acc': 0.981, 'acc_margin': 0.907, 'prec1': 1.0, 'prec2': 0.9, 'prec3': 1.0}",{'prec1': 0},"{'acc': {'nm': 53, 'dm': 54}, 'acc_margin': {'nm': 49, 'dm': 54}, 'prec1': {'nm': 37, 'dm': 37}, 'prec2': {'nm': 9, 'dm': 10}, 'prec3': {'nm': 7, 'dm': 7}}","{'acc': -0.007, 'acc_margin': -0.081, 'prec1': 0.018, 'prec2': -0.1, 'prec3': 0.0}",0,0,0,0.0,0.0,0.0,0
2,base_fixed,,0,{1: 0.97},1.0,0.0,2132.6671273708344,2132.6671335697174,,{1: 0.0},"{'acc_margin': 1.0, 'prec1': 0.982, 'prec2': 0.206, 'prec3': 0.375}","{'acc_margin': {'nm': 161.0, 'dm': 161}, 1: {'nm': 111.0, 'dm': 113.0}, 2: {'nm': 14.0, 'dm': 68.0}, 3: {'nm': 12.0, 'dm': 32.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec1': 0},"{'acc': {'nm': 161, 'dm': 161}, 'acc_margin': {'nm': 161, 'dm': 161}, 'prec1': {'nm': 112, 'dm': 112}, 'prec2': {'nm': 26, 'dm': 26}, 'prec3': {'nm': 23, 'dm': 23}}","{'acc': 0.944, 'acc_margin': 0.944, 'prec1': 0.949, 'prec2': 0.875, 'prec3': 1.0}",{'prec1': -0.021},"{'acc': {'nm': 51, 'dm': 54}, 'acc_margin': {'nm': 51, 'dm': 54}, 'prec1': {'nm': 37, 'dm': 39}, 'prec2': {'nm': 7, 'dm': 8}, 'prec3': {'nm': 7, 'dm': 7}}","{'acc': -0.056, 'acc_margin': -0.056, 'prec1': -0.051, 'prec2': -0.125, 'prec3': 0.0}",0,0,0,0.0,0.0,0.0,0
2,base_shrinkage,,0,{1: 0.97},1.0,0.0,380.1182119846344,380.1182224750519,,{1: 0.0},"{'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc_margin': {'nm': 161.0, 'dm': 161}, 1: {'nm': 112.0, 'dm': 112.0}, 2: {'nm': 26.0, 'dm': 26.0}, 3: {'nm': 23.0, 'dm': 23.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec1': 0},"{'acc': {'nm': 161, 'dm': 161}, 'acc_margin': {'nm': 161, 'dm': 161}, 'prec1': {'nm': 112, 'dm': 112}, 'prec2': {'nm': 26, 'dm': 26}, 'prec3': {'nm': 23, 'dm': 23}}","{'acc': 0.963, 'acc_margin': 0.963, 'prec1': 1.0, 'prec2': 0.9, 'prec3': 0.875}",{'prec1': 0},"{'acc': {'nm': 52, 'dm': 54}, 'acc_margin': {'nm': 52, 'dm': 54}, 'prec1': {'nm': 36, 'dm': 36}, 'prec2': {'nm': 9, 'dm': 10}, 'prec3': {'nm': 7, 'dm': 8}}","{'acc': -0.037, 'acc_margin': -0.037, 'prec1': 0.0, 'prec2': -0.1, 'prec3': -0.125}",0,0,0,0.0,0.0,0.0,0
