run,type,tau_0,varrho,beta_p,objective_value,optimality_gap,time,actual_time,same_pieces,gamma,z_frac,z_counts,train_frac,train_constraint_gap,train_counts,test_frac,test_constraint_gap,test_counts,test_train_gap,vio_asm_equal_0,vio_asm_interval,vio_feasibilitytol,vio_asm_equal_0_rate,vio_asm_interval_rate,vio_feasibilitytol_rate,z_integrality_vio
1,full_mip,,0,{1: 0.82},0.7457264957264957,0.34097421203438394,3606.0164000988007,3606.093491077423,,{1: 0.0},"{'acc_margin': 0.746, 'prec1': 0.824, 'prec2': -1, 'prec3': 0.0}","{'acc_margin': {'nm': 349.0, 'dm': 468}, 1: {'nm': 150.0, 'dm': 182.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 0.0, 'dm': 1140.0}}","{'acc': 0.748, 'acc_margin': 0.746, 'prec1': 0.838, 'prec2': -1, 'prec3': 0.692}",{'prec1': 0},"{'acc': {'nm': 350, 'dm': 468}, 'acc_margin': {'nm': 349, 'dm': 468}, 'prec1': {'nm': 150, 'dm': 179}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 200, 'dm': 289}}","{'acc': 0.688, 'acc_margin': 0.688, 'prec1': 0.763, 'prec2': -1, 'prec3': 0.643}",{'prec1': -0.057},"{'acc': {'nm': 108, 'dm': 157}, 'acc_margin': {'nm': 108, 'dm': 157}, 'prec1': {'nm': 45, 'dm': 59}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 63, 'dm': 98}}","{'acc': -0.06, 'acc_margin': -0.058, 'prec1': -0.075, 'prec2': 999, 'prec3': -0.049}",0,0,0,0.0,0.0,0.0,0
1,base_fixed,,0,{1: 0.82},0.764957264957265,0.30726256983240213,1158.8115229606628,1158.8115270137787,,{1: 0.0},"{'acc_margin': 0.765, 'prec1': 0.822, 'prec2': -1, 'prec3': 0.723}","{'acc_margin': {'nm': 358.0, 'dm': 468}, 1: {'nm': 162.0, 'dm': 197.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 196.0, 'dm': 271.0}}","{'acc': 0.765, 'acc_margin': 0.765, 'prec1': 0.822, 'prec2': -1, 'prec3': 0.723}",{'prec1': 0},"{'acc': {'nm': 358, 'dm': 468}, 'acc_margin': {'nm': 358, 'dm': 468}, 'prec1': {'nm': 162, 'dm': 197}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 196, 'dm': 271}}","{'acc': 0.701, 'acc_margin': 0.701, 'prec1': 0.763, 'prec2': -1, 'prec3': 0.663}",{'prec1': -0.057},"{'acc': {'nm': 110, 'dm': 157}, 'acc_margin': {'nm': 110, 'dm': 157}, 'prec1': {'nm': 45, 'dm': 59}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 65, 'dm': 98}}","{'acc': -0.064, 'acc_margin': -0.064, 'prec1': -0.059, 'prec2': 999, 'prec3': -0.06}",0,0,0,0.0,0.0,0.0,0
1,base_shrinkage,,0,{1: 0.82},0.9081196581196582,0.10117647058823517,4775.5179607868195,4775.517986297607,,{1: 0.0},"{'acc_margin': 0.908, 'prec1': 0.906, 'prec2': -1, 'prec3': 0.911}","{'acc_margin': {'nm': 425.0, 'dm': 468}, 1: {'nm': 211.0, 'dm': 233.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 214.0, 'dm': 235.0}}","{'acc': 0.908, 'acc_margin': 0.908, 'prec1': 0.906, 'prec2': -1, 'prec3': 0.911}",{'prec1': 0},"{'acc': {'nm': 425, 'dm': 468}, 'acc_margin': {'nm': 425, 'dm': 468}, 'prec1': {'nm': 211, 'dm': 233}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 214, 'dm': 235}}","{'acc': 0.898, 'acc_margin': 0.898, 'prec1': 0.908, 'prec2': -1, 'prec3': 0.889}",{'prec1': 0},"{'acc': {'nm': 141, 'dm': 157}, 'acc_margin': {'nm': 141, 'dm': 157}, 'prec1': {'nm': 69, 'dm': 76}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 72, 'dm': 81}}","{'acc': -0.01, 'acc_margin': -0.01, 'prec1': 0.002, 'prec2': 999, 'prec3': -0.022}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary4_fixed,,0,{1: 0.82},0.8910256410256411,0.12230215827338123,535.2815709114075,538.1607074737549,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",{1: 0.0},"{'acc_margin': 0.891, 'prec1': 0.883, 'prec2': -1, 'prec3': 0.529}","{'acc_margin': {'nm': 417.0, 'dm': 468}, 1: {'nm': 211.0, 'dm': 239.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 163.0, 'dm': 308.0}}","{'acc': 0.891, 'acc_margin': 0.891, 'prec1': 0.89, 'prec2': -1, 'prec3': 0.892}",{'prec1': 0},"{'acc': {'nm': 417, 'dm': 468}, 'acc_margin': {'nm': 417, 'dm': 468}, 'prec1': {'nm': 211, 'dm': 237}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 206, 'dm': 231}}","{'acc': 0.841, 'acc_margin': 0.841, 'prec1': 0.877, 'prec2': -1, 'prec3': 0.81}",{'prec1': 0},"{'acc': {'nm': 132, 'dm': 157}, 'acc_margin': {'nm': 132, 'dm': 157}, 'prec1': {'nm': 64, 'dm': 73}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 68, 'dm': 84}}","{'acc': -0.05, 'acc_margin': -0.05, 'prec1': -0.013, 'prec2': 999, 'prec3': -0.082}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary1_fixed,,0,{1: 0.82},0.8824786324786325,0.1331719128329298,533.4975397586823,535.2501125335693,,{1: 0.0},"{'acc_margin': 0.882, 'prec1': 0.862, 'prec2': -1, 'prec3': 0.901}","{'acc_margin': {'nm': 413.0, 'dm': 468}, 1: {'nm': 212.0, 'dm': 246.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 201.0, 'dm': 223.0}}","{'acc': 0.882, 'acc_margin': 0.882, 'prec1': 0.865, 'prec2': -1, 'prec3': 0.901}",{'prec1': 0},"{'acc': {'nm': 413, 'dm': 468}, 'acc_margin': {'nm': 413, 'dm': 468}, 'prec1': {'nm': 212, 'dm': 245}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 201, 'dm': 223}}","{'acc': 0.847, 'acc_margin': 0.841, 'prec1': 0.844, 'prec2': -1, 'prec3': 0.85}",{'prec1': 0},"{'acc': {'nm': 133, 'dm': 157}, 'acc_margin': {'nm': 132, 'dm': 157}, 'prec1': {'nm': 65, 'dm': 77}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 68, 'dm': 80}}","{'acc': -0.035, 'acc_margin': -0.041, 'prec1': -0.021, 'prec2': 999, 'prec3': -0.051}",0,3,2,0.0,0.00040064102564102563,0.00017806267806267807,0
1,simplified_arbitrary4_shrinkage,,0,{1: 0.82},0.9423076923076925,0.06122448979591814,1263.962262392044,1265.3607082366943,"{'iter_0': 0, 'iter_1': 0, 'iter_2': 0, 'iter_3': 0}",{1: 0.0},"{'acc_margin': 0.942, 'prec1': 0.968, 'prec2': 1.0, 'prec3': 0.915}","{'acc_margin': {'nm': 441.0, 'dm': 468}, 1: {'nm': 213.0, 'dm': 220.0}, 2: {'nm': 12.0, 'dm': 12.0}, 3: {'nm': 216.0, 'dm': 236.0}}","{'acc': 0.942, 'acc_margin': 0.942, 'prec1': 0.968, 'prec2': 1.0, 'prec3': 0.915}",{'prec1': 0},"{'acc': {'nm': 441, 'dm': 468}, 'acc_margin': {'nm': 441, 'dm': 468}, 'prec1': {'nm': 213, 'dm': 220}, 'prec2': {'nm': 12, 'dm': 12}, 'prec3': {'nm': 216, 'dm': 236}}","{'acc': 0.879, 'acc_margin': 0.873, 'prec1': 0.945, 'prec2': 0.0, 'prec3': 0.852}",{'prec1': 0},"{'acc': {'nm': 138, 'dm': 157}, 'acc_margin': {'nm': 137, 'dm': 157}, 'prec1': {'nm': 69, 'dm': 73}, 'prec2': {'nm': 0, 'dm': 3}, 'prec3': {'nm': 69, 'dm': 81}}","{'acc': -0.063, 'acc_margin': -0.069, 'prec1': -0.023, 'prec2': -1.0, 'prec3': -0.063}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary1_shrinkage,,0,{1: 0.82},0.9423076923076925,0.06122448979591814,1252.878247499466,1253.5670268535614,,{1: 0.0},"{'acc_margin': 0.942, 'prec1': 0.968, 'prec2': 1.0, 'prec3': 0.915}","{'acc_margin': {'nm': 441.0, 'dm': 468}, 1: {'nm': 213.0, 'dm': 220.0}, 2: {'nm': 12.0, 'dm': 12.0}, 3: {'nm': 216.0, 'dm': 236.0}}","{'acc': 0.942, 'acc_margin': 0.942, 'prec1': 0.968, 'prec2': 1.0, 'prec3': 0.915}",{'prec1': 0},"{'acc': {'nm': 441, 'dm': 468}, 'acc_margin': {'nm': 441, 'dm': 468}, 'prec1': {'nm': 213, 'dm': 220}, 'prec2': {'nm': 12, 'dm': 12}, 'prec3': {'nm': 216, 'dm': 236}}","{'acc': 0.879, 'acc_margin': 0.873, 'prec1': 0.945, 'prec2': 0.0, 'prec3': 0.852}",{'prec1': 0},"{'acc': {'nm': 138, 'dm': 157}, 'acc_margin': {'nm': 137, 'dm': 157}, 'prec1': {'nm': 69, 'dm': 73}, 'prec2': {'nm': 0, 'dm': 3}, 'prec3': {'nm': 69, 'dm': 81}}","{'acc': -0.063, 'acc_margin': -0.069, 'prec1': -0.023, 'prec2': -1.0, 'prec3': -0.063}",0,0,0,0.0,0.0,0.0,0
2,full_mip,,0,{1: 0.82},0.7457264957264957,0.34097421203438394,1931.2861850261688,3607.9468920230865,,{1: 0.0},"{'acc_margin': 0.746, 'prec1': 0.829, 'prec2': -1, 'prec3': 0.0}","{'acc_margin': {'nm': 349.0, 'dm': 468}, 1: {'nm': 155.0, 'dm': 187.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 0.0, 'dm': 303.0}}","{'acc': 0.746, 'acc_margin': 0.746, 'prec1': 0.829, 'prec2': -1, 'prec3': 0.69}",{'prec1': 0},"{'acc': {'nm': 349, 'dm': 468}, 'acc_margin': {'nm': 349, 'dm': 468}, 'prec1': {'nm': 155, 'dm': 187}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 194, 'dm': 281}}","{'acc': 0.72, 'acc_margin': 0.72, 'prec1': 0.778, 'prec2': -1, 'prec3': 0.681}",{'prec1': -0.042},"{'acc': {'nm': 113, 'dm': 157}, 'acc_margin': {'nm': 113, 'dm': 157}, 'prec1': {'nm': 49, 'dm': 63}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 64, 'dm': 94}}","{'acc': -0.026, 'acc_margin': -0.026, 'prec1': -0.051, 'prec2': 999, 'prec3': -0.009}",0,0,0,0.0,0.0,0.0,0
2,base_fixed,,0,{1: 0.82},0.6773504273504274,0.4763406940063091,803.3455858230591,803.3455889225006,,{1: 0.0},"{'acc_margin': 0.677, 'prec1': 0.836, 'prec2': -1, 'prec3': 0.614}","{'acc_margin': {'nm': 317.0, 'dm': 468}, 1: {'nm': 112.0, 'dm': 134.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 205.0, 'dm': 334.0}}","{'acc': 0.677, 'acc_margin': 0.677, 'prec1': 0.836, 'prec2': -1, 'prec3': 0.614}",{'prec1': 0},"{'acc': {'nm': 317, 'dm': 468}, 'acc_margin': {'nm': 317, 'dm': 468}, 'prec1': {'nm': 112, 'dm': 134}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 205, 'dm': 334}}","{'acc': 0.643, 'acc_margin': 0.643, 'prec1': 0.732, 'prec2': -1, 'prec3': 0.594}",{'prec1': -0.088},"{'acc': {'nm': 101, 'dm': 157}, 'acc_margin': {'nm': 101, 'dm': 157}, 'prec1': {'nm': 41, 'dm': 56}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 60, 'dm': 101}}","{'acc': -0.034, 'acc_margin': -0.034, 'prec1': -0.104, 'prec2': 999, 'prec3': -0.02}",0,0,0,0.0,0.0,0.0,0
2,base_shrinkage,,0,{1: 0.82},0.6773504273504274,0.4763406940063091,2919.1251089572906,2919.125121116638,,{1: 0.0},"{'acc_margin': 0.677, 'prec1': 0.836, 'prec2': -1, 'prec3': 0.614}","{'acc_margin': {'nm': 317.0, 'dm': 468}, 1: {'nm': 112.0, 'dm': 134.0}, 2: {'nm': 0.0, 'dm': 0.0}, 3: {'nm': 205.0, 'dm': 334.0}}","{'acc': 0.677, 'acc_margin': 0.677, 'prec1': 0.836, 'prec2': -1, 'prec3': 0.614}",{'prec1': 0},"{'acc': {'nm': 317, 'dm': 468}, 'acc_margin': {'nm': 317, 'dm': 468}, 'prec1': {'nm': 112, 'dm': 134}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 205, 'dm': 334}}","{'acc': 0.643, 'acc_margin': 0.643, 'prec1': 0.732, 'prec2': -1, 'prec3': 0.594}",{'prec1': -0.088},"{'acc': {'nm': 101, 'dm': 157}, 'acc_margin': {'nm': 101, 'dm': 157}, 'prec1': {'nm': 41, 'dm': 56}, 'prec2': {'nm': 0, 'dm': 0}, 'prec3': {'nm': 60, 'dm': 101}}","{'acc': -0.034, 'acc_margin': -0.034, 'prec1': -0.104, 'prec2': 999, 'prec3': -0.02}",0,0,0,0.0,0.0,0.0,0
