run,type,tau_0,varrho,beta_p,objective_value,optimality_gap,time,actual_time,same_pieces,gamma,z_frac,z_counts,train_frac,train_constraint_gap,train_counts,test_frac,test_constraint_gap,test_counts,test_train_gap,vio_asm_equal_0,vio_asm_interval,vio_feasibilitytol,vio_asm_equal_0_rate,vio_asm_interval_rate,vio_feasibilitytol_rate,z_integrality_vio
1,full_mip,9,0,{1: 0.97},0.8001543209876543,0.24975891996142727,3600.037190914154,3600.2062430381775,,{1: 0.0},"{'acc_margin': 0.8, 'prec1': 1.0, 'prec2': 0.0, 'prec3': 0.0, 'prec4': -1}","{'acc_margin': {'nm': 1037.0, 'dm': 1296}, 1: {'nm': 725.0, 'dm': 725.0}, 2: {'nm': 0.0, 'dm': 571.0}, 3: {'nm': 0.0, 'dm': 186.0}, 4: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.8, 'acc_margin': 0.8, 'prec1': 1.0, 'prec2': 0.552, 'prec3': 0.49, 'prec4': -1}",{'prec1': 0},"{'acc': {'nm': 1037, 'dm': 1296}, 'acc_margin': {'nm': 1037, 'dm': 1296}, 'prec1': {'nm': 725, 'dm': 725}, 'prec2': {'nm': 287, 'dm': 520}, 'prec3': {'nm': 25, 'dm': 51}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': 0.778, 'acc_margin': 0.778, 'prec1': 1.0, 'prec2': 0.516, 'prec3': 0.462, 'prec4': -1}",{'prec1': 0},"{'acc': {'nm': 336, 'dm': 432}, 'acc_margin': {'nm': 336, 'dm': 432}, 'prec1': {'nm': 235, 'dm': 235}, 'prec2': {'nm': 95, 'dm': 184}, 'prec3': {'nm': 6, 'dm': 13}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': -0.022, 'acc_margin': -0.022, 'prec1': 0.0, 'prec2': -0.036, 'prec3': -0.028, 'prec4': 999}",0,0,0,0.0,0.0,0.0,0
1,base_fixed,9,0,{1: 0.97},-213099.2091049377,1.000004692649983,586.2257421016693,586.2257461547852,,{1: 21.309999999999945},"{'acc_margin': 0.791, 'prec1': 0.944, 'prec2': 0.524, 'prec3': -1, 'prec4': -1}","{'acc_margin': {'nm': 1025.0, 'dm': 1296}, 1: {'nm': 777.0, 'dm': 823.0}, 2: {'nm': 248.0, 'dm': 473.0}, 3: {'nm': 0.0, 'dm': 0.0}, 4: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.791, 'acc_margin': 0.791, 'prec1': 0.944, 'prec2': 0.524, 'prec3': -1, 'prec4': -1}",{'prec1': -0.026},"{'acc': {'nm': 1025, 'dm': 1296}, 'acc_margin': {'nm': 1025, 'dm': 1296}, 'prec1': {'nm': 777, 'dm': 823}, 'prec2': {'nm': 248, 'dm': 473}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': 0.806, 'acc_margin': 0.806, 'prec1': 0.97, 'prec2': 0.545, 'prec3': -1, 'prec4': -1}",{'prec1': 0},"{'acc': {'nm': 348, 'dm': 432}, 'acc_margin': {'nm': 348, 'dm': 432}, 'prec1': {'nm': 257, 'dm': 265}, 'prec2': {'nm': 91, 'dm': 167}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': 0.015, 'acc_margin': 0.015, 'prec1': 0.026, 'prec2': 0.021, 'prec3': 999, 'prec4': 999}",0,0,0,0.0,0.0,0.0,0
1,base_shrinkage,9,0,{1: 0.97},-213099.2091049377,1.000004692649983,1943.2919175624847,1943.2919328212738,,{1: 21.309999999999945},"{'acc_margin': 0.791, 'prec1': 0.944, 'prec2': 0.524, 'prec3': -1, 'prec4': -1}","{'acc_margin': {'nm': 1025.0, 'dm': 1296}, 1: {'nm': 777.0, 'dm': 823.0}, 2: {'nm': 248.0, 'dm': 473.0}, 3: {'nm': 0.0, 'dm': 0.0}, 4: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.791, 'acc_margin': 0.791, 'prec1': 0.944, 'prec2': 0.524, 'prec3': -1, 'prec4': -1}",{'prec1': -0.026},"{'acc': {'nm': 1025, 'dm': 1296}, 'acc_margin': {'nm': 1025, 'dm': 1296}, 'prec1': {'nm': 777, 'dm': 823}, 'prec2': {'nm': 248, 'dm': 473}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': 0.806, 'acc_margin': 0.806, 'prec1': 0.97, 'prec2': 0.545, 'prec3': -1, 'prec4': -1}",{'prec1': 0},"{'acc': {'nm': 348, 'dm': 432}, 'acc_margin': {'nm': 348, 'dm': 432}, 'prec1': {'nm': 257, 'dm': 265}, 'prec2': {'nm': 91, 'dm': 167}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': 0.015, 'acc_margin': 0.015, 'prec1': 0.026, 'prec2': 0.021, 'prec3': 999, 'prec4': 999}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary4_fixed,9,0,{1: 0.97},0.8780864197530864,0.13884007029876974,1138.9216222763062,1154.7516829967499,"[0, 291, 783, 0, 208, 8, 0, 40, 0, 21]",{1: 0.0},"{'acc_margin': 0.878, 'prec1': 0.97, 'prec2': 0.0, 'prec3': -1, 'prec4': 0.0}","{'acc_margin': {'nm': 1138.0, 'dm': 1296}, 1: {'nm': 813.0, 'dm': 838.0}, 2: {'nm': 0.0, 'dm': 696.0}, 3: {'nm': 0.0, 'dm': 0.0}, 4: {'nm': 0.0, 'dm': 90.0}}","{'acc': 0.878, 'acc_margin': 0.878, 'prec1': 1.0, 'prec2': 0.661, 'prec3': -1, 'prec4': 0.633}",{'prec1': 0},"{'acc': {'nm': 1138, 'dm': 1296}, 'acc_margin': {'nm': 1138, 'dm': 1296}, 'prec1': {'nm': 832, 'dm': 832}, 'prec2': {'nm': 287, 'dm': 434}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 19, 'dm': 30}}","{'acc': 0.852, 'acc_margin': 0.847, 'prec1': 0.979, 'prec2': 0.636, 'prec3': -1, 'prec4': 0.417}",{'prec1': 0},"{'acc': {'nm': 368, 'dm': 432}, 'acc_margin': {'nm': 366, 'dm': 432}, 'prec1': {'nm': 274, 'dm': 280}, 'prec2': {'nm': 89, 'dm': 140}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 5, 'dm': 12}}","{'acc': -0.026, 'acc_margin': -0.031, 'prec1': -0.021, 'prec2': -0.025, 'prec3': 999, 'prec4': -0.216}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary1_fixed,9,0,{1: 0.97},0.8796296296296295,0.13684210526315801,1011.7292556762695,1019.187618970871,,{1: 0.0},"{'acc_margin': 0.88, 'prec1': 0.999, 'prec2': 0.658, 'prec3': 0.538, 'prec4': -1}","{'acc_margin': {'nm': 1140.0, 'dm': 1296}, 1: {'nm': 846.0, 'dm': 847.0}, 2: {'nm': 287.0, 'dm': 436.0}, 3: {'nm': 7.0, 'dm': 13.0}, 4: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.88, 'acc_margin': 0.88, 'prec1': 0.999, 'prec2': 0.658, 'prec3': 0.538, 'prec4': -1}",{'prec1': 0},"{'acc': {'nm': 1140, 'dm': 1296}, 'acc_margin': {'nm': 1140, 'dm': 1296}, 'prec1': {'nm': 846, 'dm': 847}, 'prec2': {'nm': 287, 'dm': 436}, 'prec3': {'nm': 7, 'dm': 13}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': 0.866, 'acc_margin': 0.866, 'prec1': 0.993, 'prec2': 0.635, 'prec3': 0.5, 'prec4': -1}",{'prec1': 0},"{'acc': {'nm': 374, 'dm': 432}, 'acc_margin': {'nm': 374, 'dm': 432}, 'prec1': {'nm': 278, 'dm': 280}, 'prec2': {'nm': 94, 'dm': 148}, 'prec3': {'nm': 2, 'dm': 4}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': -0.014, 'acc_margin': -0.014, 'prec1': -0.006, 'prec2': -0.023, 'prec3': -0.038, 'prec4': 999}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary4_shrinkage,9,0,{1: 0.97},0.8966049382716048,0.11531841652323596,2217.0309681892395,2223.185441970825,"{'iter_0': 0, 'iter_1': 215, 'iter_2': 1, 'iter_3': 0}",{1: 0.0},"{'acc_margin': 0.897, 'prec1': 0.994, 'prec2': 0.687, 'prec3': -1, 'prec4': -1}","{'acc_margin': {'nm': 1162.0, 'dm': 1296}, 1: {'nm': 879.0, 'dm': 884.0}, 2: {'nm': 283.0, 'dm': 412.0}, 3: {'nm': 0.0, 'dm': 0.0}, 4: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.897, 'acc_margin': 0.897, 'prec1': 0.994, 'prec2': 0.687, 'prec3': -1, 'prec4': -1}",{'prec1': 0},"{'acc': {'nm': 1162, 'dm': 1296}, 'acc_margin': {'nm': 1162, 'dm': 1296}, 'prec1': {'nm': 879, 'dm': 884}, 'prec2': {'nm': 283, 'dm': 412}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': 0.863, 'acc_margin': 0.863, 'prec1': 0.969, 'prec2': 0.635, 'prec3': -1, 'prec4': -1}",{'prec1': -0.001},"{'acc': {'nm': 373, 'dm': 432}, 'acc_margin': {'nm': 373, 'dm': 432}, 'prec1': {'nm': 286, 'dm': 295}, 'prec2': {'nm': 87, 'dm': 137}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': -0.034, 'acc_margin': -0.034, 'prec1': -0.025, 'prec2': -0.052, 'prec3': 999, 'prec4': 999}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary1_shrinkage,9,0,{1: 0.97},0.8881172839506172,0.12597741094700274,1632.719392299652,1635.6762974262238,,{1: 0.0},"{'acc_margin': 0.888, 'prec1': 1.0, 'prec2': 0.668, 'prec3': 0.75, 'prec4': -1}","{'acc_margin': {'nm': 1151.0, 'dm': 1296}, 1: {'nm': 857.0, 'dm': 857.0}, 2: {'nm': 288.0, 'dm': 431.0}, 3: {'nm': 6.0, 'dm': 8.0}, 4: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.888, 'acc_margin': 0.888, 'prec1': 1.0, 'prec2': 0.668, 'prec3': 0.75, 'prec4': -1}",{'prec1': 0},"{'acc': {'nm': 1151, 'dm': 1296}, 'acc_margin': {'nm': 1151, 'dm': 1296}, 'prec1': {'nm': 857, 'dm': 857}, 'prec2': {'nm': 288, 'dm': 431}, 'prec3': {'nm': 6, 'dm': 8}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': 0.894, 'acc_margin': 0.894, 'prec1': 1.0, 'prec2': 0.681, 'prec3': 0.75, 'prec4': -1}",{'prec1': 0},"{'acc': {'nm': 386, 'dm': 432}, 'acc_margin': {'nm': 386, 'dm': 432}, 'prec1': {'nm': 287, 'dm': 287}, 'prec2': {'nm': 96, 'dm': 141}, 'prec3': {'nm': 3, 'dm': 4}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': 0.006, 'acc_margin': 0.006, 'prec1': 0.0, 'prec2': 0.013, 'prec3': 0.0, 'prec4': 999}",0,0,0,0.0,0.0,0.0,0
2,full_mip,6,0,{1: 0.97},0.7746913580246912,0.29083665338645437,3.383430004119873,3600.279890060425,,{1: 0.0},"{'acc_margin': 0.775, 'prec1': 1.0, 'prec2': 0.497, 'prec3': -1, 'prec4': -1}","{'acc_margin': {'nm': 1004.0, 'dm': 1296}, 1: {'nm': 716.0, 'dm': 716.0}, 2: {'nm': 288.0, 'dm': 580.0}, 3: {'nm': 0.0, 'dm': 0.0}, 4: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.775, 'acc_margin': 0.775, 'prec1': 1.0, 'prec2': 0.497, 'prec3': -1, 'prec4': -1}",{'prec1': 0},"{'acc': {'nm': 1004, 'dm': 1296}, 'acc_margin': {'nm': 1004, 'dm': 1296}, 'prec1': {'nm': 716, 'dm': 716}, 'prec2': {'nm': 288, 'dm': 580}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': 0.787, 'acc_margin': 0.787, 'prec1': 1.0, 'prec2': 0.511, 'prec3': -1, 'prec4': -1}",{'prec1': 0},"{'acc': {'nm': 340, 'dm': 432}, 'acc_margin': {'nm': 340, 'dm': 432}, 'prec1': {'nm': 244, 'dm': 244}, 'prec2': {'nm': 96, 'dm': 188}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': 0.012, 'acc_margin': 0.012, 'prec1': 0.0, 'prec2': 0.014, 'prec3': 999, 'prec4': 999}",0,0,0,0.0,0.0,0.0,0
2,base_fixed,6,0,{1: 0.97},-32699.209104937803,1.0000305817794184,636.2557311058044,636.2557351589203,,{1: 3.2699999999999534},"{'acc_margin': 0.791, 'prec1': 0.966, 'prec2': 0.517, 'prec3': -1, 'prec4': -1}","{'acc_margin': {'nm': 1025.0, 'dm': 1296}, 1: {'nm': 764.0, 'dm': 791.0}, 2: {'nm': 261.0, 'dm': 505.0}, 3: {'nm': 0.0, 'dm': 0.0}, 4: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.791, 'acc_margin': 0.791, 'prec1': 0.966, 'prec2': 0.517, 'prec3': -1, 'prec4': -1}",{'prec1': -0.004},"{'acc': {'nm': 1025, 'dm': 1296}, 'acc_margin': {'nm': 1025, 'dm': 1296}, 'prec1': {'nm': 764, 'dm': 791}, 'prec2': {'nm': 261, 'dm': 505}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': 0.794, 'acc_margin': 0.794, 'prec1': 0.966, 'prec2': 0.521, 'prec3': -1, 'prec4': -1}",{'prec1': -0.004},"{'acc': {'nm': 343, 'dm': 432}, 'acc_margin': {'nm': 343, 'dm': 432}, 'prec1': {'nm': 256, 'dm': 265}, 'prec2': {'nm': 87, 'dm': 167}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': 0.003, 'acc_margin': 0.003, 'prec1': 0.0, 'prec2': 0.004, 'prec3': 999, 'prec4': 999}",0,0,0,0.0,0.0,0.0,0
2,base_shrinkage,6,0,{1: 0.97},-32699.209104937803,1.0000305817794184,1758.7489068508148,1758.748922586441,,{1: 3.2699999999999534},"{'acc_margin': 0.791, 'prec1': 0.966, 'prec2': 0.517, 'prec3': -1, 'prec4': -1}","{'acc_margin': {'nm': 1025.0, 'dm': 1296}, 1: {'nm': 764.0, 'dm': 791.0}, 2: {'nm': 261.0, 'dm': 505.0}, 3: {'nm': 0.0, 'dm': 0.0}, 4: {'nm': 0.0, 'dm': 0.0}}","{'acc': 0.791, 'acc_margin': 0.791, 'prec1': 0.966, 'prec2': 0.517, 'prec3': -1, 'prec4': -1}",{'prec1': -0.004},"{'acc': {'nm': 1025, 'dm': 1296}, 'acc_margin': {'nm': 1025, 'dm': 1296}, 'prec1': {'nm': 764, 'dm': 791}, 'prec2': {'nm': 261, 'dm': 505}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': 0.794, 'acc_margin': 0.794, 'prec1': 0.966, 'prec2': 0.521, 'prec3': -1, 'prec4': -1}",{'prec1': -0.004},"{'acc': {'nm': 343, 'dm': 432}, 'acc_margin': {'nm': 343, 'dm': 432}, 'prec1': {'nm': 256, 'dm': 265}, 'prec2': {'nm': 87, 'dm': 167}, 'prec3': {'nm': 0, 'dm': 0}, 'prec4': {'nm': 0, 'dm': 0}}","{'acc': 0.003, 'acc_margin': 0.003, 'prec1': 0.0, 'prec2': 0.004, 'prec3': 999, 'prec4': 999}",0,0,0,0.0,0.0,0.0,0
