run,type,tau_0,varrho,beta_p,objective_value,optimality_gap,time,actual_time,same_pieces,gamma,z_frac,z_counts,train_frac,train_constraint_gap,train_counts,test_frac,test_constraint_gap,test_counts,test_train_gap,vio_asm_equal_0,vio_asm_interval,vio_feasibilitytol,vio_asm_equal_0_rate,vio_asm_interval_rate,vio_feasibilitytol_rate,z_integrality_vio
1,full_mip,10,0,{2: 0.99},1.0,0.0,6.245165109634399,6.245165109634399,,{2: 0.0},"{'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc_margin': {'nm': 133.0, 'dm': 133}, 1: {'nm': 44.0, 'dm': 44.0}, 2: {'nm': 53.0, 'dm': 53.0}, 3: {'nm': 36.0, 'dm': 36.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec2': 0},"{'acc': {'nm': 133, 'dm': 133}, 'acc_margin': {'nm': 133, 'dm': 133}, 'prec1': {'nm': 44, 'dm': 44}, 'prec2': {'nm': 53, 'dm': 53}, 'prec3': {'nm': 36, 'dm': 36}}","{'acc': 0.822, 'acc_margin': 0.8, 'prec1': 0.857, 'prec2': 0.75, 'prec3': 0.909}",{'prec2': -0.24},"{'acc': {'nm': 37, 'dm': 45}, 'acc_margin': {'nm': 36, 'dm': 45}, 'prec1': {'nm': 12, 'dm': 14}, 'prec2': {'nm': 15, 'dm': 20}, 'prec3': {'nm': 10, 'dm': 11}}","{'acc': -0.178, 'acc_margin': -0.2, 'prec1': -0.143, 'prec2': -0.25, 'prec3': -0.091}",0,0,0,0.0,0.0,0.0,0
1,base_fixed,10,0,{2: 0.99},0.9999999999999998,0.0,22.36372995376587,22.36373209953308,,{2: 0.0},"{'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc_margin': {'nm': 133.0, 'dm': 133}, 1: {'nm': 44.0, 'dm': 44.0}, 2: {'nm': 53.0, 'dm': 53.0}, 3: {'nm': 36.0, 'dm': 36.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec2': 0},"{'acc': {'nm': 133, 'dm': 133}, 'acc_margin': {'nm': 133, 'dm': 133}, 'prec1': {'nm': 44, 'dm': 44}, 'prec2': {'nm': 53, 'dm': 53}, 'prec3': {'nm': 36, 'dm': 36}}","{'acc': 0.844, 'acc_margin': 0.822, 'prec1': 0.824, 'prec2': 0.824, 'prec3': 0.909}",{'prec2': -0.166},"{'acc': {'nm': 38, 'dm': 45}, 'acc_margin': {'nm': 37, 'dm': 45}, 'prec1': {'nm': 14, 'dm': 17}, 'prec2': {'nm': 14, 'dm': 17}, 'prec3': {'nm': 10, 'dm': 11}}","{'acc': -0.156, 'acc_margin': -0.178, 'prec1': -0.176, 'prec2': -0.176, 'prec3': -0.091}",0,0,0,0.0,0.0,0.0,0
1,base_shrinkage,10,0,{2: 0.99},0.9999999999999998,0.0,80.59488677978516,80.59489727020264,,{2: 0.0},"{'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc_margin': {'nm': 133.0, 'dm': 133}, 1: {'nm': 44.0, 'dm': 44.0}, 2: {'nm': 53.0, 'dm': 53.0}, 3: {'nm': 36.0, 'dm': 36.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec2': 0},"{'acc': {'nm': 133, 'dm': 133}, 'acc_margin': {'nm': 133, 'dm': 133}, 'prec1': {'nm': 44, 'dm': 44}, 'prec2': {'nm': 53, 'dm': 53}, 'prec3': {'nm': 36, 'dm': 36}}","{'acc': 0.844, 'acc_margin': 0.822, 'prec1': 0.824, 'prec2': 0.824, 'prec3': 0.909}",{'prec2': -0.166},"{'acc': {'nm': 38, 'dm': 45}, 'acc_margin': {'nm': 37, 'dm': 45}, 'prec1': {'nm': 14, 'dm': 17}, 'prec2': {'nm': 14, 'dm': 17}, 'prec3': {'nm': 10, 'dm': 11}}","{'acc': -0.156, 'acc_margin': -0.178, 'prec1': -0.176, 'prec2': -0.176, 'prec3': -0.091}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary4_fixed,10,0,{2: 0.99},0.9999999999999999,0.0,0.9584758281707764,2.314769744873047,"[0, 0, 0, 0]",{2: 0.0},"{'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc_margin': {'nm': 133.0, 'dm': 133}, 1: {'nm': 44.0, 'dm': 44.0}, 2: {'nm': 53.0, 'dm': 53.0}, 3: {'nm': 36.0, 'dm': 36.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec2': 0},"{'acc': {'nm': 133, 'dm': 133}, 'acc_margin': {'nm': 133, 'dm': 133}, 'prec1': {'nm': 44, 'dm': 44}, 'prec2': {'nm': 53, 'dm': 53}, 'prec3': {'nm': 36, 'dm': 36}}","{'acc': 0.844, 'acc_margin': 0.822, 'prec1': 0.824, 'prec2': 0.824, 'prec3': 0.909}",{'prec2': -0.166},"{'acc': {'nm': 38, 'dm': 45}, 'acc_margin': {'nm': 37, 'dm': 45}, 'prec1': {'nm': 14, 'dm': 17}, 'prec2': {'nm': 14, 'dm': 17}, 'prec3': {'nm': 10, 'dm': 11}}","{'acc': -0.156, 'acc_margin': -0.178, 'prec1': -0.176, 'prec2': -0.176, 'prec3': -0.091}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary1_fixed,10,0,{2: 0.99},0.9999999999999999,0.0,0.9412438869476318,1.5755956172943115,,{2: 0.0},"{'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc_margin': {'nm': 133.0, 'dm': 133}, 1: {'nm': 44.0, 'dm': 44.0}, 2: {'nm': 53.0, 'dm': 53.0}, 3: {'nm': 36.0, 'dm': 36.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec2': 0},"{'acc': {'nm': 133, 'dm': 133}, 'acc_margin': {'nm': 133, 'dm': 133}, 'prec1': {'nm': 44, 'dm': 44}, 'prec2': {'nm': 53, 'dm': 53}, 'prec3': {'nm': 36, 'dm': 36}}","{'acc': 0.844, 'acc_margin': 0.822, 'prec1': 0.824, 'prec2': 0.824, 'prec3': 0.909}",{'prec2': -0.166},"{'acc': {'nm': 38, 'dm': 45}, 'acc_margin': {'nm': 37, 'dm': 45}, 'prec1': {'nm': 14, 'dm': 17}, 'prec2': {'nm': 14, 'dm': 17}, 'prec3': {'nm': 10, 'dm': 11}}","{'acc': -0.156, 'acc_margin': -0.178, 'prec1': -0.176, 'prec2': -0.176, 'prec3': -0.091}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary4_shrinkage,10,0,{2: 0.99},0.9999999999999999,0.0,3.1813042163848877,4.531717777252197,"{'iter_0': 0, 'iter_1': 0, 'iter_2': 0, 'iter_3': 0}",{2: 0.0},"{'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc_margin': {'nm': 133.0, 'dm': 133}, 1: {'nm': 44.0, 'dm': 44.0}, 2: {'nm': 53.0, 'dm': 53.0}, 3: {'nm': 36.0, 'dm': 36.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec2': 0},"{'acc': {'nm': 133, 'dm': 133}, 'acc_margin': {'nm': 133, 'dm': 133}, 'prec1': {'nm': 44, 'dm': 44}, 'prec2': {'nm': 53, 'dm': 53}, 'prec3': {'nm': 36, 'dm': 36}}","{'acc': 0.844, 'acc_margin': 0.822, 'prec1': 0.824, 'prec2': 0.824, 'prec3': 0.909}",{'prec2': -0.166},"{'acc': {'nm': 38, 'dm': 45}, 'acc_margin': {'nm': 37, 'dm': 45}, 'prec1': {'nm': 14, 'dm': 17}, 'prec2': {'nm': 14, 'dm': 17}, 'prec3': {'nm': 10, 'dm': 11}}","{'acc': -0.156, 'acc_margin': -0.178, 'prec1': -0.176, 'prec2': -0.176, 'prec3': -0.091}",0,0,0,0.0,0.0,0.0,0
1,simplified_arbitrary1_shrinkage,10,0,{2: 0.99},0.9999999999999999,0.0,3.2066822052001953,3.8257153034210205,,{2: 0.0},"{'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc_margin': {'nm': 133.0, 'dm': 133}, 1: {'nm': 44.0, 'dm': 44.0}, 2: {'nm': 53.0, 'dm': 53.0}, 3: {'nm': 36.0, 'dm': 36.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec2': 0},"{'acc': {'nm': 133, 'dm': 133}, 'acc_margin': {'nm': 133, 'dm': 133}, 'prec1': {'nm': 44, 'dm': 44}, 'prec2': {'nm': 53, 'dm': 53}, 'prec3': {'nm': 36, 'dm': 36}}","{'acc': 0.844, 'acc_margin': 0.822, 'prec1': 0.824, 'prec2': 0.824, 'prec3': 0.909}",{'prec2': -0.166},"{'acc': {'nm': 38, 'dm': 45}, 'acc_margin': {'nm': 37, 'dm': 45}, 'prec1': {'nm': 14, 'dm': 17}, 'prec2': {'nm': 14, 'dm': 17}, 'prec3': {'nm': 10, 'dm': 11}}","{'acc': -0.156, 'acc_margin': -0.178, 'prec1': -0.176, 'prec2': -0.176, 'prec3': -0.091}",0,0,0,0.0,0.0,0.0,0
2,full_mip,7,0,{2: 0.99},1.0,0.0,371.464567899704,371.464567899704,,{2: 0.0},"{'acc_margin': 1.0, 'prec1': 0.008, 'prec2': 1.0, 'prec3': 0.041}","{'acc_margin': {'nm': 133.0, 'dm': 133}, 1: {'nm': 2.0, 'dm': 266.0}, 2: {'nm': 53.0, 'dm': 53.0}, 3: {'nm': 4.0, 'dm': 98.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec2': 0},"{'acc': {'nm': 133, 'dm': 133}, 'acc_margin': {'nm': 133, 'dm': 133}, 'prec1': {'nm': 44, 'dm': 44}, 'prec2': {'nm': 53, 'dm': 53}, 'prec3': {'nm': 36, 'dm': 36}}","{'acc': 0.867, 'acc_margin': 0.867, 'prec1': 1.0, 'prec2': 0.75, 'prec3': 1.0}",{'prec2': -0.24},"{'acc': {'nm': 39, 'dm': 45}, 'acc_margin': {'nm': 39, 'dm': 45}, 'prec1': {'nm': 12, 'dm': 12}, 'prec2': {'nm': 18, 'dm': 24}, 'prec3': {'nm': 9, 'dm': 9}}","{'acc': -0.133, 'acc_margin': -0.133, 'prec1': 0.0, 'prec2': -0.25, 'prec3': 0.0}",0,0,0,0.0,0.0,0.0,0
2,base_fixed,7,0,{2: 0.99},1.0,0.0,295.6700565814972,295.6700608730316,,{2: 0.0},"{'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc_margin': {'nm': 133.0, 'dm': 133}, 1: {'nm': 44.0, 'dm': 44.0}, 2: {'nm': 53.0, 'dm': 53.0}, 3: {'nm': 36.0, 'dm': 36.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec2': 0},"{'acc': {'nm': 133, 'dm': 133}, 'acc_margin': {'nm': 133, 'dm': 133}, 'prec1': {'nm': 44, 'dm': 44}, 'prec2': {'nm': 53, 'dm': 53}, 'prec3': {'nm': 36, 'dm': 36}}","{'acc': 0.956, 'acc_margin': 0.844, 'prec1': 1.0, 'prec2': 0.9, 'prec3': 1.0}",{'prec2': -0.09},"{'acc': {'nm': 43, 'dm': 45}, 'acc_margin': {'nm': 38, 'dm': 45}, 'prec1': {'nm': 13, 'dm': 13}, 'prec2': {'nm': 18, 'dm': 20}, 'prec3': {'nm': 12, 'dm': 12}}","{'acc': -0.044, 'acc_margin': -0.156, 'prec1': 0.0, 'prec2': -0.1, 'prec3': 0.0}",0,0,0,0.0,0.0,0.0,0
2,base_shrinkage,7,0,{2: 0.99},1.0,0.0,796.8924098014832,796.8924279212952,,{2: 0.0},"{'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}","{'acc_margin': {'nm': 133.0, 'dm': 133}, 1: {'nm': 44.0, 'dm': 44.0}, 2: {'nm': 53.0, 'dm': 53.0}, 3: {'nm': 36.0, 'dm': 36.0}}","{'acc': 1.0, 'acc_margin': 1.0, 'prec1': 1.0, 'prec2': 1.0, 'prec3': 1.0}",{'prec2': 0},"{'acc': {'nm': 133, 'dm': 133}, 'acc_margin': {'nm': 133, 'dm': 133}, 'prec1': {'nm': 44, 'dm': 44}, 'prec2': {'nm': 53, 'dm': 53}, 'prec3': {'nm': 36, 'dm': 36}}","{'acc': 0.911, 'acc_margin': 0.911, 'prec1': 1.0, 'prec2': 0.818, 'prec3': 1.0}",{'prec2': -0.172},"{'acc': {'nm': 41, 'dm': 45}, 'acc_margin': {'nm': 41, 'dm': 45}, 'prec1': {'nm': 12, 'dm': 12}, 'prec2': {'nm': 18, 'dm': 22}, 'prec3': {'nm': 11, 'dm': 11}}","{'acc': -0.089, 'acc_margin': -0.089, 'prec1': 0.0, 'prec2': -0.182, 'prec3': 0.0}",0,0,0,0.0,0.0,0.0,0
