classifier,fold,train_accuracy,test_accuracy,fold_time_seconds,best_params,train_class_0_precision,test_class_0_precision,train_class_1_precision,test_class_1_precision,train_class_2_precision,test_class_2_precision,train_class_3_precision,test_class_3_precision
LogisticRegression,1,0.975,0.982,49.998,"{'C': 100, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.974,0.984,0.984,0.985,0.953,0.972,0.991,0.987
LogisticRegression,2,0.977,0.983,75.067,"{'C': 100, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.981,0.98,0.983,0.989,0.95,0.972,0.991,1.0
LogisticRegression,3,0.978,0.969,120.776,"{'C': 100, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.979,0.978,0.985,0.975,0.952,0.923,0.991,1.0
LogisticRegression,4,0.979,0.974,110.072,"{'C': 100, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.982,0.975,0.984,0.985,0.954,0.949,0.995,0.972
LinearSVM,1,0.955,0.947,5.357,"{'C': 100, 'loss': 'hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.938,0.922,0.969,0.97,0.964,0.971,0.953,0.927
LinearSVM,2,0.95,0.958,4.972,"{'C': 100, 'loss': 'hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.931,0.931,0.968,0.97,0.965,1.0,0.933,0.986
LinearSVM,3,0.954,0.952,5.444,"{'C': 100, 'loss': 'hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.939,0.946,0.971,0.963,0.953,0.947,0.95,0.939
LinearSVM,4,0.952,0.953,5.314,"{'C': 100, 'loss': 'hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.935,0.943,0.97,0.972,0.953,0.943,0.948,0.923
LinearSVM_CS,1,0.98,0.986,6.346,"{'C': 100, 'loss': 'squared_hinge'}",0.974,0.986,0.989,0.992,0.965,0.972,0.995,0.987
LinearSVM_CS,2,0.981,0.984,6.243,"{'C': 100, 'loss': 'squared_hinge'}",0.981,0.98,0.989,0.99,0.961,0.972,0.991,1.0
LinearSVM_CS,3,0.983,0.973,5.187,"{'C': 100, 'loss': 'squared_hinge'}",0.98,0.98,0.992,0.983,0.964,0.923,0.991,1.0
LinearSVM_CS,4,0.983,0.979,6.584,"{'C': 100, 'loss': 'squared_hinge'}",0.982,0.975,0.99,0.99,0.964,0.962,0.995,0.986
Perceptron,1,0.817,0.826,2.903,"{'alpha': 0.0001, 'penalty': 'l1'}",0.692,0.705,1.0,1.0,0.983,0.978,0.915,0.885
Perceptron,2,0.91,0.922,3.141,"{'alpha': 0.0001, 'penalty': 'l1'}",0.847,0.86,0.996,0.994,0.871,0.889,0.917,0.988
Perceptron,3,0.734,0.72,2.757,"{'alpha': 0.0001, 'penalty': 'l1'}",0.873,0.846,0.779,0.801,0.805,0.761,0.008,0.014
Perceptron,4,0.842,0.83,2.878,"{'alpha': 0.0001, 'penalty': 'l1'}",0.983,0.979,0.93,0.929,0.552,0.531,0.949,0.921
Ridge,1,0.641,0.631,0.502,{'alpha': 10},0.6,0.593,0.662,0.65,0.0,0.0,0.86,0.806
Ridge,2,0.642,0.643,0.476,{'alpha': 0.001},0.603,0.595,0.664,0.667,0.0,0.0,0.79,0.958
Ridge,3,0.644,0.639,0.472,{'alpha': 0.001},0.601,0.602,0.667,0.658,0.0,0.0,0.847,0.808
Ridge,4,0.641,0.658,0.564,{'alpha': 1000},0.599,0.618,0.665,0.684,0.0,0.0,0.842,0.786
KNN,1,1.0,0.988,2.159,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",1.0,0.985,1.0,0.994,1.0,0.985,1.0,0.965
KNN,2,1.0,0.989,2.094,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",1.0,0.991,1.0,0.985,1.0,0.99,1.0,1.0
KNN,3,1.0,0.987,1.942,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",1.0,0.993,1.0,0.991,1.0,0.958,1.0,1.0
KNN,4,1.0,0.987,1.562,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",1.0,0.986,1.0,0.996,1.0,0.985,1.0,0.94
