classifier,fold,train_accuracy,test_accuracy,fold_time_seconds,best_params,train_class_0_precision,test_class_0_precision,train_class_1_precision,test_class_1_precision,train_class_2_precision,test_class_2_precision
LogisticRegression,1,0.873,0.877,27.022,"{'C': 0.01, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.87,0.881,0.878,0.867,0.87,0.882
LogisticRegression,2,0.875,0.868,26.154,"{'C': 0.1, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.874,0.86,0.871,0.892,0.88,0.853
LogisticRegression,3,0.878,0.863,22.024,"{'C': 0.1, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'saga'}",0.872,0.855,0.879,0.866,0.882,0.868
LogisticRegression,4,0.876,0.866,27.212,"{'C': 0.001, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.908,0.9,0.87,0.841,0.857,0.862
LinearSVM,1,0.869,0.874,9.658,"{'C': 10, 'loss': 'hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.857,0.873,0.881,0.867,0.87,0.883
LinearSVM,2,0.87,0.87,9.639,"{'C': 0.1, 'loss': 'squared_hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.865,0.865,0.867,0.897,0.876,0.851
LinearSVM,3,0.875,0.862,9.455,"{'C': 0.1, 'loss': 'squared_hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.87,0.848,0.877,0.87,0.876,0.867
LinearSVM,4,0.872,0.866,9.506,"{'C': 0.1, 'loss': 'squared_hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.865,0.864,0.883,0.859,0.869,0.874
LinearSVM_CS,1,0.873,0.874,29.866,"{'C': 0.01, 'loss': 'squared_hinge'}",0.872,0.872,0.879,0.869,0.867,0.88
LinearSVM_CS,2,0.874,0.87,30.352,"{'C': 0.01, 'loss': 'squared_hinge'}",0.885,0.877,0.865,0.889,0.872,0.848
LinearSVM_CS,3,0.876,0.863,30.56,"{'C': 1, 'loss': 'squared_hinge'}",0.878,0.86,0.873,0.863,0.876,0.866
LinearSVM_CS,4,0.874,0.869,30.564,"{'C': 1, 'loss': 'squared_hinge'}",0.872,0.875,0.878,0.856,0.872,0.876
Perceptron,1,0.831,0.81,1.632,"{'alpha': 0.0001, 'penalty': 'l1'}",0.799,0.768,0.8,0.778,0.913,0.906
Perceptron,2,0.808,0.814,1.708,"{'alpha': 0.0001, 'penalty': 'l1'}",0.912,0.897,0.721,0.742,0.846,0.844
Perceptron,3,0.824,0.818,1.685,"{'alpha': 0.0001, 'penalty': 'elasticnet'}",0.808,0.809,0.812,0.814,0.852,0.833
Perceptron,4,0.783,0.789,1.702,"{'alpha': 0.001, 'penalty': 'elasticnet'}",0.739,0.718,0.851,0.883,0.776,0.791
Ridge,1,0.867,0.862,0.298,{'alpha': 1000},0.893,0.886,0.863,0.85,0.85,0.852
Ridge,2,0.861,0.871,0.338,{'alpha': 1000},0.889,0.904,0.852,0.887,0.847,0.833
Ridge,3,0.867,0.855,0.279,{'alpha': 1000},0.891,0.876,0.862,0.858,0.852,0.836
Ridge,4,0.866,0.859,0.366,{'alpha': 1000},0.888,0.888,0.871,0.844,0.843,0.85
KNN,1,1.0,0.842,6.51,"{'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",1.0,0.851,1.0,0.828,1.0,0.85
KNN,2,0.87,0.833,6.97,"{'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",0.908,0.85,0.847,0.834,0.862,0.818
KNN,3,0.871,0.823,6.503,"{'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",0.9,0.866,0.866,0.816,0.854,0.798
KNN,4,1.0,0.836,6.62,"{'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",1.0,0.856,1.0,0.827,1.0,0.829
