classifier,fold,train_accuracy,test_accuracy,fold_time_seconds,best_params,train_class_0_precision,test_class_0_precision,train_class_1_precision,test_class_1_precision,train_class_2_precision,test_class_2_precision,train_class_3_precision,test_class_3_precision
LogisticRegression,1,0.842,0.816,21.713,"{'C': 10, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.728,0.635,0.709,0.75,0.964,0.914,0.967,0.98
LogisticRegression,2,0.831,0.788,19.67,"{'C': 10, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.709,0.63,0.699,0.594,0.958,0.981,0.955,0.98
LogisticRegression,3,0.852,0.754,21.593,"{'C': 100, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'saga'}",0.728,0.591,0.725,0.593,0.964,0.962,0.993,0.855
LogisticRegression,4,0.843,0.777,21.636,"{'C': 10, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'saga'}",0.711,0.604,0.713,0.632,0.976,0.944,0.974,0.923
LinearSVM,1,0.814,0.821,1.771,"{'C': 100, 'loss': 'squared_hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.675,0.673,0.679,0.756,0.941,0.898,0.948,0.943
LinearSVM,2,0.822,0.764,1.728,"{'C': 1, 'loss': 'squared_hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.706,0.628,0.689,0.556,0.93,0.945,0.948,0.941
LinearSVM,3,0.839,0.744,1.724,"{'C': 100, 'loss': 'squared_hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.734,0.625,0.691,0.567,0.946,0.912,0.993,0.852
LinearSVM,4,0.82,0.782,1.752,"{'C': 1, 'loss': 'squared_hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.703,0.609,0.683,0.625,0.93,0.929,0.955,0.943
LinearSVM_CS,1,0.847,0.792,13.901,"{'C': 100, 'loss': 'squared_hinge'}",0.719,0.603,0.726,0.651,0.964,0.945,0.98,0.98
LinearSVM_CS,2,0.852,0.774,13.566,"{'C': 100, 'loss': 'squared_hinge'}",0.74,0.588,0.735,0.593,0.952,0.981,0.98,0.96
LinearSVM_CS,3,0.85,0.768,13.184,"{'C': 10, 'loss': 'squared_hinge'}",0.713,0.617,0.743,0.6,0.964,0.963,0.987,0.873
LinearSVM_CS,4,0.835,0.777,13.004,"{'C': 10, 'loss': 'squared_hinge'}",0.712,0.604,0.703,0.625,0.953,0.944,0.967,0.925
Perceptron,1,0.752,0.67,0.602,"{'alpha': 0.0001, 'penalty': 'l1'}",0.557,0.444,0.615,0.375,0.95,0.877,0.91,0.941
Perceptron,2,0.782,0.792,0.636,"{'alpha': 0.0001, 'penalty': 'l1'}",0.709,0.774,0.671,0.662,0.86,0.836,0.86,0.909
Perceptron,3,0.769,0.678,0.618,"{'alpha': 0.001, 'penalty': 'l1'}",0.617,0.49,0.684,0.509,0.791,0.781,0.993,0.933
Perceptron,4,0.742,0.758,0.677,"{'alpha': 0.0001, 'penalty': 'l2'}",0.59,0.588,0.611,0.615,0.794,0.867,0.946,0.923
Ridge,1,0.782,0.783,0.394,{'alpha': 10},0.695,0.688,0.678,0.69,0.852,0.818,0.863,0.893
Ridge,2,0.787,0.731,0.175,{'alpha': 1},0.713,0.641,0.68,0.545,0.861,0.852,0.857,0.842
Ridge,3,0.802,0.72,0.169,{'alpha': 1},0.732,0.553,0.679,0.556,0.88,0.871,0.882,0.825
Ridge,4,0.78,0.758,0.167,{'alpha': 1},0.681,0.583,0.657,0.612,0.875,0.914,0.859,0.875
KNN,1,1.0,0.66,1.552,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",1.0,0.487,1.0,0.491,1.0,0.812,1.0,0.788
KNN,2,1.0,0.764,1.521,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",1.0,0.63,1.0,0.596,1.0,0.981,1.0,0.842
KNN,3,1.0,0.697,1.385,"{'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",1.0,0.469,1.0,0.508,1.0,0.946,1.0,0.774
KNN,4,0.794,0.697,1.515,"{'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.692,0.468,0.681,0.473,0.901,0.915,0.865,0.9
