Precision_threshold,Fold,method,obj,time,train_acc_margined,test_acc_margined,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall
"{0: 0.55, 3: 0.4}",1,Full MIP,-540499.276,3140,0.724,0.724,0.794,0.804,"{0: 0.522, 1: 0.563, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.976, 7: 1.0, 8: 0.954}","{0: 0.529, 1: 0.589, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.982, 7: 1.0, 8: 0.929}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 0.794, 5: 1.0, 6: 1.0, 7: 0.345, 8: 0.994}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 0.825, 5: 1.0, 6: 1.0, 7: 0.4, 8: 1.0}"
"{0: 0.55, 3: 0.4}",1,PIP,0.846,944,0.846,0.845,0.904,0.903,"{0: 0.553, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.994, 7: 0.997, 8: 0.997}","{0: 0.556, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 0.981}","{0: 0.997, 1: 1.0, 2: 1.0, 3: 0.171, 4: 1.0, 5: 1.0, 6: 0.997, 7: 1.0, 8: 0.997}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.154, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
"{0: 0.55, 3: 0.4}",1,ISA-PIP,0.843,390,0.843,0.847,0.907,0.905,"{0: 0.561, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.994}","{0: 0.561, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.972}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.197, 4: 1.0, 5: 1.0, 6: 0.994, 7: 1.0, 8: 1.0}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.171, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
"{0: 0.55, 3: 0.4}",1,IDSA-PIP,0.858,1782,0.858,0.855,0.897,0.9,"{0: 0.559, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.956, 7: 1.0, 8: 0.948}","{0: 0.563, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.965, 7: 1.0, 8: 0.954}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.105, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.994}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.128, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
"{0: 0.55, 3: 0.4}",2,Full MIP,0.821,3600,0.821,0.801,0.91,0.911,"{0: 0.579, 1: 1.0, 2: 1.0, 3: 0.987, 4: 1.0, 5: 1.0, 6: 0.976, 7: 1.0, 8: 0.981}","{0: 0.586, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.948, 7: 1.0, 8: 0.99}","{0: 0.997, 1: 1.0, 2: 1.0, 3: 0.219, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 0.992, 1: 1.0, 2: 1.0, 3: 0.239, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}"
"{0: 0.55, 3: 0.4}",2,PIP,0.847,768,0.847,0.819,0.909,0.917,"{0: 0.565, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 0.588, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.214, 4: 1.0, 5: 1.0, 6: 0.994, 7: 1.0, 8: 1.0}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.282, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 1.0}"
"{0: 0.55, 3: 0.4}",2,ISA-PIP,0.844,340,0.844,0.817,0.907,0.915,"{0: 0.558, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 0.583, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.188, 4: 1.0, 5: 1.0, 6: 0.997, 7: 1.0, 8: 1.0}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.265, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 1.0}"
"{0: 0.55, 3: 0.4}",2,IDSA-PIP,0.858,1511,0.858,0.837,0.898,0.9,"{0: 0.56, 1: 0.997, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.945, 7: 1.0, 8: 0.972}","{0: 0.585, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 0.901, 7: 1.0, 8: 0.954}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.117, 4: 0.997, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.137, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}"
"{0: 0.55, 3: 0.4}",3,Full MIP,-350999.22,2981,0.78,0.774,0.883,0.885,"{0: 0.554, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 0.988, 7: 1.0, 8: 0.824}","{0: 0.548, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.852}","{0: 0.992, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}"
"{0: 0.55, 3: 0.4}",3,PIP,0.837,1036,0.837,0.823,0.908,0.902,"{0: 0.562, 1: 0.997, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.997}","{0: 0.548, 1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 0.99}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.205, 4: 0.997, 5: 1.0, 6: 0.994, 7: 1.0, 8: 1.0}","{0: 1.0, 1: 1.0, 2: 1.0, 3: 0.154, 4: 1.0, 5: 1.0, 6: 0.991, 7: 1.0, 8: 1.0}"
