Precision_threshold,Fold,method,obj,time,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall
{2: 0.81},1,Full MIP,0.835,2604,0.912,0.907,"{0: 0.971, 1: 0.902, 2: 0.816, 3: 0.937}","{0: 0.97, 1: 0.876, 2: 0.865, 3: 0.895}","{0: 0.817, 1: 0.99, 2: 0.992, 3: 0.841}","{0: 0.813, 1: 0.985, 2: 0.99, 3: 0.829}"
{2: 0.81},1,PIP,0.825,728,0.914,0.912,"{0: 0.971, 1: 0.909, 2: 0.812, 3: 0.937}","{0: 0.972, 1: 0.888, 2: 0.865, 3: 0.873}","{0: 0.823, 1: 0.989, 2: 0.992, 3: 0.85}","{0: 0.828, 1: 0.981, 2: 0.99, 3: 0.841}"
{2: 0.81},1,ISA-PIP,0.828,388,0.917,0.917,"{0: 0.97, 1: 0.914, 2: 0.815, 3: 0.941}","{0: 0.963, 1: 0.9, 2: 0.865, 3: 0.918}","{0: 0.831, 1: 0.989, 2: 0.992, 3: 0.841}","{0: 0.842, 1: 0.983, 2: 0.99, 3: 0.817}"
{2: 0.81},1,IDSA-PIP,0.836,1250,0.911,0.907,"{0: 0.972, 1: 0.902, 2: 0.816, 3: 0.929}","{0: 0.97, 1: 0.877, 2: 0.869, 3: 0.872}","{0: 0.817, 1: 0.989, 2: 0.992, 3: 0.846}","{0: 0.817, 1: 0.981, 2: 0.99, 3: 0.829}"
{2: 0.81},2,Full MIP,0.823,2455,0.909,0.916,"{0: 0.966, 1: 0.903, 2: 0.816, 3: 0.911}","{0: 0.968, 1: 0.904, 2: 0.83, 3: 0.972}","{0: 0.819, 1: 0.985, 2: 0.987, 3: 0.829}","{0: 0.826, 1: 0.992, 2: 0.99, 3: 0.854}"
{2: 0.81},2,PIP,0.81,1129,0.918,0.922,"{0: 0.969, 1: 0.921, 2: 0.813, 3: 0.915}","{0: 0.971, 1: 0.92, 2: 0.821, 3: 0.972}","{0: 0.838, 1: 0.986, 2: 0.99, 3: 0.833}","{0: 0.838, 1: 0.992, 2: 0.995, 3: 0.854}"
{2: 0.81},2,ISA-PIP,0.815,320,0.915,0.921,"{0: 0.968, 1: 0.916, 2: 0.815, 3: 0.911}","{0: 0.97, 1: 0.917, 2: 0.821, 3: 0.972}","{0: 0.834, 1: 0.985, 2: 0.99, 3: 0.829}","{0: 0.835, 1: 0.992, 2: 0.995, 3: 0.854}"
{2: 0.81},2,IDSA-PIP,0.826,1106,0.907,0.913,"{0: 0.968, 1: 0.89, 2: 0.827, 3: 0.923}","{0: 0.974, 1: 0.891, 2: 0.831, 3: 0.986}","{0: 0.811, 1: 0.987, 2: 0.99, 3: 0.829}","{0: 0.809, 1: 0.998, 2: 0.995, 3: 0.854}"
{2: 0.81},3,Full MIP,0.796,3009,0.843,0.851,"{0: 0.753, 1: 0.924, 2: 1.0, 3: 0.94}","{0: 0.761, 1: 0.939, 2: 1.0, 3: 0.935}","{0: 0.928, 1: 0.992, 2: 0.245, 3: 0.821}","{0: 0.947, 1: 0.99, 2: 0.228, 3: 0.878}"
{2: 0.81},3,PIP,0.83,618,0.911,0.911,"{0: 0.967, 1: 0.902, 2: 0.823, 3: 0.923}","{0: 0.974, 1: 0.91, 2: 0.791, 3: 0.935}","{0: 0.821, 1: 0.987, 2: 0.992, 3: 0.825}","{0: 0.813, 1: 0.987, 2: 0.99, 3: 0.878}"
