Precision_threshold,Fold,method,obj,time,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall
"{0: 0.62, 3: 0.8}",1,Full MIP,0.721,2153,0.79,0.736,"{0: 0.621, 1: 0.944, 2: 0.92, 3: 0.831}","{0: 0.535, 1: 0.737, 2: 0.871, 3: 0.833}","{0: 0.887, 1: 0.315, 2: 0.982, 3: 0.993}","{0: 0.717, 1: 0.255, 2: 1.0, 3: 1.0}"
"{0: 0.62, 3: 0.8}",1,PIP,0.727,990,0.803,0.783,"{0: 0.624, 1: 0.933, 2: 0.916, 3: 0.88}","{0: 0.592, 1: 0.944, 2: 0.871, 3: 0.893}","{0: 0.899, 1: 0.346, 2: 0.994, 3: 0.987}","{0: 0.849, 1: 0.309, 2: 1.0, 3: 1.0}"
"{0: 0.62, 3: 0.8}",1,ISA-PIP,0.724,1472,0.8,0.759,"{0: 0.623, 1: 0.903, 2: 0.915, 3: 0.885}","{0: 0.571, 1: 0.824, 2: 0.844, 3: 0.907}","{0: 0.906, 1: 0.346, 2: 0.982, 3: 0.98}","{0: 0.83, 1: 0.255, 2: 1.0, 3: 0.98}"
"{0: 0.62, 3: 0.8}",1,IDSA-PIP,0.727,1082,0.801,0.778,"{0: 0.622, 1: 0.919, 2: 0.915, 3: 0.886}","{0: 0.592, 1: 0.889, 2: 0.857, 3: 0.909}","{0: 0.899, 1: 0.352, 2: 0.982, 3: 0.987}","{0: 0.849, 1: 0.291, 2: 1.0, 3: 1.0}"
"{0: 0.62, 3: 0.8}",2,Full MIP,0.721,698,0.741,0.726,"{0: 0.791, 1: 0.557, 2: 0.874, 3: 0.838}","{0: 0.765, 1: 0.526, 2: 0.912, 3: 0.79}","{0: 0.214, 1: 0.804, 2: 0.982, 3: 0.973}","{0: 0.245, 1: 0.741, 2: 0.945, 3: 0.98}"
"{0: 0.62, 3: 0.8}",2,PIP,0.718,280,0.74,0.736,"{0: 0.791, 1: 0.558, 2: 0.874, 3: 0.829}","{0: 0.8, 1: 0.544, 2: 0.897, 3: 0.817}","{0: 0.214, 1: 0.798, 2: 0.982, 3: 0.973}","{0: 0.226, 1: 0.796, 2: 0.945, 3: 0.98}"
"{0: 0.62, 3: 0.8}",2,ISA-PIP,0.718,1072,0.74,0.736,"{0: 0.791, 1: 0.558, 2: 0.874, 3: 0.829}","{0: 0.8, 1: 0.544, 2: 0.897, 3: 0.817}","{0: 0.214, 1: 0.798, 2: 0.982, 3: 0.973}","{0: 0.226, 1: 0.796, 2: 0.945, 3: 0.98}"
"{0: 0.62, 3: 0.8}",2,IDSA-PIP,0.719,971,0.74,0.75,"{0: 0.838, 1: 0.55, 2: 0.874, 3: 0.843}","{0: 0.923, 1: 0.561, 2: 0.897, 3: 0.831}","{0: 0.195, 1: 0.816, 2: 0.982, 3: 0.973}","{0: 0.226, 1: 0.852, 2: 0.945, 3: 0.98}"
"{0: 0.62, 3: 0.8}",3,Full MIP,0.622,3537,0.825,0.739,"{0: 0.744, 1: 0.702, 2: 0.919, 3: 0.92}","{0: 0.629, 1: 0.557, 2: 0.883, 3: 0.855}","{0: 0.604, 1: 0.736, 2: 0.969, 3: 1.0}","{0: 0.415, 1: 0.63, 2: 0.964, 3: 0.959}"
"{0: 0.62, 3: 0.8}",3,PIP,0.709,473,0.795,0.701,"{0: 0.655, 1: 0.714, 2: 0.919, 3: 0.866}","{0: 0.519, 1: 0.512, 2: 0.926, 3: 0.79}","{0: 0.679, 1: 0.552, 2: 0.969, 3: 0.993}","{0: 0.509, 1: 0.407, 2: 0.909, 3: 1.0}"
"{0: 0.62, 3: 0.8}",3,ISA-PIP,0.699,1270,0.78,0.711,"{0: 0.637, 1: 0.73, 2: 0.878, 3: 0.847}","{0: 0.527, 1: 0.55, 2: 0.893, 3: 0.817}","{0: 0.673, 1: 0.497, 2: 0.969, 3: 0.993}","{0: 0.547, 1: 0.407, 2: 0.909, 3: 1.0}"
"{0: 0.62, 3: 0.8}",3,IDSA-PIP,0.717,1339,0.773,0.72,"{0: 0.632, 1: 0.662, 2: 0.883, 3: 0.871}","{0: 0.562, 1: 0.543, 2: 0.895, 3: 0.817}","{0: 0.604, 1: 0.54, 2: 0.969, 3: 0.993}","{0: 0.509, 1: 0.463, 2: 0.927, 3: 1.0}"
"{0: 0.62, 3: 0.8}",4,Full MIP,0.669,744,0.765,0.791,"{0: 0.622, 1: 0.71, 2: 0.893, 3: 0.817}","{0: 0.672, 1: 0.818, 2: 0.867, 3: 0.825}","{0: 0.723, 1: 0.405, 2: 0.963, 3: 0.987}","{0: 0.774, 1: 0.5, 2: 0.963, 3: 0.94}"
"{0: 0.62, 3: 0.8}",4,PIP,0.671,951,0.775,0.791,"{0: 0.634, 1: 0.767, 2: 0.874, 3: 0.821}","{0: 0.704, 1: 0.806, 2: 0.828, 3: 0.825}","{0: 0.73, 1: 0.423, 2: 0.976, 3: 0.987}","{0: 0.717, 1: 0.537, 2: 0.981, 3: 0.94}"
"{0: 0.62, 3: 0.8}",4,ISA-PIP,0.672,1471,0.781,0.801,"{0: 0.626, 1: 0.753, 2: 0.903, 3: 0.85}","{0: 0.661, 1: 0.829, 2: 0.897, 3: 0.839}","{0: 0.78, 1: 0.411, 2: 0.963, 3: 0.987}","{0: 0.774, 1: 0.537, 2: 0.963, 3: 0.94}"
"{0: 0.62, 3: 0.8}",4,IDSA-PIP,0.694,1567,0.786,0.806,"{0: 0.621, 1: 0.78, 2: 0.904, 3: 0.861}","{0: 0.661, 1: 0.824, 2: 0.897, 3: 0.86}","{0: 0.792, 1: 0.393, 2: 0.976, 3: 1.0}","{0: 0.774, 1: 0.519, 2: 0.963, 3: 0.98}"
"{0: 0.62, 1: 0.8, 3: 0.8}",1,Full MIP,0.721,1216,0.789,0.759,"{0: 0.621, 1: 0.947, 2: 0.919, 3: 0.822}","{0: 0.569, 1: 0.889, 2: 0.871, 3: 0.833}","{0: 0.874, 1: 0.333, 2: 0.97, 3: 0.993}","{0: 0.774, 1: 0.291, 2: 1.0, 3: 1.0}"
"{0: 0.62, 1: 0.8, 3: 0.8}",1,PIP,0.716,661,0.806,0.759,"{0: 0.622, 1: 0.932, 2: 0.916, 3: 0.902}","{0: 0.573, 1: 0.833, 2: 0.857, 3: 0.875}","{0: 0.912, 1: 0.34, 2: 0.994, 3: 0.993}","{0: 0.811, 1: 0.273, 2: 1.0, 3: 0.98}"
"{0: 0.62, 1: 0.8, 3: 0.8}",1,ISA-PIP,0.721,1470,0.806,0.778,"{0: 0.625, 1: 0.933, 2: 0.916, 3: 0.896}","{0: 0.592, 1: 0.889, 2: 0.857, 3: 0.909}","{0: 0.912, 1: 0.346, 2: 0.994, 3: 0.987}","{0: 0.849, 1: 0.291, 2: 1.0, 3: 1.0}"
"{0: 0.62, 1: 0.8, 3: 0.8}",1,IDSA-PIP,0.73,1150,0.801,0.778,"{0: 0.624, 1: 0.906, 2: 0.931, 3: 0.865}","{0: 0.592, 1: 0.941, 2: 0.857, 3: 0.893}","{0: 0.887, 1: 0.358, 2: 0.988, 3: 0.987}","{0: 0.849, 1: 0.291, 2: 1.0, 3: 1.0}"
"{0: 0.62, 1: 0.8, 3: 0.8}",2,Full MIP,0.721,2375,0.741,0.726,"{0: 0.81, 1: 0.56, 2: 0.874, 3: 0.829}","{0: 0.765, 1: 0.533, 2: 0.897, 3: 0.79}","{0: 0.214, 1: 0.804, 2: 0.982, 3: 0.973}","{0: 0.245, 1: 0.741, 2: 0.945, 3: 0.98}"
"{0: 0.62, 1: 0.8, 3: 0.8}",2,PIP,0.718,253,0.74,0.736,"{0: 0.791, 1: 0.558, 2: 0.874, 3: 0.829}","{0: 0.8, 1: 0.544, 2: 0.897, 3: 0.817}","{0: 0.214, 1: 0.798, 2: 0.982, 3: 0.973}","{0: 0.226, 1: 0.796, 2: 0.945, 3: 0.98}"
"{0: 0.62, 1: 0.8, 3: 0.8}",2,ISA-PIP,0.718,1133,0.74,0.736,"{0: 0.791, 1: 0.558, 2: 0.874, 3: 0.829}","{0: 0.8, 1: 0.544, 2: 0.897, 3: 0.817}","{0: 0.214, 1: 0.798, 2: 0.982, 3: 0.973}","{0: 0.226, 1: 0.796, 2: 0.945, 3: 0.98}"
"{0: 0.62, 1: 0.8, 3: 0.8}",2,IDSA-PIP,0.721,929,0.744,0.726,"{0: 0.81, 1: 0.562, 2: 0.879, 3: 0.834}","{0: 0.765, 1: 0.533, 2: 0.897, 3: 0.79}","{0: 0.214, 1: 0.81, 2: 0.982, 3: 0.98}","{0: 0.245, 1: 0.741, 2: 0.945, 3: 0.98}"
"{0: 0.62, 1: 0.8, 3: 0.8}",3,Full MIP,0.706,3055,0.765,0.711,"{0: 0.63, 1: 0.704, 2: 0.85, 3: 0.837}","{0: 0.529, 1: 0.533, 2: 0.893, 3: 0.831}","{0: 0.642, 1: 0.466, 2: 0.975, 3: 0.993}","{0: 0.509, 1: 0.444, 2: 0.909, 3: 1.0}"
"{0: 0.62, 1: 0.8, 3: 0.8}",3,PIP,0.707,970,0.789,0.711,"{0: 0.646, 1: 0.687, 2: 0.924, 3: 0.866}","{0: 0.519, 1: 0.533, 2: 0.926, 3: 0.817}","{0: 0.654, 1: 0.552, 2: 0.969, 3: 0.993}","{0: 0.509, 1: 0.444, 2: 0.909, 3: 1.0}"
"{0: 0.62, 1: 0.8, 3: 0.8}",3,ISA-PIP,0.718,1382,0.784,0.711,"{0: 0.64, 1: 0.698, 2: 0.913, 3: 0.851}","{0: 0.54, 1: 0.522, 2: 0.909, 3: 0.817}","{0: 0.648, 1: 0.54, 2: 0.969, 3: 0.993}","{0: 0.509, 1: 0.444, 2: 0.909, 3: 1.0}"
"{0: 0.62, 1: 0.8, 3: 0.8}",3,IDSA-PIP,0.721,1525,0.78,0.701,"{0: 0.639, 1: 0.703, 2: 0.891, 3: 0.851}","{0: 0.52, 1: 0.523, 2: 0.909, 3: 0.79}","{0: 0.635, 1: 0.552, 2: 0.957, 3: 0.987}","{0: 0.491, 1: 0.426, 2: 0.909, 3: 1.0}"
"{0: 0.62, 1: 0.8, 3: 0.8}",4,Full MIP,0.654,799,0.77,0.787,"{0: 0.628, 1: 0.759, 2: 0.892, 3: 0.804}","{0: 0.656, 1: 0.806, 2: 0.881, 3: 0.817}","{0: 0.742, 1: 0.405, 2: 0.957, 3: 0.993}","{0: 0.755, 1: 0.463, 2: 0.963, 3: 0.98}"
"{0: 0.62, 1: 0.8, 3: 0.8}",4,PIP,0.672,612,0.789,0.81,"{0: 0.623, 1: 0.729, 2: 0.914, 3: 0.892}","{0: 0.667, 1: 0.8, 2: 0.914, 3: 0.873}","{0: 0.78, 1: 0.429, 2: 0.97, 3: 0.993}","{0: 0.792, 1: 0.519, 2: 0.981, 3: 0.96}"
"{0: 0.62, 1: 0.8, 3: 0.8}",4,ISA-PIP,0.671,1658,0.783,0.81,"{0: 0.632, 1: 0.753, 2: 0.899, 3: 0.846}","{0: 0.678, 1: 0.806, 2: 0.914, 3: 0.845}","{0: 0.767, 1: 0.411, 2: 0.976, 3: 0.993}","{0: 0.755, 1: 0.537, 2: 0.981, 3: 0.98}"
"{0: 0.62, 1: 0.8, 3: 0.8}",4,IDSA-PIP,0.691,1754,0.781,0.787,"{0: 0.62, 1: 0.792, 2: 0.908, 3: 0.841}","{0: 0.646, 1: 0.793, 2: 0.912, 3: 0.817}","{0: 0.811, 1: 0.374, 2: 0.963, 3: 0.993}","{0: 0.792, 1: 0.426, 2: 0.963, 3: 0.98}"
"{0: 0.67, 3: 0.8}",1,Full MIP,-67199.319,3494,0.77,0.712,"{0: 0.637, 1: 0.806, 2: 0.842, 3: 0.845}","{0: 0.557, 1: 0.6, 2: 0.79, 3: 0.873}","{0: 0.862, 1: 0.333, 2: 0.945, 3: 0.953}","{0: 0.736, 1: 0.273, 2: 0.907, 3: 0.96}"
"{0: 0.67, 3: 0.8}",1,PIP,-3899.331,715,0.808,0.755,"{0: 0.668, 1: 0.897, 2: 0.888, 3: 0.865}","{0: 0.563, 1: 0.773, 2: 0.855, 3: 0.877}","{0: 0.912, 1: 0.377, 2: 0.97, 3: 0.987}","{0: 0.755, 1: 0.309, 2: 0.981, 3: 1.0}"
"{0: 0.67, 3: 0.8}",1,ISA-PIP,-13999.312,2338,0.809,0.755,"{0: 0.664, 1: 0.967, 2: 0.885, 3: 0.86}","{0: 0.568, 1: 0.789, 2: 0.857, 3: 0.875}","{0: 0.918, 1: 0.358, 2: 0.982, 3: 0.993}","{0: 0.792, 1: 0.273, 2: 1.0, 3: 0.98}"
"{0: 0.67, 3: 0.8}",1,IDSA-PIP,0.7,1485,0.809,0.75,"{0: 0.671, 1: 0.938, 2: 0.88, 3: 0.86}","{0: 0.558, 1: 0.867, 2: 0.844, 3: 0.875}","{0: 0.912, 1: 0.37, 2: 0.982, 3: 0.987}","{0: 0.811, 1: 0.236, 2: 1.0, 3: 0.98}"
"{0: 0.67, 3: 0.8}",2,Full MIP,0.719,1063,0.74,0.75,"{0: 0.791, 1: 0.549, 2: 0.874, 3: 0.848}","{0: 0.812, 1: 0.562, 2: 0.897, 3: 0.845}","{0: 0.214, 1: 0.798, 2: 0.982, 3: 0.973}","{0: 0.245, 1: 0.833, 2: 0.945, 3: 0.98}"
"{0: 0.67, 3: 0.8}",2,PIP,0.718,261,0.74,0.736,"{0: 0.791, 1: 0.558, 2: 0.874, 3: 0.829}","{0: 0.8, 1: 0.544, 2: 0.897, 3: 0.817}","{0: 0.214, 1: 0.798, 2: 0.982, 3: 0.973}","{0: 0.226, 1: 0.796, 2: 0.945, 3: 0.98}"
"{0: 0.67, 3: 0.8}",2,ISA-PIP,0.718,1059,0.74,0.736,"{0: 0.791, 1: 0.558, 2: 0.874, 3: 0.829}","{0: 0.8, 1: 0.544, 2: 0.897, 3: 0.817}","{0: 0.214, 1: 0.798, 2: 0.982, 3: 0.973}","{0: 0.226, 1: 0.796, 2: 0.945, 3: 0.98}"
"{0: 0.67, 3: 0.8}",2,IDSA-PIP,0.722,917,0.743,0.736,"{0: 0.78, 1: 0.548, 2: 0.884, 3: 0.855}","{0: 0.8, 1: 0.553, 2: 0.867, 3: 0.82}","{0: 0.201, 1: 0.804, 2: 0.982, 3: 0.993}","{0: 0.226, 1: 0.778, 2: 0.945, 3: 1.0}"
"{0: 0.67, 3: 0.8}",3,Full MIP,0.625,1188,0.824,0.735,"{0: 0.75, 1: 0.702, 2: 0.908, 3: 0.915}","{0: 0.611, 1: 0.55, 2: 0.883, 3: 0.855}","{0: 0.642, 1: 0.693, 2: 0.969, 3: 1.0}","{0: 0.415, 1: 0.611, 2: 0.964, 3: 0.959}"
"{0: 0.67, 3: 0.8}",3,PIP,0.691,934,0.802,0.725,"{0: 0.675, 1: 0.746, 2: 0.907, 3: 0.856}","{0: 0.562, 1: 0.574, 2: 0.909, 3: 0.803}","{0: 0.692, 1: 0.577, 2: 0.957, 3: 0.993}","{0: 0.509, 1: 0.5, 2: 0.909, 3: 1.0}"
"{0: 0.67, 3: 0.8}",3,ISA-PIP,0.71,2014,0.8,0.706,"{0: 0.68, 1: 0.689, 2: 0.908, 3: 0.892}","{0: 0.51, 1: 0.5, 2: 0.927, 3: 0.842}","{0: 0.629, 1: 0.626, 2: 0.963, 3: 0.993}","{0: 0.472, 1: 0.463, 2: 0.927, 3: 0.98}"
