Precision_threshold,Fold,method,obj,time,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall
{0: 0.89},1,Full MIP,-159699.17,2556,0.875,0.869,"{0: 0.876, 1: 0.88, 2: 0.868}","{0: 0.872, 1: 0.867, 2: 0.867}","{0: 0.827, 1: 0.888, 2: 0.908}","{0: 0.826, 1: 0.857, 2: 0.922}"
{0: 0.89},1,PIP,0.834,1250,0.882,0.869,"{0: 0.891, 1: 0.881, 2: 0.877}","{0: 0.867, 1: 0.865, 2: 0.873}","{0: 0.826, 1: 0.91, 2: 0.91}","{0: 0.821, 1: 0.874, 2: 0.91}"
{0: 0.89},1,ISA-PIP,0.834,2567,0.882,0.87,"{0: 0.891, 1: 0.882, 2: 0.875}","{0: 0.874, 1: 0.867, 2: 0.871}","{0: 0.825, 1: 0.91, 2: 0.91}","{0: 0.819, 1: 0.871, 2: 0.92}"
{0: 0.89},1,IDSA-PIP,0.836,1933,0.882,0.87,"{0: 0.891, 1: 0.882, 2: 0.874}","{0: 0.871, 1: 0.867, 2: 0.872}","{0: 0.826, 1: 0.909, 2: 0.91}","{0: 0.819, 1: 0.874, 2: 0.917}"
{0: 0.89},2,Full MIP,0.829,3483,0.878,0.864,"{0: 0.892, 1: 0.857, 2: 0.887}","{0: 0.86, 1: 0.88, 2: 0.852}","{0: 0.828, 1: 0.911, 2: 0.895}","{0: 0.802, 1: 0.905, 2: 0.884}"
{0: 0.89},2,PIP,0.831,1630,0.88,0.868,"{0: 0.894, 1: 0.86, 2: 0.889}","{0: 0.867, 1: 0.879, 2: 0.858}","{0: 0.833, 1: 0.912, 2: 0.896}","{0: 0.802, 1: 0.9, 2: 0.901}"
{0: 0.89},2,ISA-PIP,0.831,3114,0.88,0.864,"{0: 0.891, 1: 0.859, 2: 0.891}","{0: 0.861, 1: 0.879, 2: 0.853}","{0: 0.831, 1: 0.913, 2: 0.895}","{0: 0.807, 1: 0.898, 2: 0.887}"
{0: 0.89},2,IDSA-PIP,0.834,1626,0.878,0.866,"{0: 0.891, 1: 0.856, 2: 0.888}","{0: 0.86, 1: 0.878, 2: 0.859}","{0: 0.831, 1: 0.909, 2: 0.893}","{0: 0.802, 1: 0.905, 2: 0.889}"
{0: 0.89},3,Full MIP,0.833,3265,0.876,0.853,"{0: 0.898, 1: 0.858, 2: 0.874}","{0: 0.879, 1: 0.835, 2: 0.848}","{0: 0.809, 1: 0.902, 2: 0.915}","{0: 0.792, 1: 0.898, 2: 0.868}"
{0: 0.89},3,PIP,0.838,911,0.879,0.858,"{0: 0.893, 1: 0.871, 2: 0.876}","{0: 0.86, 1: 0.857, 2: 0.856}","{0: 0.823, 1: 0.896, 2: 0.918}","{0: 0.814, 1: 0.888, 2: 0.87}"
{0: 0.89},3,ISA-PIP,0.837,2550,0.881,0.86,"{0: 0.896, 1: 0.872, 2: 0.876}","{0: 0.867, 1: 0.862, 2: 0.853}","{0: 0.823, 1: 0.897, 2: 0.921}","{0: 0.816, 1: 0.891, 2: 0.873}"
