Precision_threshold,Fold,method,obj,time,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall
{1: 0.85},1,Full MIP,0.824,1971,0.839,0.788,"{0: 1.0, 1: 0.892, 2: 0.531}","{0: 0.0, 1: 0.872, 2: 0.412}","{0: 0.106, 1: 0.917, 2: 0.577}","{0: 0.0, 1: 0.87, 2: 0.519}"
{1: 0.85},1,PIP,0.85,736,0.853,0.822,"{0: 0.667, 1: 0.87, 2: 0.659}","{0: 0.0, 1: 0.859, 2: 0.5}","{0: 0.085, 1: 0.97, 2: 0.368}","{0: 0.0, 1: 0.939, 2: 0.352}"
{1: 0.85},1,ISA-PIP,0.847,235,0.852,0.825,"{0: 0.429, 1: 0.869, 2: 0.667}","{0: 0.0, 1: 0.858, 2: 0.548}","{0: 0.064, 1: 0.974, 2: 0.344}","{0: 0.0, 1: 0.948, 2: 0.315}"
{1: 0.85},1,IDSA-PIP,0.848,934,0.852,0.832,"{0: 0.5, 1: 0.868, 2: 0.667}","{0: 0.286, 1: 0.865, 2: 0.567}","{0: 0.106, 1: 0.973, 2: 0.331}","{0: 0.125, 1: 0.952, 2: 0.315}"
{1: 0.85},2,Full MIP,0.829,2046,0.842,0.82,"{0: 0.429, 1: 0.9, 2: 0.548}","{0: 0.0, 1: 0.879, 2: 0.5}","{0: 0.064, 1: 0.914, 2: 0.632}","{0: 0.0, 1: 0.906, 2: 0.537}"
{1: 0.85},2,PIP,0.852,739,0.855,0.818,"{0: 0.857, 1: 0.86, 2: 0.754}","{0: 0.0, 1: 0.84, 2: 0.412}","{0: 0.128, 1: 0.984, 2: 0.282}","{0: 0.0, 1: 0.97, 2: 0.13}"
{1: 0.85},2,ISA-PIP,0.852,241,0.856,0.828,"{0: 1.0, 1: 0.864, 2: 0.72}","{0: 0.0, 1: 0.848, 2: 0.52}","{0: 0.085, 1: 0.979, 2: 0.331}","{0: 0.0, 1: 0.964, 2: 0.241}"
{1: 0.85},2,IDSA-PIP,0.856,1368,0.858,0.82,"{0: 0.818, 1: 0.869, 2: 0.711}","{0: 0.0, 1: 0.839, 2: 0.474}","{0: 0.191, 1: 0.977, 2: 0.331}","{0: 0.0, 1: 0.967, 2: 0.167}"
{1: 0.85},3,Full MIP,0.809,534,0.825,0.81,"{0: 0.8, 1: 0.901, 2: 0.486}","{0: 0.5, 1: 0.907, 2: 0.458}","{0: 0.17, 1: 0.885, 2: 0.65}","{0: 0.125, 1: 0.861, 2: 0.704}"
{1: 0.85},3,PIP,0.842,514,0.847,0.832,"{0: 0.667, 1: 0.863, 2: 0.64}","{0: 0.667, 1: 0.854, 2: 0.538}","{0: 0.17, 1: 0.971, 2: 0.294}","{0: 0.125, 1: 0.961, 2: 0.259}"
{1: 0.85},3,ISA-PIP,0.842,246,0.852,0.832,"{0: 1.0, 1: 0.864, 2: 0.671}","{0: 0.5, 1: 0.858, 2: 0.548}","{0: 0.106, 1: 0.974, 2: 0.325}","{0: 0.062, 1: 0.955, 2: 0.315}"
{1: 0.85},3,IDSA-PIP,0.843,1004,0.847,0.84,"{0: 1.0, 1: 0.857, 2: 0.672}","{0: 0.0, 1: 0.859, 2: 0.621}","{0: 0.106, 1: 0.979, 2: 0.264}","{0: 0.0, 1: 0.964, 2: 0.333}"
