class,length,weight,w_l_ratio
0,10.66,3.45,0.32
0,6.91,3.27,0.47
0,8.38,3.46,0.41
0,7.57,3.36,0.44
0,10.83,3.38,0.31
0,9.35,3.28,0.35
0,9.42,3.33,0.35
0,7.92,3.13,0.39
0,6.98,3.16,0.45
0,8.42,3.26,0.39
0,8.03,3.4,0.42
0,10.27,3.16,0.31
0,8.43,3.33,0.39
0,7.0,3.2,0.46
0,7.46,3.25,0.44
0,9.41,3.21,0.34
0,6.64,3.2,0.48
0,8.17,3.3,0.4
0,8.85,3.07,0.35
0,7.83,3.16,0.4
0,10.19,3.24,0.32
0,9.21,3.36,0.36
0,6.67,3.31,0.5
0,8.25,3.32,0.4
0,7.21,3.4,0.47
0,9.52,3.23,0.34
0,7.13,3.2,0.45
0,8.97,3.25,0.36
0,6.74,3.11,0.46
0,7.54,3.21,0.43
0,10.81,3.26,0.3
0,10.56,3.41,0.32
0,7.48,3.11,0.42
0,8.74,3.37,0.39
0,8.78,3.24,0.37
0,7.16,3.48,0.49
0,9.47,3.45,0.36
0,7.1,3.26,0.46
0,7.23,3.31,0.46
0,7.88,3.3,0.42
0,8.31,3.35,0.4
0,7.28,3.2,0.44
0,7.52,3.15,0.42
0,6.88,3.29,0.48
0,8.51,3.48,0.41
0,9.21,3.12,0.34
0,8.25,3.17,0.38
0,10.13,3.34,0.33
0,9.84,3.42,0.35
0,8.67,3.31,0.38
0,8.17,3.3,0.4
0,7.45,3.09,0.41
0,9.45,3.32,0.35
0,7.28,3.3,0.45
0,9.92,3.33,0.34
0,9.26,3.25,0.35
0,6.94,3.29,0.47
0,8.03,3.29,0.41
0,9.81,3.39,0.35
0,7.61,3.29,0.43
0,7.87,3.24,0.41
0,6.7,3.24,0.48
0,7.81,3.37,0.43
0,9.74,3.26,0.34
0,8.14,3.17,0.39
0,7.89,3.25,0.41
0,7.34,3.25,0.44
0,6.86,3.34,0.49
0,7.16,3.2,0.45
0,9.43,3.27,0.35
0,10.58,3.37,0.32
0,7.69,3.31,0.43
0,6.39,3.06,0.48
0,8.53,3.39,0.4
0,7.94,3.18,0.4
0,9.73,3.32,0.34
0,9.83,3.35,0.34
0,9.3,3.17,0.34
0,7.68,3.41,0.44
0,6.85,3.26,0.48
0,8.39,3.26,0.39
0,8.77,3.34,0.38
0,8.74,3.32,0.38
0,6.87,3.23,0.47
0,8.31,3.35,0.4
0,9.34,3.18,0.34
0,7.23,3.31,0.46
0,7.33,3.45,0.47
0,6.7,3.22,0.48
0,7.77,3.06,0.39
0,6.79,3.18,0.47
0,7.22,3.28,0.45
0,8.54,3.08,0.36
0,7.41,3.11,0.42
0,6.63,3.18,0.48
0,7.2,3.47,0.48
0,7.31,3.26,0.45
0,8.94,3.29,0.37
0,7.06,3.29,0.47
0,9.4,3.44,0.37
0,7.35,3.29,0.45
0,8.58,3.24,0.38
0,7.17,3.34,0.47
0,9.41,3.31,0.35
0,8.41,3.12,0.37
0,7.01,3.25,0.46
0,6.54,3.35,0.51
0,7.08,3.25,0.46
0,8.26,3.18,0.39
0,8.1,3.12,0.39
0,7.02,3.25,0.46
0,8.15,3.27,0.4
0,7.77,3.46,0.44
0,9.58,3.29,0.34
0,8.72,3.22,0.37
0,8.58,3.44,0.4
0,8.04,3.29,0.41
0,7.53,3.06,0.41
0,7.75,3.32,0.43
0,8.41,3.24,0.38
0,7.64,3.19,0.42
0,10.19,3.42,0.34
0,7.18,3.41,0.48
0,10.58,3.38,0.32
0,8.22,3.31,0.4
0,8.34,3.4,0.41
0,9.99,3.42,0.34
0,8.57,3.25,0.38
0,8.74,3.22,0.37
0,7.3,3.38,0.46
0,8.49,3.23,0.38
0,8.62,3.24,0.38
0,6.79,3.4,0.5
0,9.59,3.35,0.35
0,6.57,3.29,0.5
0,7.9,3.33,0.42
0,7.67,3.34,0.44
0,9.62,3.23,0.34
0,7.57,3.09,0.41
0,8.21,3.31,0.4
0,7.06,3.02,0.43
0,9.57,3.33,0.35
0,8.45,3.26,0.39
0,6.98,3.34,0.48
0,6.53,3.34,0.51
0,6.68,3.23,0.48
0,7.84,3.16,0.4
0,7.34,3.16,0.43
0,8.73,3.36,0.39
0,8.08,3.29,0.41
0,8.27,3.33,0.4
0,7.92,3.26,0.41
0,7.03,3.23,0.46
0,6.7,3.14,0.47
0,7.19,3.14,0.44
0,10.76,3.2,0.3
0,9.97,3.58,0.36
0,6.5,3.17,0.49
0,8.34,3.19,0.38
0,7.44,3.26,0.44
0,8.98,3.28,0.37
0,7.21,3.12,0.43
0,6.9,3.22,0.47
0,7.82,3.16,0.4
0,7.64,3.22,0.42
0,9.44,3.39,0.36
0,7.07,3.11,0.44
0,9.59,3.31,0.35
0,8.63,3.26,0.38
0,8.16,3.36,0.41
0,7.61,3.35,0.44
0,6.84,3.34,0.49
0,10.71,3.42,0.32
0,6.9,3.14,0.45
0,7.53,3.13,0.42
0,8.86,3.35,0.38
0,8.77,3.36,0.38
0,6.5,3.18,0.49
0,9.12,3.35,0.37
0,8.36,3.36,0.4
0,7.57,3.35,0.44
0,7.55,3.16,0.42
0,10.59,3.25,0.31
0,8.77,3.11,0.35
0,7.2,3.33,0.46
0,8.94,3.39,0.38
0,8.0,3.23,0.4
0,7.68,3.15,0.41
0,9.27,3.28,0.35
0,9.03,3.37,0.37
0,6.36,3.25,0.51
0,7.85,3.37,0.43
0,7.05,3.21,0.45
0,9.18,3.43,0.37
