dataset,depth,split,method,restricted_class,beta_p,objective_value,optimality_gap,time,gamma,train_acc,test_acc,train_prec,test_prec
blsc,2,1,U-BinOCT,0,,127,0,2.877344131,,0.728632479,0.681528662,0.696629213,0.662650602
blsc,2,2,U-BinOCT,0,,127,0,1.784538031,,0.728632479,0.681528662,0.778894472,0.684210526
blsc,2,3,U-BinOCT,0,,126,0,1.914562941,,0.730769231,0.675159236,0.770731707,0.7
blsc,2,4,U-BinOCT,0,,125,0,2.00492692,,0.732905983,0.668789809,0.778325123,0.680555556
blsc,3,1,U-BinOCT,0,,98.99999999,0.958913907,3600.057495,,0.788461538,0.700636943,0.793103448,0.698795181
blsc,3,2,U-BinOCT,0,,98.99999998,0.967114482,3600.068453,,0.788461538,0.700636943,0.782426778,0.723684211
blsc,3,3,U-BinOCT,0,,98.99999998,0.966642697,3600.075624,,0.762820513,0.74522293,0.795238095,0.833333333
blsc,3,4,U-BinOCT,0,,96.99999999,0.954761339,3600.091017,,0.792735043,0.719745223,0.798283262,0.722222222
blsc,4,1,U-BinOCT,0,,73.99999998,1,3600.134002,,0.841880342,0.770700637,0.841880342,0.779220779
blsc,4,2,U-BinOCT,0,,72,1,3600.225838,,0.846153846,0.78343949,0.852813853,0.805555556
blsc,4,3,U-BinOCT,0,,72.99999999,1,3600.224974,,0.844017094,0.815286624,0.821862348,0.849315068
blsc,4,4,U-BinOCT,0,,69,1,3600.225462,,0.852564103,0.777070064,0.838842975,0.797297297
