dataset,depth,split,method,tau_0,key_beta_p,beta_p,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc,test_acc,train_prec,test_prec
wine,2,1,Full MIP,8,2,0.98,1,0,282.055788,282.055788,0,1,0.956,1,0.947
wine,2,1,IDSA-PIP,8,2,0.98,1,,37.59800649,,0,1,0.867,1,0.933
wine,2,2,Full MIP,9,2,0.98,1,0,108.3034241,108.3034241,0,1,0.889,1,0.81
wine,2,2,IDSA-PIP,9,2,0.98,1,,38.48427773,,0,1,0.911,1,0.938
wine,2,3,Full MIP,8,2,0.98,1,0,1200.45585,1200.45585,0,1,0.933,1,0.895
wine,2,3,IDSA-PIP,8,2,0.98,1,,106.5872104,,0,1,0.933,1,1
wine,2,4,Full MIP,4,2,0.98,1,0,3485.42275,3485.42275,0,1,0.933,1,0.941
wine,2,4,IDSA-PIP,4,2,0.98,0.984962406,,450.4026682,,0,0.985,0.911,1,0.938
nwth,2,1,Full MIP,,1,0.97,1,0,75.53125906,75.53125906,0,1,0.944,1,0.949
nwth,2,1,IDSA-PIP,,1,0.97,1,,414.6726334,,0,1,0.981,1,1
nwth,2,2,Full MIP,,1,0.97,0.98757764,0.012578616,752.5694649,3600.264879,0,0.988,0.981,0.982,1
nwth,2,2,IDSA-PIP,,1,0.97,1,,634.33008,,0,1,0.981,1,1
nwth,2,3,Full MIP,,1,0.97,1,0,84.7688458,84.7688458,0,1,0.944,1,0.927
nwth,2,3,IDSA-PIP,,1,0.97,1,,121.8121026,,0,1,0.963,1,0.974
nwth,2,4,Full MIP,,1,0.97,1,0,144.393739,144.393739,0,1,0.889,1,0.9
nwth,2,4,IDSA-PIP,,1,0.97,1,,37.38502908,,0,1,0.907,1,0.923
htds,2,1,Full MIP,9,1,0.77,0.635555556,0.573426573,3444.503047,3600.17627,0,0.636,0.579,0.825,0.771
htds,2,1,IDSA-PIP,9,1,0.77,0.76,,502.0074563,,0,0.76,0.605,0.869,0.809
htds,2,2,Full MIP,8,1,0.77,0.608888889,0.642335766,601.3952038,3600.213166,0,0.609,0.487,0.798,0.744
htds,2,2,IDSA-PIP,8,1,0.77,0.742222222,,536.1801085,,0,0.742,0.5,0.92,0.824
htds,2,3,Full MIP,10,1,0.77,0.626666667,0.595744681,3136.893815,3600.031479,0,0.627,0.579,0.806,0.709
htds,2,3,IDSA-PIP,10,1,0.77,0.751111111,,691.5663474,,0,0.751,0.553,0.874,0.755
htds,2,4,Full MIP,12,1,0.77,0.626666667,0.59574468,1781.269698,3600.141989,2.84E-14,0.627,0.5,0.932,0.75
htds,2,4,IDSA-PIP,12,1,0.77,0.697777778,,866.953064,,0,0.698,0.513,0.902,0.744
dmtl,2,1,Full MIP,19,1,1,0.731343284,0.367346939,1572.996028,3600.078107,0,0.731,0.656,1,1
dmtl,2,1,IDSA-PIP,19,1,1,0.731343284,,114.3653693,,0,0.731,0.678,1,0.926
dmtl,2,2,Full MIP,15,1,1,0.731343284,0.367346939,2630.87232,3600.095011,0,0.731,0.656,1,0.875
dmtl,2,2,IDSA-PIP,15,1,1,0.723880597,,53.1444006,,0,0.724,0.7,1,0.966
dmtl,2,3,Full MIP,19,1,1,0.731343284,0.367346939,3589.571446,3600.08257,0,0.731,0.711,1,0.966
dmtl,2,3,IDSA-PIP,19,1,1,0.705223881,,13.82001185,,0,0.705,0.722,1,0.933
dmtl,2,4,Full MIP,18,1,1,0.776119403,0.288461538,3600.004865,3600.107288,0,0.78,0.744,1,0.931
dmtl,2,4,IDSA-PIP,18,1,1,0.72761194,,23.21495032,,0,0.728,0.711,1,0.933
blsc,2,1,Full MIP,,1,0.75,0.905982906,0.103773585,2815.261078,3600.679088,0,0.906,0.892,0.909,0.908
blsc,2,1,IDSA-PIP,,1,0.75,0.91025641,,615.6804447,,0,0.91,0.892,0.925,0.92
blsc,2,2,Full MIP,,1,0.75,0.871794872,0.147058824,3417.431014,3600.07856,0,0.872,0.841,0.929,0.926
blsc,2,2,IDSA-PIP,,1,0.75,0.908119658,,911.9711461,,0,0.908,0.885,0.883,0.875
blsc,2,3,Full MIP,,1,0.75,0.886752137,0.127710843,3219.630764,3600.123802,0,0.887,0.866,0.931,0.928
blsc,2,3,IDSA-PIP,,1,0.75,0.946581197,,1014.800912,,0,0.947,0.892,0.976,0.97
blsc,2,4,Full MIP,,1,0.75,0.884615385,0.130434783,3241.682408,3600.4465,0,0.889,0.847,0.9,0.821
blsc,2,4,IDSA-PIP,,1,0.75,0.927350427,,715.500026,,0,0.927,0.873,0.93,0.901
ctmc,2,1,Full MIP,8,1,0.63,0.430253623,1.324210526,3601.918311,3602.07791,0,0.43,0.407,0.949,0.963
ctmc,2,1,IDSA-PIP,8,1,0.63,0.537137681,,984.9505219,,0,0.537,0.472,0.744,0.667
ctmc,2,2,Full MIP,7,1,0.63,0.455615942,1.194831014,2791.452735,3600.222134,0,0.456,0.396,0.988,1
ctmc,2,2,IDSA-PIP,7,1,0.63,0.56884058,,1247.337259,,0,0.569,0.482,0.679,0.59
ctmc,2,3,Full MIP,8,1,0.63,0.422101449,1.369098712,3605.529348,3605.677079,0,0.422,0.436,0.973,0.971
ctmc,2,3,IDSA-PIP,8,1,0.63,0.531702899,,1576.902256,,0,0.532,0.491,0.789,0.689
ctmc,2,4,Full MIP,4,1,0.63,0.436594203,1.290456432,3533.67744,3611.545084,0,0.438,0.407,0.988,0.96
ctmc,2,4,IDSA-PIP,4,1,0.63,0.496376812,,808.1442583,,0,0.496,0.496,0.71,0.694
ceva,2,1,Full MIP,9,1,0.82,0.56558642,0.768076398,1.368061066,3600.180442,0,0.566,0.525,1,1
ceva,2,1,IDSA-PIP,9,1,0.82,0.891975309,,1449.305428,,0,0.892,0.875,0.991,0.98
ceva,2,2,Full MIP,9,1,0.82,0.554783951,0.802503477,1.198227882,3600.114539,0,0.555,0.558,1,1
ceva,2,2,IDSA-PIP,9,1,0.82,0.878858025,,952.2260072,,0,0.879,0.868,0.985,0.967
ceva,2,3,Full MIP,5,1,0.82,0.548611111,0.82278481,0.982342005,3600.282977,0,0.549,0.576,1,1
ceva,2,3,IDSA-PIP,5,1,0.82,0.548611111,,615.1227431,,0,0.549,0.576,1,1
ceva,2,4,Full MIP,5,1,0.82,0.554783951,0.802503477,2.114856958,3601.111071,0,0.555,0.558,1,1
ceva,2,4,IDSA-PIP,5,1,0.82,0.554783951,,496.5435207,,0,0.555,0.558,1,1
fish,2,1,Full MIP,,8,0.22,-47599.53791,1.000017244,3603.042445,3603.042445,4.76,0.462,0.463,0.217,0.216
fish,2,1,IDSA-PIP,,8,0.22,0.462091503,,428.6682703,,0,0.462,0.463,0.235,0.234
fish,2,2,Full MIP,,8,0.22,-49799.53791,1.000016482,3600.955456,3600.955456,4.98,0.462,0.463,0.217,0.216
fish,2,2,IDSA-PIP,,8,0.22,0.462091503,,416.4586692,,0,0.462,0.463,0.234,0.234
fish,2,3,Full MIP,,8,0.22,-47599.53791,1.000017235,3602.320001,3602.320001,4.76,0.462,0.463,0.217,0.216
fish,2,3,IDSA-PIP,,8,0.22,0.462091503,,408.7898512,,0,0.462,0.463,0.235,0.235
fish,2,4,Full MIP,,8,0.22,-122399.5422,1.000006768,3603.225294,3603.225294,12.24,0.458,0.458,0.213,0.213
fish,2,4,IDSA-PIP,,8,0.22,0.462091503,,552.667294,,0,0.462,0.461,0.268,0.268
wine,3,1,Full MIP,7,2,0.99,0.984962469,0.015267111,0.21038413,3600.106631,-6.27E-12,0.985,0.822,1,0.789
wine,3,1,IDSA-PIP,7,2,0.99,1,,133.9666572,,0,1,0.822,1,0.778
wine,3,2,Full MIP,10,2,0.99,1,0,54.80741286,54.80741286,0,1,0.889,1,0.818
wine,3,2,IDSA-PIP,10,2,0.99,1,,2.588042974,,0,1,0.911,1,0.818
wine,3,3,Full MIP,7,2,0.99,0.909774436,0.099173554,3086.501182,3600.090404,0,0.91,0.911,1,0.938
wine,3,3,IDSA-PIP,7,2,0.99,1,,426.4214504,,0,1,0.911,1,0.889
wine,3,4,Full MIP,7,2,0.99,1,0,756.5597532,756.5597532,0,1,0.956,1,0.944
wine,3,4,IDSA-PIP,7,2,0.99,1,,2.809827089,,0,1,0.933,1,1
nwth,3,1,Full MIP,,1,0.99,0.304347894,2.285713555,0.511618137,3600.234869,-6.77E-12,0.304,0.278,1,1
nwth,3,1,IDSA-PIP,,1,0.99,0.962732919,,1191.416381,,0,0.963,0.889,0.991,0.9
nwth,3,2,Full MIP,,1,0.99,0.354037267,1.824561404,3017.733719,3600.231762,0,0.354,0.333,1,1
nwth,3,2,IDSA-PIP,,1,0.99,0.99378882,,1039.021117,,0,0.994,0.963,1,1
nwth,3,3,Full MIP,,1,0.99,0.310559119,2.219998827,358.883178,3600.094838,-1.13E-11,0.311,0.296,1,-
nwth,3,3,IDSA-PIP,,1,0.99,1,,1300.829581,,0,1,0.907,1,0.923
nwth,3,4,Full MIP,,1,0.99,0.987577752,0.012578501,1449.105029,3600.119613,-1.12E-11,0.988,0.944,1,0.949
nwth,3,4,IDSA-PIP,,1,0.99,1,,291.8935781,,0,1,0.907,1,0.923
htds,3,1,Full MIP,10,1,0.83,0.568888889,0.7578125,1669.362857,3600.245026,0,0.569,0.461,0.871,0.744
htds,3,1,IDSA-PIP,10,1,0.83,0.826666667,,1133.067097,,0,0.827,0.579,0.891,0.771
htds,3,2,Full MIP,12,1,0.83,0.608888889,0.642335766,3548.054961,3600.330974,0,0.609,0.474,0.913,0.812
htds,3,2,IDSA-PIP,12,1,0.83,0.8,,791.7949708,,0,0.8,0.566,0.882,0.791
htds,3,3,Full MIP,7,1,0.83,0.582222222,0.717557252,3455.700972,3600.120207,0,0.582,0.513,0.869,0.789
htds,3,3,IDSA-PIP,7,1,0.83,0.773333333,,1196.720955,,0,0.773,0.553,0.924,0.704
htds,3,4,Full MIP,11,1,0.83,0.64,0.5625,3600.063967,3600.166899,0,0.64,0.592,0.864,0.787
htds,3,4,IDSA-PIP,11,1,0.83,0.835555556,,1163.625472,,0,0.836,0.5,0.931,0.762
dmtl,3,1,Full MIP,16,1,1,0.813432836,0.229357798,1.055916071,3600.207768,0,0.813,0.767,1,0.962
dmtl,3,1,IDSA-PIP,16,1,1,0.813432836,,521.8435426,,0,0.813,0.767,1,0.962
dmtl,3,2,Full MIP,20,1,1,0.802238806,0.246511628,1.400132895,3600.227267,0,0.802,0.811,1,1
dmtl,3,2,IDSA-PIP,20,1,1,0.802238806,,479.2415464,,0,0.802,0.811,1,1
dmtl,3,3,Full MIP,20,1,1,0.802238806,0.246511628,534.2177389,3600.24686,0,0.802,0.833,1,1
dmtl,3,3,IDSA-PIP,20,1,1,0.798507463,,440.0277901,,0,0.799,0.822,1,1
dmtl,3,4,Full MIP,18,1,1,0.798507463,0.252336449,0.842117071,3600.243848,0,0.799,0.778,1,0.964
dmtl,3,4,IDSA-PIP,18,1,1,0.843283582,,584.6047058,,0,0.843,0.756,1,0.897
blsc,3,1,Full MIP,,1,0.82,0.745726496,0.340974212,3606.0164,3606.093491,0,0.748,0.688,0.838,0.763
blsc,3,1,IDSA-PIP,,1,0.82,0.942307692,,1252.878247,,0,0.942,0.879,0.968,0.945
blsc,3,2,Full MIP,,1,0.82,0.745726496,0.340974212,1931.286185,3607.946892,0,0.746,0.72,0.829,0.778
blsc,3,2,IDSA-PIP,,1,0.82,0.920940171,,1413.775866,,0,0.921,0.847,0.942,0.919
blsc,3,3,Full MIP,,1,0.82,0.77991453,0.282191781,0.540014982,3608.790885,0,0.78,0.745,0.844,0.823
blsc,3,3,IDSA-PIP,,1,0.82,0.929487179,,1120.319322,,0,0.929,0.885,0.947,0.899
blsc,3,4,Full MIP,,1,0.82,0.822649573,0.215584416,3605.023891,3605.170289,0,0.827,0.764,0.828,0.729
blsc,3,4,IDSA-PIP,,1,0.82,0.891025641,,1081.701218,,0,0.891,0.879,0.87,0.885
ctmc,3,1,Full MIP,7,1,0.81,0.453804348,1.203592814,2180.572234,3600.26698,0,0.455,0.442,0.914,0.861
ctmc,3,1,IDSA-PIP,7,1,0.81,0.580615942,,1219.703696,,0,0.581,0.499,0.837,0.741
ctmc,3,2,Full MIP,8,1,0.81,0.453804348,1.203592814,2084.48365,3619.326314,0,0.454,0.396,0.988,1
ctmc,3,2,IDSA-PIP,8,1,0.81,0.549818841,,808.7088506,,0,0.55,0.463,0.842,0.769
ctmc,3,3,Full MIP,4,1,0.81,0.432971014,1.309623431,2.734548807,3600.317321,0,0.433,0.463,1,1
ctmc,3,3,IDSA-PIP,4,1,0.81,0.586050725,,1376.024509,,0,0.588,0.558,0.812,0.723
ctmc,3,4,Full MIP,4,1,0.81,0.444746377,1.248472505,3.195996046,3600.334745,0,0.445,0.431,0.987,1
ctmc,3,4,IDSA-PIP,4,1,0.81,0.561594203,,1195.272943,,0,0.562,0.537,0.814,0.761
ceva,3,1,Full MIP,9,1,0.97,0.800154321,0.24975892,3600.037191,3600.206243,0,0.8,0.778,1,1
ceva,3,1,IDSA-PIP,9,1,0.97,0.888117284,,1632.719392,,0,0.888,0.894,1,1
ceva,3,2,Full MIP,6,1,0.97,0.774691358,0.290836653,3.383430004,3600.27989,0,0.775,0.787,1,1
ceva,3,2,IDSA-PIP,6,1,0.97,0.852623457,,1782.682265,,0,0.853,0.838,0.98,0.962
ceva,3,3,Full MIP,8,1,0.97,0.770833333,0.297297297,3.13616991,3601.15482,0,0.771,0.799,1,1
ceva,3,3,IDSA-PIP,8,1,0.97,0.868055556,,1994.23308,,0,0.868,0.868,0.979,0.973
ceva,3,4,Full MIP,9,1,0.97,0.775462963,0.289552239,3.463947058,3600.224235,0,0.775,0.785,1,1
ceva,3,4,IDSA-PIP,9,1,0.97,0.861111111,,2561.138029,,0,0.861,0.847,0.999,0.993
