dataset,depth,split,method,tau_0,key_beta,beta,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec
blsc,2,1,Full MIP,,1,0.75,0.6923076923077904,0.4444444444442397,37.97306299209595,3601.1790549755096,0.0,0.692,0.662,0.692,0.662,0.792,0.737
blsc,2,1,IDSA-PIP,,1,0.75,0.9123931623931625,,667.072482585907,,0.0,0.912,0.86,0.912,0.873,0.895,0.863
blsc,2,2,Full MIP,,1,0.75,0.8952991452991454,0.11694510739856784,3043.1610510349274,3600.7278020381927,0.0,0.895,0.847,0.897,0.86,0.906,0.841
blsc,2,2,IDSA-PIP,,1,0.75,0.9230769230769231,,893.2582569122314,,0.0,0.923,0.917,0.923,0.924,0.945,0.945
blsc,2,3,Full MIP,,1,0.75,0.7307692307692308,0.3684210526315788,2042.4621109962463,3600.2604229450226,0.0,0.731,0.688,0.731,0.694,0.915,0.864
blsc,2,3,IDSA-PIP,,1,0.75,0.9465811965811967,,1044.4120528697968,,0.0,0.947,0.854,0.949,0.86,0.986,0.954
blsc,2,4,Full MIP,,1,0.75,0.8653846153846154,0.1555555555555555,2097.5888760089874,3600.527936935425,0.0,0.865,0.822,0.868,0.828,0.915,0.87
blsc,2,4,IDSA-PIP,,1,0.75,0.9273504273504275,,791.7546517848969,,0.0,0.927,0.86,0.927,0.866,0.946,0.877
blsc,3,1,Full MIP,,1,0.82,0.7457264957264957,0.34097421203438394,3600.1737921237946,3600.3533840179443,0.0,0.746,0.688,0.746,0.688,0.841,0.792
blsc,3,1,IDSA-PIP,,1,0.82,0.9444444444444445,,1560.0037999153137,,0.0,0.944,0.879,0.944,0.879,0.972,0.932
blsc,3,2,Full MIP,,1,0.82,0.7735042735042736,0.2928176795580108,3602.561227083206,3602.74959897995,0.0,0.78,0.688,0.78,0.688,0.835,0.789
blsc,3,2,IDSA-PIP,,1,0.82,0.9294871794871795,,1492.6780896186829,,0.0,0.929,0.873,0.929,0.879,0.919,0.854
blsc,3,3,Full MIP,,1,0.82,0.7585470299718402,0.31830982191983975,88.10256910324097,3601.448305130005,-2.1424644464096673e-12,0.759,0.732,0.759,0.732,0.834,0.842
blsc,3,3,IDSA-PIP,,1,0.82,0.9316239316239319,,1379.336151599884,,0.0,0.932,0.898,0.932,0.904,0.964,0.944
blsc,3,4,Full MIP,,1,0.82,0.7286324786324787,0.37243401759530775,846.1701209545135,3614.019365787506,0.0,0.729,0.694,0.729,0.694,0.839,0.789
blsc,3,4,IDSA-PIP,,1,0.82,0.8995726495726496,,1001.6793580055237,,0.0,0.9,0.841,0.9,0.854,0.909,0.857
blsc,4,1,Full MIP,,1,0.87,0.8376068376072653,0.19387755101979856,1365.9875679016113,3600.5843749046326,0.0,0.838,0.777,0.838,0.777,0.875,0.812
blsc,4,1,IDSA-PIP,,1,0.87,0.9230769230769231,,1290.1584062576294,,0.0,0.923,0.809,0.923,0.834,0.946,0.899
blsc,4,2,Full MIP,,1,0.87,0.8183760683764665,0.2219321148819121,385.91102504730225,3618.078243970871,0.0,0.818,0.739,0.818,0.739,0.876,0.864
blsc,4,2,IDSA-PIP,,1,0.87,0.9679487179487181,,1892.5808699131012,,0.0,0.968,0.86,0.968,0.873,0.986,0.914
blsc,4,3,Full MIP,,1,0.87,0.8055555555555556,0.24137931034482754,986.7886369228363,3623.906234025955,0.0,0.806,0.745,0.806,0.745,0.871,0.86
blsc,4,3,IDSA-PIP,,1,0.87,0.9636752136752138,,1537.3080711364746,,0.0,0.964,0.879,0.964,0.879,0.973,0.931
blsc,4,4,Full MIP,,1,0.87,0.8247863247865903,0.21243523316023144,1058.203092098236,3609.7293179035187,0.0,0.825,0.783,0.825,0.783,0.892,0.859
blsc,4,4,IDSA-PIP,,1,0.87,0.9615384615384617,,1599.7830436229706,,0.0,0.962,0.854,0.962,0.873,0.982,0.942
