dataset,depth,split,method,tau_0,key_beta,beta,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec
ctmc,2,1,Full MIP,8.0,1,0.63,0.43297140156777664,1.3096213661665173,1498.5776829719543,3600.335839033127,-3.8707502301407064e-11,0.433,0.425,0.433,0.425,1.0,0.935
ctmc,2,1,IDSA-PIP,8.0,1,0.63,0.5398550724637681,,1511.2069144248962,,0.0,0.54,0.499,0.54,0.504,0.7,0.696
ctmc,2,2,Full MIP,7.0,1,0.63,0.5253623188405797,0.903448275862069,2466.2081248760223,3600.2492649555206,0.0,0.525,0.472,0.525,0.472,0.644,0.6
ctmc,2,2,IDSA-PIP,7.0,1,0.63,0.5443840579710145,,1275.9346525669098,,0.0,0.544,0.453,0.545,0.455,0.753,0.646
ctmc,2,3,Full MIP,8.0,1,0.63,0.42844202898550726,1.3340380549682873,3600.158507823944,3600.35218501091,0.0,0.428,0.439,0.429,0.442,0.975,0.971
ctmc,2,3,IDSA-PIP,8.0,1,0.63,0.5244565217391305,,1037.488294839859,,0.0,0.524,0.466,0.524,0.472,0.745,0.667
ctmc,2,4,Full MIP,4.0,1,0.63,0.42663043478267476,1.3439490445856241,3600.2882721424103,3600.501981973648,0.0,0.427,0.398,0.427,0.398,0.987,1.0
ctmc,2,4,IDSA-PIP,4.0,1,0.63,0.5280797101449276,,1460.842805147171,,0.0,0.528,0.512,0.529,0.512,0.699,0.66
ctmc,3,1,Full MIP,7.0,1,0.81,0.5072463768115942,0.9714285714285713,2023.930345773697,3600.4587597846985,0.0,0.507,0.491,0.507,0.491,0.822,0.77
ctmc,3,1,IDSA-PIP,7.0,1,0.81,0.5833333333333334,,1989.238643169403,,0.0,0.583,0.509,0.583,0.512,0.824,0.739
ctmc,3,2,Full MIP,8.0,1,0.81,0.4528985507246377,1.208,468.10789918899536,3600.48340010643,0.0,0.453,0.393,0.453,0.393,0.988,1.0
ctmc,3,2,IDSA-PIP,8.0,1,0.81,0.595108695652174,,1617.2552390098572,,0.0,0.595,0.463,0.595,0.477,0.839,0.716
ctmc,3,3,Full MIP,4.0,1,0.81,0.43297101449293596,1.3096234309613706,1751.6930031776428,3605.565518140793,0.0,0.433,0.463,0.433,0.469,0.985,1.0
ctmc,3,3,IDSA-PIP,4.0,1,0.81,0.4764492753623189,,1044.9235045909882,,0.0,0.476,0.45,0.477,0.45,0.833,0.818
ctmc,3,4,Full MIP,4.0,1,0.81,0.44384057971031654,1.2530612244889248,699.1922800540924,3600.6655168533325,0.0,0.444,0.431,0.444,0.431,0.987,1.0
ctmc,3,4,IDSA-PIP,4.0,1,0.81,0.47916666666666663,,1132.4650263786316,,0.0,0.479,0.455,0.479,0.461,1.0,0.935
ctmc,4,1,Full MIP,5.0,1,0.69,0.5597826086959818,0.7864077669892392,3600.8878359794617,3601.9869108200073,0.0,0.562,0.523,0.562,0.523,0.814,0.759
ctmc,4,1,IDSA-PIP,5.0,1,0.69,0.6204710144927537,,1571.2353551387787,,0.0,0.62,0.526,0.621,0.537,0.714,0.623
ctmc,4,2,Full MIP,7.0,1,0.69,0.5597826086962223,0.7864077669884718,1948.8992178440094,3601.3539910316467,0.0,0.56,0.491,0.56,0.491,0.789,0.766
ctmc,4,2,IDSA-PIP,7.0,1,0.69,0.6259057971014492,,1316.4740417003632,,0.0,0.626,0.501,0.626,0.512,0.709,0.645
ctmc,4,3,Full MIP,4.0,1,0.69,-41499.48550724609,1.0000240966842788,3461.9229679107666,3600.3400678634644,4.149999999999972,0.514,0.512,0.514,0.512,0.678,0.667
ctmc,4,3,IDSA-PIP,4.0,1,0.69,0.5751811594202898,,1027.2633740901947,,0.0,0.575,0.564,0.575,0.564,0.776,0.683
ctmc,4,4,Full MIP,9.0,1,0.69,0.5579710144928463,0.7922077922074947,2160.124165058136,3603.151396036148,0.0,0.558,0.52,0.558,0.52,0.783,0.764
ctmc,4,4,IDSA-PIP,9.0,1,0.69,0.6313405797103668,,2134.7038497924805,,0.0,0.631,0.526,0.631,0.542,0.721,0.629
