dataset,depth,split,method,tau_0,key_beta,beta,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec
dmtl,2,1,Full MIP,19.0,1,1,0.7313432835820896,0.3673469387755102,1399.9244360923767,3600.2232580184937,0.0,0.731,0.656,0.731,0.678,1.0,0.96
dmtl,2,1,IDSA-PIP,19.0,1,1,0.7313432835820896,,3.9324333667755127,,0.0,0.731,0.611,0.731,0.689,1.0,0.926
dmtl,2,2,Full MIP,15.0,1,1,0.7313432835820896,0.3673469387755102,2921.897141933441,3600.2093029022217,0.0,0.731,0.656,0.731,0.656,1.0,0.9
dmtl,2,2,IDSA-PIP,15.0,1,1,0.7276119402985074,,75.97309303283691,,0.0,0.728,0.711,0.728,0.711,1.0,0.933
dmtl,2,3,Full MIP,19.0,1,1,0.7313432835820896,0.3673469387755102,2126.17924118042,3600.1984770298004,0.0,0.731,0.7,0.731,0.711,1.0,0.931
dmtl,2,3,IDSA-PIP,19.0,1,1,0.7238805970149254,,459.91651487350464,,0.0,0.724,0.7,0.724,0.7,1.0,0.931
dmtl,2,4,Full MIP,18.0,1,1,0.7238805970149254,0.3814432989690722,3101.018530845642,3600.244197845459,0.0,0.724,0.722,0.724,0.722,1.0,0.931
dmtl,2,4,IDSA-PIP,18.0,1,1,0.7276119402985074,,50.93829846382141,,0.0,0.728,0.689,0.728,0.689,1.0,0.903
dmtl,3,1,Full MIP,16.0,1,1,0.8134328358208955,0.2293577981651376,0.13086700439453125,3600.220027923584,0.0,0.813,0.767,0.813,0.767,1.0,0.962
dmtl,3,1,IDSA-PIP,16.0,1,1,0.8134328358208954,,490.8321533203125,,0.0,0.813,0.767,0.813,0.767,1.0,0.962
dmtl,3,2,Full MIP,20.0,1,1,0.8022388059701493,0.24651162790697667,0.13812899589538574,3600.5599999427795,0.0,0.802,0.811,0.802,0.811,1.0,1.0
dmtl,3,2,IDSA-PIP,20.0,1,1,0.8022388059701492,,430.58369731903076,,0.0,0.802,0.811,0.802,0.811,1.0,1.0
dmtl,3,3,Full MIP,20.0,1,1,0.7985074626865671,0.25233644859813087,0.12314915657043457,3600.3147201538086,0.0,0.799,0.811,0.799,0.822,1.0,1.0
dmtl,3,3,IDSA-PIP,20.0,1,1,1.0,,578.4288575649261,,0.0,1.0,0.956,1.0,0.989,1.0,1.0
dmtl,3,4,Full MIP,18.0,1,1,0.7985074626865671,0.25233644859813087,0.12575292587280273,3600.2988488674164,0.0,0.799,0.778,0.799,0.778,1.0,0.964
dmtl,3,4,IDSA-PIP,18.0,1,1,0.8992537313432835,,776.464921951294,,0.0,0.899,0.789,0.899,0.811,1.0,0.964
dmtl,4,1,Full MIP,18.0,1,1,0.9253731343283582,0.08064516129032258,3600.2301800251007,3600.806876897812,0.0,0.929,0.867,0.929,0.878,1.0,1.0
dmtl,4,1,IDSA-PIP,18.0,1,1,0.9141791044776119,,582.3272275924683,,0.0,0.914,0.889,0.914,0.889,1.0,1.0
dmtl,4,2,Full MIP,14.0,1,1,0.9067164179104478,0.10288065843621398,0.43695998191833496,3601.0485751628876,0.0,0.907,0.933,0.907,0.933,1.0,1.0
dmtl,4,2,IDSA-PIP,14.0,1,1,0.9067164182836008,,540.8119692802429,,0.0,0.907,0.933,0.907,0.933,1.0,1.0
dmtl,4,3,Full MIP,17.0,1,1,0.9029850746268658,0.10743801652892541,0.4326629638671875,3600.917958021164,0.0,0.903,0.933,0.903,0.933,1.0,0.966
dmtl,4,3,IDSA-PIP,17.0,1,1,0.9029850746268656,,725.9095988273621,,0.0,0.903,0.933,0.903,0.933,1.0,0.966
dmtl,4,4,Full MIP,19.0,1,1,0.9104477611940298,0.09836065573770496,0.43819499015808105,3600.7199368476868,0.0,0.91,0.867,0.91,0.867,1.0,0.964
dmtl,4,4,IDSA-PIP,19.0,1,1,0.9104477611940298,,506.62748646736145,,0.0,0.91,0.867,0.91,0.867,1.0,0.964
