dataset,depth,split,method,tau_0,key_beta,beta,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec
fish,2,1,Full MIP,,8,0.22,-47599.53790849664,1.0000175349993687,0.0843651294708252,3602.796949148178,4.759999999999991,0.462,0.463,0.462,0.463,0.217,0.216
fish,2,1,IDSA-PIP,,8,0.22,0.46209150326797377,,452.08678817749023,,0.0,0.462,0.463,0.462,0.463,0.235,0.234
fish,2,2,Full MIP,,8,0.22,-49799.53790849691,1.0000164824547961,0.08645796775817871,3601.8664581775665,4.980000000000018,0.462,0.463,0.462,0.463,0.217,0.216
fish,2,2,IDSA-PIP,,8,0.22,0.46209150326797377,,421.9097466468811,,0.0,0.462,0.463,0.462,0.463,0.233,0.234
fish,2,3,Full MIP,,8,0.22,-47599.53790849664,1.0000172346789782,0.11864399909973145,3601.830777168274,4.759999999999991,0.462,0.463,0.462,0.463,0.217,0.216
fish,2,3,IDSA-PIP,,8,0.22,0.46209150326797377,,449.7427268028259,,0.0,0.462,0.462,0.462,0.463,0.234,0.234
fish,2,4,Full MIP,,8,0.22,-122399.54215686282,1.0000067023781252,0.1069040298461914,3602.8339879512787,12.240000000000009,0.458,0.458,0.458,0.458,0.213,0.213
fish,2,4,IDSA-PIP,,8,0.22,0.46209150326797377,,608.0740005970001,,0.0,0.462,0.459,0.462,0.461,0.269,0.269
fish,3,1,Full MIP,,8,0.28,-109999.32058823529,1.000009090965241,0.34549903869628906,3600.578418970108,11.0,0.679,0.675,0.679,0.675,0.272,0.271
fish,3,1,IDSA-PIP,,8,0.28,0.6810457516339868,,602.7764015197754,,0.0,0.681,0.68,0.681,0.681,0.28,0.28
fish,3,2,Full MIP,,8,0.28,-104399.321568628,1.0000095786063068,0.36907482147216797,3600.2523760795593,10.440000000000055,0.678,0.678,0.678,0.678,0.272,0.271
fish,3,2,IDSA-PIP,,8,0.28,0.6810457516339868,,508.7372121810913,,0.0,0.681,0.679,0.681,0.679,0.281,0.281
fish,3,3,Full MIP,,8,0.28,-104399.32124183062,1.0000095786063368,0.3192019462585449,3600.2103531360626,10.440000000000055,0.679,0.677,0.679,0.677,0.272,0.271
fish,3,3,IDSA-PIP,,8,0.28,0.6810457516339868,,552.6249313354492,,0.0,0.681,0.68,0.681,0.681,0.281,0.28
fish,3,4,Full MIP,,8,0.28,-143599.32156862758,1.000006963821201,0.3059828281402588,3600.1590361595154,14.360000000000014,0.678,0.678,0.68,0.679,0.269,0.27
fish,3,4,IDSA-PIP,,8,0.28,0.681045751633987,,782.178005695343,,0.0,0.681,0.679,0.681,0.679,0.283,0.284
fish,4,1,Full MIP,,8,0.36,-57599.21666666659,1.0000173613472174,0.9209527969360352,3607.1202969551086,5.759999999999991,0.783,0.784,0.785,0.786,0.354,0.355
fish,4,1,IDSA-PIP,,8,0.36,0.8875816993464051,,1563.442446231842,,0.0,0.888,0.883,0.888,0.887,0.517,0.52
fish,4,2,Full MIP,,8,0.36,-50399.2166666663,1.0000198415782255,1.198357105255127,3605.884660959244,5.039999999999964,0.783,0.784,0.786,0.785,0.355,0.354
fish,4,2,IDSA-PIP,,8,0.36,0.8431372549019607,,1093.9341642856598,,0.0,0.843,0.844,0.846,0.85,0.438,0.444
fish,4,3,Full MIP,,8,0.36,-50399.21568627415,1.0000198415786115,1.359447956085205,3601.1381030082703,5.039999999999964,0.784,0.782,0.786,0.785,0.355,0.354
fish,4,3,IDSA-PIP,,8,0.36,0.8879084967320261,,1414.672269821167,,0.0,0.888,0.874,0.889,0.881,0.519,0.511
fish,4,4,Full MIP,,8,0.36,-82799.21830065332,1.0000120774087065,1.0834410190582275,3606.045701980591,8.279999999999973,0.782,0.782,0.783,0.783,0.352,0.352
fish,4,4,IDSA-PIP,,8,0.36,0.7803921568627451,,1052.0038974285126,,0.0,0.78,0.775,0.781,0.78,1.0,1.0
