dataset,depth,split,method,tau_0,key_beta,beta,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec
htds,2,1,Full MIP,9.0,1,0.77,0.6355555555555557,0.5734265734265732,2233.8341290950775,3600.2237939834595,0.0,0.636,0.579,0.636,0.579,0.804,0.696
htds,2,1,IDSA-PIP,9.0,1,0.77,0.7377777777777779,,309.99699902534485,,0.0,0.738,0.553,0.738,0.579,0.84,0.704
htds,2,2,Full MIP,8.0,1,0.77,0.6044444589211861,0.6544117250819079,2064.7817940711975,3600.086714029312,-1.4476735910753913e-12,0.604,0.5,0.604,0.5,0.805,0.744
htds,2,2,IDSA-PIP,8.0,1,0.77,0.7644444444444445,,541.4770994186401,,0.0,0.764,0.513,0.764,0.539,0.88,0.795
htds,2,3,Full MIP,10.0,1,0.77,0.5911112256776334,0.691728995424893,1020.4635801315308,3600.2240760326385,-1.1456651485360431e-11,0.591,0.461,0.591,0.461,0.803,0.732
htds,2,3,IDSA-PIP,10.0,1,0.77,0.7466666666666666,,582.0023906230927,,0.0,0.747,0.632,0.747,0.645,0.858,0.796
htds,2,4,Full MIP,12.0,1,0.77,0.6355555555555555,0.5734265734265734,3372.0378601551056,3600.209587097168,0.0,0.636,0.461,0.636,0.474,0.932,0.743
htds,2,4,IDSA-PIP,12.0,1,0.77,0.7066666666666666,,698.1389772891998,,0.0,0.707,0.566,0.707,0.579,0.852,0.692
htds,3,1,Full MIP,10.0,1,0.83,0.6000000000000256,0.6666666666665955,3600.1454169750214,3600.298723936081,0.0,0.6,0.5,0.6,0.5,0.853,0.762
htds,3,1,IDSA-PIP,10.0,1,0.83,0.7911111111111111,,816.6608664989471,,0.0,0.791,0.447,0.791,0.461,0.89,0.667
htds,3,2,Full MIP,12.0,1,0.83,0.6755555555555556,0.4802631578947368,1475.3247430324554,3600.4080708026886,0.0,0.676,0.474,0.676,0.487,0.868,0.744
htds,3,2,IDSA-PIP,12.0,1,0.83,0.7733333333333332,,604.997118473053,,0.0,0.773,0.434,0.773,0.447,0.982,0.788
htds,3,3,Full MIP,7.0,1,0.83,0.6177777777777778,0.6187050359712231,2848.3514618873596,3600.0985548496246,0.0,0.618,0.526,0.622,0.526,0.841,0.8
htds,3,3,IDSA-PIP,7.0,1,0.83,0.7777777777777779,,943.9039037227631,,0.0,0.778,0.5,0.778,0.513,0.917,0.733
htds,3,4,Full MIP,11.0,1,0.83,0.6133334662735505,0.630434429211456,90.81789422035217,3600.1988961696625,-1.329401506211836e-11,0.613,0.513,0.613,0.513,0.85,0.756
htds,3,4,IDSA-PIP,11.0,1,0.83,0.8311111111111111,,633.8427414894104,,0.0,0.831,0.513,0.831,0.513,0.916,0.674
htds,4,1,Full MIP,10.0,1,0.83,0.7333333333333334,0.36363636363636354,3600.104359149933,3600.46577501297,0.0,0.733,0.539,0.733,0.539,0.866,0.72
htds,4,1,IDSA-PIP,10.0,1,0.83,0.9377777777777778,,1411.9748103618622,,0.0,0.938,0.487,0.938,0.513,0.96,0.786
htds,4,2,Full MIP,7.0,1,0.83,0.7022222222222222,0.42405063291139244,169.26462197303772,3600.4058780670166,0.0,0.702,0.5,0.702,0.5,0.837,0.708
htds,4,2,IDSA-PIP,7.0,1,0.83,0.8799999999999999,,1289.9319746494293,,0.0,0.88,0.487,0.88,0.513,0.937,0.8
htds,4,3,Full MIP,11.0,1,0.83,0.6755555555556219,0.48026315789459156,305.2606751918793,3600.4878330230713,0.0,0.676,0.553,0.676,0.553,0.848,0.745
htds,4,3,IDSA-PIP,11.0,1,0.83,0.88,,1834.7248332500458,,0.0,0.88,0.526,0.88,0.553,0.938,0.733
htds,4,4,Full MIP,7.0,1,0.83,0.7333333333333333,0.36363636363636376,3600.1600279808044,3600.5332930088043,0.0,0.733,0.553,0.733,0.553,0.86,0.745
htds,4,4,IDSA-PIP,7.0,1,0.83,0.8977777777777777,,1464.1174175739288,,0.0,0.898,0.513,0.898,0.526,0.944,0.762
