dataset,depth,split,method,tau_0,key_beta,beta,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec
nwth,2,1,Full MIP,,1,0.97,1.0,0.0,1483.4064931869507,1483.7430791854858,0.0,1.0,0.907,1.0,0.963,1.0,0.974
nwth,2,1,IDSA-PIP,,1,0.97,1.0,,686.4739344120026,,0.0,1.0,0.963,1.0,0.963,1.0,0.974
nwth,2,2,Full MIP,,1,0.97,1.0,0.0,357.18012404441833,357.2824881076813,0.0,1.0,0.963,1.0,0.963,1.0,0.974
nwth,2,2,IDSA-PIP,,1,0.97,0.9937888198757764,,758.4945714473724,,0.0,0.994,0.907,0.994,0.907,1.0,0.946
nwth,2,3,Full MIP,,1,0.97,1.0,0.0,251.71375799179077,251.75426197052002,0.0,1.0,0.907,1.0,0.907,1.0,0.923
nwth,2,3,IDSA-PIP,,1,0.97,1.0,,117.75823593139648,,0.0,1.0,0.907,1.0,0.907,1.0,0.902
nwth,2,4,Full MIP,,1,0.97,1.0,0.0,154.65048098564148,154.69714903831482,0.0,1.0,0.889,1.0,0.889,1.0,0.9
nwth,2,4,IDSA-PIP,,1,0.97,1.0,,36.0893611907959,,0.0,1.0,0.87,1.0,0.889,1.0,0.921
nwth,3,1,Full MIP,,1,0.99,0.3105593548566399,2.219996385108473,1398.4288499355316,3601.388015985489,-3.486454527856786e-11,0.311,0.259,0.311,0.259,1.0,-1
nwth,3,1,IDSA-PIP,,1,0.99,0.782608695652174,,1274.179966211319,,0.0,0.783,0.648,0.783,0.741,1.0,0.9
nwth,3,2,Full MIP,,1,0.99,0.39751552795031053,1.5156250000000002,3064.742150068283,3600.3239970207214,0.0,0.398,0.352,0.398,0.37,1.0,1.0
nwth,3,2,IDSA-PIP,,1,0.99,0.8136645962732918,,952.7200717926025,,0.0,0.814,0.611,0.814,0.648,1.0,1.0
nwth,3,3,Full MIP,,1,0.99,0.3105592573569288,2.219997396022525,428.2282121181488,3600.2794909477234,-2.5114574604208768e-11,0.311,0.315,0.311,0.315,1.0,1.0
nwth,3,3,IDSA-PIP,,1,0.99,0.9937888198757763,,1255.8028910160065,,0.0,0.994,0.87,0.994,0.907,1.0,0.902
nwth,3,4,Full MIP,,1,0.99,1.0,0.0,494.3817660808563,494.4558708667755,0.0,1.0,0.852,1.0,0.907,1.0,0.923
nwth,3,4,IDSA-PIP,,1,0.99,0.9937888198757762,,994.1308722496033,,0.0,0.994,0.889,0.994,0.907,1.0,0.902
nwth,4,1,Full MIP,,1,1.0,0.35403726708074534,1.8245614035087718,3524.692258834839,3603.9788188934326,0.0,0.354,0.278,0.354,0.296,1.0,1.0
nwth,4,1,IDSA-PIP,,1,1.0,0.7391304347826086,,1328.3062107563019,,0.0,0.739,0.593,0.745,0.611,1.0,0.947
nwth,4,2,Full MIP,,1,1.0,0.30434805594898134,2.2857118041445044,30.73440909385681,3606.408199071884,-2.298619709970692e-11,0.304,0.278,0.304,0.296,1.0,-1
nwth,4,2,IDSA-PIP,,1,1.0,1.0,,1181.9770805835724,,0.0,1.0,0.907,1.0,0.981,1.0,1.0
nwth,4,3,Full MIP,,1,1.0,0.3291934363476691,2.0377276384814547,181.21749901771545,3611.9374001026154,-8.8976381817929e-11,0.329,0.333,0.329,0.333,1.0,1.0
nwth,4,3,IDSA-PIP,,1,1.0,0.9813664596273293,,1268.7516610622406,,0.0,0.981,0.852,0.981,0.889,1.0,0.921
nwth,4,4,Full MIP,,1,1.0,0.33540398300750185,1.9814792031781965,28.577970027923584,3600.2135651111603,-2.562994261268159e-11,0.335,0.259,0.335,0.259,1.0,0.667
nwth,4,4,IDSA-PIP,,1,1.0,1.0,,932.5048542022705,,0.0,1.0,0.833,1.0,0.907,1.0,0.946
