dataset,depth,split,method,restricted_class,beta_p,gap,time,gamma,train_acc,test_acc,train_prec,test_prec
blsc,2,1,C-PIP,0,0.88,,924.5418558,0,0.91,0.892,0.925,0.92
blsc,2,2,C-PIP,0,0.88,,861.3009751,0,0.923,0.93,0.962,0.986
blsc,2,3,C-PIP,0,0.88,,1452.785329,0,0.891,0.879,0.953,0.971
blsc,2,4,C-PIP,0,0.88,,894.3811748,0,0.923,0.86,0.918,0.848
blsc,2,1,C-PIP,0,0.89,,960.8649859,0,0.915,0.885,0.918,0.907
blsc,2,2,C-PIP,0,0.89,,876.4429574,0,0.925,0.885,0.929,0.944
blsc,2,3,C-PIP,0,0.89,,1364.992153,0,0.932,0.879,0.967,0.985
blsc,2,4,C-PIP,0,0.89,,916.4554958,0,0.925,0.879,0.946,0.882
blsc,2,1,C-PIP,0,0.9,,996.6559834,0,0.927,0.879,0.921,0.907
blsc,2,2,C-PIP,0,0.9,,1090.011257,0,0.925,0.885,0.925,0.944
blsc,2,3,C-PIP,0,0.9,,1495.727087,0,0.91,0.898,0.914,0.908
blsc,2,4,C-PIP,0,0.9,,760.4110882,0,0.915,0.885,0.922,0.882
blsc,2,1,C-PIP,0,0.91,,1141.49442,0,0.91,0.879,0.917,0.896
blsc,2,2,C-PIP,0,0.91,,1237.096674,0,0.923,0.93,0.962,0.986
blsc,2,3,C-PIP,0,0.91,,1421.565627,0,0.932,0.879,0.967,0.985
blsc,2,4,C-PIP,0,0.91,,813.3904872,0,0.927,0.873,0.934,0.88
blsc,2,1,C-PIP,0,0.92,,831.4889934,0,0.927,0.873,0.925,0.895
blsc,2,2,C-PIP,0,0.92,,1364.674439,0,0.923,0.924,0.945,0.945
blsc,2,3,C-PIP,0,0.92,,1260.92605,0,0.949,0.879,0.981,0.955
blsc,2,4,C-PIP,0,0.92,,1191.226864,0,0.912,0.854,0.926,0.835
blsc,2,1,C-PIP,0,0.93,,1009.886315,0,0.908,0.86,0.941,0.904
blsc,2,2,C-PIP,0,0.93,,914.6355593,0,0.902,0.898,0.94,0.958
blsc,2,3,C-PIP,0,0.93,,967.7346599,0,0.893,0.879,0.949,0.957
blsc,2,4,C-PIP,0,0.93,,1226.338916,0,0.91,0.879,0.938,0.87
blsc,2,1,C-PIP,0,0.94,,1018.824507,0,0.908,0.885,0.946,0.908
blsc,2,2,C-PIP,0,0.94,,1120.12569,0,0.923,0.93,0.962,0.986
blsc,2,3,C-PIP,0,0.94,,1474.000865,0,0.947,0.866,0.972,0.969
blsc,2,4,C-PIP,0,0.94,,1134.32458,0,0.91,0.879,0.95,0.87
blsc,2,1,C-PIP,0,0.95,,1012.498654,0,0.904,0.898,0.954,0.959
blsc,2,2,C-PIP,0,0.95,,847.6023791,0,0.902,0.898,0.958,0.985
blsc,2,3,C-PIP,0,0.95,,1236.248555,0,0.932,0.892,0.967,0.985
blsc,2,4,C-PIP,0,0.95,,1173.441218,0,0.906,0.879,0.95,0.848
blsc,2,1,C-PIP,0,0.96,,1411.679453,0,0.9,0.873,0.976,0.905
blsc,2,2,C-PIP,0,0.96,,972.2329021,0,0.919,0.936,0.962,0.972
blsc,2,3,C-PIP,0,0.96,,1537.832518,0,0.936,0.892,0.967,0.985
blsc,2,4,C-PIP,0,0.96,,1309.641171,0,0.9,0.86,0.986,0.93
blsc,2,1,C-PIP,0,0.97,,1240.038288,0,0.902,0.86,0.986,0.941
blsc,2,2,C-PIP,0,0.97,,889.364908,0,0.895,0.885,0.976,0.971
blsc,2,3,C-PIP,0,0.97,,1420.741949,0,0.929,0.898,0.976,0.971
blsc,2,4,C-PIP,0,0.97,,1211.027013,0,0.895,0.885,0.981,0.957
blsc,3,1,C-PIP,0,0.88,,1555.614756,0,0.94,0.885,0.938,0.92
blsc,3,2,C-PIP,0,0.88,,1699.720361,0,0.906,0.898,0.945,0.921
blsc,3,3,C-PIP,0,0.88,,1580.334238,0,0.919,0.904,0.951,0.92
blsc,3,4,C-PIP,0,0.88,,1617.058804,0,0.925,0.873,0.943,0.882
blsc,3,1,C-PIP,0,0.89,,1584.690848,0,0.932,0.847,0.959,0.929
blsc,3,2,C-PIP,0,0.89,,947.2634645,0,0.788,0.803,0.923,0.919
blsc,3,3,C-PIP,0,0.89,,1589.660059,0,0.91,0.841,0.958,0.952
blsc,3,4,C-PIP,0,0.89,,1682.750289,0,0.921,0.873,0.935,0.917
blsc,3,1,C-PIP,0,0.9,,1297.882978,0,0.947,0.866,0.96,0.918
blsc,3,2,C-PIP,0,0.9,,1297.19214,0,0.808,0.828,0.937,0.951
blsc,3,3,C-PIP,0,0.9,,1705.146091,0,0.87,0.803,0.954,0.967
blsc,3,4,C-PIP,0,0.9,,1578.999438,0,0.929,0.86,0.968,0.925
blsc,3,1,C-PIP,0,0.91,,1765.292155,0,0.942,0.892,0.951,0.934
blsc,3,2,C-PIP,0,0.91,,1219.584447,0,0.838,0.815,0.945,0.906
blsc,3,3,C-PIP,0,0.91,,1538.068295,0,0.949,0.898,0.973,0.944
blsc,3,4,C-PIP,0,0.91,,1401.349034,0,0.919,0.898,0.943,0.932
blsc,3,1,C-PIP,0,0.92,,1309.27487,0,0.953,0.892,0.986,0.959
blsc,3,2,C-PIP,0,0.92,,1425.798509,0,0.927,0.892,0.959,0.944
blsc,3,3,C-PIP,0,0.92,,1940.157334,0,0.929,0.885,0.99,0.97
