dataset,depth,split,method,restricted_class,beta_p,gap,time,gamma,train_acc,test_acc,train_prec,test_prec
ctmc,2,1,C-PIP,0,0.54,0.943661972,1079.977725,0,0.514,0.472,0.692,0.617
ctmc,2,2,C-PIP,0,0.54,0.772070626,1216.042963,0,0.564,0.477,0.651,0.562
ctmc,2,3,C-PIP,0,0.54,0.910034602,1046.179723,0,0.525,0.509,0.694,0.674
ctmc,2,4,C-PIP,0,0.54,0.93006993,1241.23736,0,0.518,0.504,0.715,0.673
ctmc,2,1,C-PIP,0,0.56,0.893653516,933.1256812,0,0.528,0.466,0.687,0.607
ctmc,2,2,C-PIP,0,0.56,0.798045603,668.0951006,0,0.556,0.477,0.653,0.563
ctmc,2,3,C-PIP,0,0.56,0.87755102,952.875493,0,0.534,0.477,0.745,0.674
ctmc,2,4,C-PIP,0,0.56,0.874363328,852.9449041,0,0.534,0.501,0.636,0.623
ctmc,2,1,C-PIP,0,0.58,0.890410959,992.0075648,0,0.529,0.466,0.691,0.613
ctmc,2,2,C-PIP,0,0.58,0.746835443,1044.948219,0,0.572,0.482,0.692,0.583
ctmc,2,3,C-PIP,0,0.58,0.874363328,1459.178439,0,0.534,0.491,0.759,0.704
ctmc,2,4,C-PIP,0,0.58,0.940246046,813.3412557,0,0.515,0.515,0.892,0.853
ctmc,2,1,C-PIP,0,0.6,0.985611511,996.0465105,0,0.504,0.461,0.700,0.646
ctmc,2,2,C-PIP,0,0.6,0.780645161,910.8442664,0,0.562,0.482,0.657,0.585
ctmc,2,3,C-PIP,0,0.6,0.861720067,1556.870516,0,0.539,0.496,0.713,0.667
ctmc,2,4,C-PIP,0,0.6,0.84,1329.067305,0,0.543,0.504,0.750,0.686
ctmc,2,1,C-PIP,0,0.62,0.880749574,1413.746793,0,0.532,0.491,0.791,0.787
ctmc,2,2,C-PIP,0,0.62,0.7664,908.2361934,0,0.566,0.477,0.656,0.566
ctmc,2,3,C-PIP,0,0.62,0.923344948,1076.785234,0,0.521,0.501,0.725,0.700
ctmc,2,4,C-PIP,0,0.62,0.852348993,1191.413698,0,0.540,0.520,0.792,0.779
ctmc,2,1,C-PIP,0,0.64,0.903448276,861.193074,0,0.525,0.469,0.708,0.636
ctmc,2,2,C-PIP,0,0.64,0.789303079,680.6313803,0,0.563,0.469,0.680,0.573
ctmc,2,3,C-PIP,0,0.64,0.916666667,1125.482147,0,0.523,0.512,0.751,0.736
ctmc,2,4,C-PIP,0,0.64,0.913344887,1079.814431,0,0.524,0.509,0.874,0.827
ctmc,2,1,C-PIP,0,0.66,0.893653516,1179.321918,0,0.528,0.507,0.793,0.813
ctmc,2,2,C-PIP,0,0.66,0.833887043,1105.600426,0,0.545,0.474,0.793,0.679
ctmc,2,3,C-PIP,0,0.66,0.883959044,1361.219143,0,0.534,0.499,0.831,0.713
ctmc,2,4,C-PIP,0,0.66,0.926701571,1001.198057,0,0.519,0.509,0.855,0.851
ctmc,2,1,C-PIP,0,0.68,0.783521809,1622.928666,0,0.561,0.504,0.792,0.705
ctmc,2,2,C-PIP,0,0.68,0.849246231,1167.88117,0,0.541,0.466,0.803,0.679
ctmc,2,3,C-PIP,0,0.68,0.910034602,1342.615354,0,0.526,0.463,0.826,0.720
ctmc,2,4,C-PIP,0,0.68,0.957446809,982.0039303,0,0.512,0.491,0.790,0.756
ctmc,2,1,C-PIP,0,0.7,0.883959044,1716.936516,0,0.531,0.515,0.789,0.813
ctmc,2,2,C-PIP,0,0.7,0.830845771,1341.372278,0,0.546,0.463,0.823,0.714
ctmc,2,3,C-PIP,0,0.7,0.960923623,1250.80488,0,0.512,0.463,0.778,0.756
ctmc,2,4,C-PIP,0,0.7,0.87755102,1098.76418,0,0.533,0.518,0.817,0.776
ctmc,2,1,C-PIP,0,0.72,0.864864865,1143.273035,0,0.536,0.509,0.788,0.818
ctmc,2,2,C-PIP,0,0.72,0.849246231,1091.613905,0,0.541,0.463,0.825,0.706
ctmc,2,3,C-PIP,0,0.72,0.916666667,1167.574878,0,0.524,0.504,0.897,0.817
ctmc,2,4,C-PIP,0,0.72,0.957446809,918.0400717,0,0.511,0.496,0.921,0.864
ctmc,3,1,C-PIP,0,0.64,0.714285714,1188.742028,0,0.584,0.526,0.803,0.750
ctmc,3,2,C-PIP,0,0.64,0.665158371,1444.531812,0,0.601,0.509,0.685,0.611
ctmc,3,3,C-PIP,0,0.64,0.693251534,1367.676913,0,0.591,0.566,0.695,0.635
ctmc,3,4,C-PIP,0,0.64,0.70633694,1021.411956,0,0.586,0.547,0.780,0.755
ctmc,3,1,C-PIP,0,0.66,0.695852535,1286.818426,0,0.590,0.515,0.815,0.735
ctmc,3,2,C-PIP,0,0.66,0.655172414,1912.196165,0,0.605,0.493,0.698,0.600
ctmc,3,3,C-PIP,0,0.66,0.809836066,873.0094173,0,0.553,0.542,0.780,0.709
ctmc,3,4,C-PIP,0,0.66,0.719626168,1308.04549,0,0.582,0.556,0.795,0.780
ctmc,3,1,C-PIP,0,0.68,0.667673716,1060.840065,0,0.600,0.512,0.713,0.621
ctmc,3,2,C-PIP,0,0.68,0.685496183,1496.779357,0,0.593,0.488,0.828,0.705
ctmc,3,3,C-PIP,0,0.68,0.76076555,1173.541673,0,0.568,0.561,0.775,0.694
ctmc,3,4,C-PIP,0,0.68,0.688073394,1164.438236,0,0.592,0.547,0.787,0.745
ctmc,3,1,C-PIP,0,0.7,0.733124019,1074.824378,0,0.578,0.518,0.815,0.737
ctmc,3,2,C-PIP,0,0.7,0.741324921,1271.086835,0,0.575,0.485,0.819,0.723
ctmc,3,3,C-PIP,0,0.7,0.774919614,995.4331243,0,0.564,0.566,0.769,0.694
ctmc,3,4,C-PIP,0,0.7,0.733124019,1391.194845,0,0.577,0.528,0.807,0.767
ctmc,3,1,C-PIP,0,0.72,0.730407524,1078.635451,0,0.578,0.523,0.814,0.736
ctmc,3,2,C-PIP,0,0.72,0.708978328,1296.06074,0,0.585,0.488,0.830,0.753
ctmc,3,3,C-PIP,0,0.72,0.789303079,778.7695022,0,0.559,0.556,0.794,0.730
ctmc,3,4,C-PIP,0,0.72,0.690658499,1225.14138,0,0.591,0.537,0.775,0.731
ctmc,3,1,C-PIP,0,0.74,0.716951788,1081.618693,0,0.582,0.518,0.815,0.750
ctmc,3,2,C-PIP,0,0.74,0.688073394,1738.143878,0,0.592,0.496,0.798,0.696
ctmc,3,3,C-PIP,0,0.74,0.792207792,1040.342005,0,0.558,0.550,0.756,0.672
ctmc,3,4,C-PIP,0,0.74,0.672727273,1839.286494,0,0.599,0.518,0.807,0.734
ctmc,3,1,C-PIP,0,0.76,0.693251534,1119.677366,0,0.591,0.520,0.797,0.714
