dataset,depth,split,nrow,method,restricted_class,beta_p,lambda,time_limit,status,obj_value,gamma,time,gap,train_acc,eval_acc,test_acc,train_prec,eval_prec,test_prec,node_count,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc
blsc,2,1,468,BendersOCT,0,,0.8,3600,2,-31,,7.668504,0,0.685897436,0.711538462,0.668789809,0.636666667,0.673684211,0.63,808,1.556816339,1.485031605,39,34
blsc,2,2,468,BendersOCT,0,,0.9,3600,2,-16.9,,9.46613121,0,0.677350427,0.705128205,0.694267516,0.765060241,0.775862069,0.762711864,771,1.688938379,1.622782707,46,41
blsc,2,3,468,BendersOCT,0,,0.7,3600,2,-45,,5.23359704,0,0.694444444,0.724358974,0.643312102,0.626959248,0.666666667,0.603773585,676,1.57383132,1.53081584,35,32
blsc,2,4,468,BendersOCT,0,,0.8,3600,2,-30.8,,5.924724102,0,0.688034188,0.628205128,0.662420382,0.633986928,0.604166667,0.638297872,803,1.305001259,1.226318598,38,33
blsc,3,1,468,BendersOCT,0,,0.9,3600,2,-15.8,,93.27089691,0,0.72008547,0.724358974,0.675159236,0.713692946,0.736842105,0.683544304,14641,3.683444262,3.57948637,62,56
blsc,3,2,468,BendersOCT,0,,0.5,3600,2,-63.5,,295.2264731,0,0.741452991,0.743589744,0.719745223,0.755656109,0.746666667,0.765625,62289,4.92420125,4.665217638,124,109
blsc,3,3,468,BendersOCT,0,,0.2,3600,2,-94.2,,275.369056,0,0.752136752,0.724358974,0.687898089,0.81025641,0.75,0.738461538,51668,4.752012014,4.477599621,122,105
blsc,3,4,468,BendersOCT,0,,0,3600,2,-115,,196.4266961,0,0.754273504,0.717948718,0.668789809,0.721804511,0.705882353,0.627659574,47097,3.515316486,3.364336729,89,81
blsc,4,1,468,BendersOCT,0,,0,3600,9,-102.9999945,,3600.122607,0.796116494,0.77991453,0.826923077,0.74522293,0.777777778,0.864864865,0.746666667,1205398,6.085745335,5.75603056,160,142
blsc,4,2,468,BendersOCT,0,,0.5,3600,9,-57.5,,3600.113489,0.460869565,0.775641026,0.794871795,0.76433121,0.757201646,0.752941176,0.75308642,1163952,7.077065468,6.849498749,188,174
blsc,4,3,468,BendersOCT,0,,0.4,3600,9,-63.6,,3600.109269,0.742138365,0.790598291,0.782051282,0.707006369,0.804444444,0.776315789,0.691358025,697432,7.116718531,6.854002714,200,183
blsc,4,4,468,BendersOCT,0,,0.5,3600,9,-53,,3600.070079,0.252303642,0.799145299,0.788461538,0.700636943,0.818584071,0.852941176,0.674418605,1430518,7.560696125,7.291758776,230,210
