dataset,depth,split,method,restricted_class,criterion,min_samples_split,min_samples_leaf,max_features,splitter,time,train_acc,test_acc,train_prec,test_prec
blsc,2,1,CART,,gini,2,1,sqrt,random,0.12271026,0.645299145,0.636942675,0.650442478,0.648648649
blsc,2,2,CART,,gini,2,1,sqrt,random,0.121617923,0.641025641,0.617834395,0.681081081,0.661538462
blsc,2,3,CART,,gini,2,1,sqrt,best,0.11978522,0.670940171,0.624203822,0.784313725,0.744680851
blsc,2,4,CART,,gini,2,1,,best,0.120707892,0.715811966,0.687898089,0.744075829,0.734375
blsc,3,1,CART,,gini,2,1,sqrt,random,0.122243349,0.743589744,0.687898089,0.711026616,0.649484536
blsc,3,2,CART,,gini,2,1,,best,0.122374941,0.767094017,0.694267516,0.756198347,0.686746988
blsc,3,3,CART,,gini,2,1,sqrt,best,0.122112913,0.747863248,0.662420382,0.677852349,0.641304348
blsc,3,4,CART,,entropy,2,1,sqrt,best,0.122824603,0.771367521,0.732484076,0.717948718,0.695652174
blsc,4,1,CART,,gini,2,5,,best,0.131214604,0.837606838,0.78343949,0.853982301,0.794520548
blsc,4,2,CART,,gini,10,1,sqrt,best,0.126487127,0.764957265,0.738853503,0.717857143,0.725
blsc,4,3,CART,,gini,2,1,,best,0.123385607,0.837606838,0.796178344,0.79766537,0.821917808
blsc,4,4,CART,,gini,10,1,,best,0.12333925,0.833333333,0.777070064,0.828451883,0.756097561
