dataset,depth,split,method,tau_0,key_beta_p,beta_p,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec
blsc,2,1,U-PIP,,1,,0.912393162,,182.1299753,,,0.912,0.866,0.912,0.885,0.888,0.896
blsc,2,2,U-PIP,,1,,0.888888889,,362.9326727,,,0.889,0.885,0.889,0.892,0.928,0.945
blsc,2,3,U-PIP,,1,,0.86965812,,357.2849746,,,0.87,0.822,0.87,0.822,0.956,0.95
blsc,2,4,U-PIP,,1,,0.918803419,,341.0122619,,,0.919,0.866,0.919,0.879,0.931,0.883
blsc,3,1,U-PIP,,1,,0.912393162,,393.7117851,,,0.912,0.822,0.912,0.822,0.943,0.9
blsc,3,2,U-PIP,,1,,0.935897436,,419.6911082,,,0.936,0.841,0.936,0.86,0.942,0.943
blsc,3,3,U-PIP,,1,,0.938034188,,422.4500101,,,0.938,0.898,0.938,0.904,0.934,0.943
blsc,3,4,U-PIP,,1,,0.927350427,,374.5193639,,,0.927,0.822,0.927,0.828,0.911,0.818
blsc,4,1,U-PIP,,1,,0.925213675,,374.862045,,,0.925,0.854,0.925,0.86,0.919,0.883
blsc,4,2,U-PIP,,1,,0.952991453,,512.4353409,,,0.953,0.834,0.953,0.86,0.964,0.915
blsc,4,3,U-PIP,,1,,0.955128205,,523.4947774,,,0.955,0.86,0.955,0.879,0.943,0.932
blsc,4,4,U-PIP,,1,,0.952991453,,407.6847582,,,0.953,0.809,0.953,0.841,0.951,0.889
