dataset,depth,split,nrow,method,restricted_class,beta_p,lambda,time_limit,status,obj_value,gamma,time,gap,train_acc,eval_acc,test_acc,train_prec,eval_prec,test_prec,node_count,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc
ctmc,2,1,1104,BendersOCT,0,,0.6,3600,2,-214.6,,67.89840388,0,0.518115942,0.486413043,0.45799458,0.563981043,0.520361991,0.525,6195,2.150799274,2.082945347,33,28
ctmc,2,2,1104,BendersOCT,0,,0.4,3600,2,-316.8,,21.58605695,0,0.523550725,0.524456522,0.479674797,0.69005848,0.705357143,0.66,6948,2.07861948,1.918324471,47,35
ctmc,2,3,1104,BendersOCT,0,,0.3,3600,2,-383.1,,29.30433106,0,0.505434783,0.527173913,0.533875339,0.690184049,0.68852459,0.663793103,9171,2.316507816,2.166013718,50,40
ctmc,2,4,1104,BendersOCT,0,,0.7,3600,2,-163.8,,18.83640504,0,0.511775362,0.516304348,0.514905149,0.68597561,0.682692308,0.675438596,7654,1.824707031,1.716778278,37,29
ctmc,3,1,1104,BendersOCT,0,,0.9,3600,9,-53.4,,3600.092969,0.732711913,0.54076087,0.5,0.47696477,0.569277108,0.52173913,0.533653846,372397,6.600608349,6.409002066,61,53
ctmc,3,2,1104,BendersOCT,0,,0.3,3600,9,-347.6,,3600.132048,0.809838895,0.552536232,0.565217391,0.517615176,0.63963964,0.65942029,0.630136986,389201,7.251685381,6.8861413,83,68
ctmc,3,3,1104,BendersOCT,0,,0.8,3600,9,-103.8,,3600.041872,0.766859345,0.544384058,0.54076087,0.504065041,0.6,0.579234973,0.543010753,413911,7.322929621,7.051720142,85,72
ctmc,3,4,1104,BendersOCT,0,,0.5,3600,9,-251,,3600.132076,0.796812749,0.550724638,0.557065217,0.52303523,0.640449438,0.633333333,0.627586207,418667,7.134941578,6.835678339,106,90
ctmc,4,1,1104,BendersOCT,0,,0.8,3600,9,-102.2,,3600.117623,0.962773549,0.5625,0.532608696,0.528455285,0.666666667,0.611111111,0.619354839,29777,18.05527616,17.62615752,183,161
ctmc,4,2,1104,BendersOCT,0,,0.2,3600,9,-384.2,,3600.2183,0.997917751,0.567934783,0.586956522,0.487804878,0.704834606,0.731343284,0.647058824,27363,17.48136497,16.72089839,184,158
ctmc,4,3,1104,BendersOCT,0,,0.4,3600,9,-298.4,,3600.200576,0.991957105,0.557971014,0.548913043,0.512195122,0.577487765,0.587378641,0.545,27339,18.03931689,17.46625209,173,151
ctmc,4,4,1104,BendersOCT,0,,0.5,3600,9,-247.5,,3600.203349,0.991110004,0.563405797,0.551630435,0.504065041,0.601027397,0.589473684,0.571428571,26553,17.3965385,16.88811493,167,148
