dataset,depth,split,method,tau_0,key_beta_p,beta_p,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec
blsc,2,1,IDSA-PIP,,1,0.88,0.91025641,,924.5418558,,0,0.91,0.892,0.91,0.892,0.925,0.92
blsc,2,2,IDSA-PIP,,1,0.88,0.923076923,,861.3009751,,0,0.923,0.93,0.923,0.93,0.962,0.986
blsc,2,3,IDSA-PIP,,1,0.88,0.891025641,,1452.785329,,0,0.891,0.873,0.891,0.879,0.953,0.971
blsc,2,4,IDSA-PIP,,1,0.88,0.923076923,,894.3811748,,0,0.923,0.86,0.923,0.86,0.918,0.848
blsc,2,1,IDSA-PIP,,1,0.89,0.914529915,,960.8649859,,0,0.915,0.879,0.915,0.885,0.918,0.907
blsc,2,2,IDSA-PIP,,1,0.89,0.925213675,,876.4429574,,0,0.925,0.885,0.925,0.885,0.929,0.944
blsc,2,3,IDSA-PIP,,1,0.89,0.931623932,,1364.992153,,0,0.932,0.866,0.932,0.879,0.967,0.985
blsc,2,4,IDSA-PIP,,1,0.89,0.925213675,,916.4554958,,0,0.925,0.866,0.925,0.879,0.946,0.882
blsc,2,1,IDSA-PIP,,1,0.9,0.927350427,,996.6559834,,0,0.927,0.879,0.927,0.879,0.921,0.907
blsc,2,2,IDSA-PIP,,1,0.9,0.925213675,,1090.011257,,0,0.925,0.885,0.925,0.885,0.925,0.944
blsc,2,3,IDSA-PIP,,1,0.9,0.91025641,,1495.727087,,0,0.91,0.885,0.91,0.898,0.914,0.908
blsc,2,4,IDSA-PIP,,1,0.9,0.914529915,,760.4110882,,0,0.915,0.873,0.915,0.885,0.922,0.882
blsc,2,1,IDSA-PIP,,1,0.91,0.91025641,,1141.49442,,0,0.91,0.879,0.91,0.879,0.917,0.896
blsc,2,2,IDSA-PIP,,1,0.91,0.923076923,,1237.096674,,0,0.923,0.924,0.923,0.93,0.962,0.986
blsc,2,3,IDSA-PIP,,1,0.91,0.931623932,,1421.565627,,0,0.932,0.866,0.932,0.879,0.967,0.985
blsc,2,4,IDSA-PIP,,1,0.91,0.927350427,,813.3904872,,0,0.927,0.854,0.927,0.873,0.934,0.88
blsc,2,1,IDSA-PIP,,1,0.92,0.927350427,,831.4889934,,0,0.927,0.873,0.927,0.873,0.925,0.895
