dataset,depth,split,method,tau_0,key_beta_p,beta_p,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec
ctmc,2,1,IDSA-PIP,5,1,0.54,0.514492754,,1079.977725,,0,0.514,0.472,0.514,0.472,0.692,0.617
ctmc,2,2,IDSA-PIP,4,1,0.54,0.564311594,,1216.042963,,0,0.564,0.477,0.564,0.477,0.651,0.562
ctmc,2,3,IDSA-PIP,6,1,0.54,0.523550725,,1046.179723,,0,0.524,0.501,0.525,0.509,0.694,0.674
ctmc,2,4,IDSA-PIP,5,1,0.54,0.518115942,,1241.23736,,0,0.518,0.504,0.518,0.504,0.715,0.673
ctmc,2,1,IDSA-PIP,5,1,0.56,0.52807971,,933.1256812,,0,0.528,0.466,0.528,0.466,0.687,0.607
ctmc,2,2,IDSA-PIP,4,1,0.56,0.55615942,,668.0951006,,0,0.556,0.477,0.556,0.477,0.653,0.563
ctmc,2,3,IDSA-PIP,6,1,0.56,0.532608696,,952.875493,,0,0.533,0.463,0.534,0.477,0.745,0.674
ctmc,2,4,IDSA-PIP,5,1,0.56,0.533514493,,852.9449041,,0,0.534,0.501,0.534,0.501,0.636,0.623
ctmc,2,1,IDSA-PIP,5,1,0.58,0.528985507,,992.0075648,,0,0.529,0.466,0.529,0.466,0.691,0.613
ctmc,2,2,IDSA-PIP,4,1,0.58,0.572463768,,1044.948219,,0,0.572,0.482,0.572,0.482,0.692,0.583
ctmc,2,3,IDSA-PIP,6,1,0.58,0.533514493,,1459.178439,,0,0.534,0.482,0.534,0.491,0.759,0.704
ctmc,2,4,IDSA-PIP,5,1,0.58,0.515398551,,813.3412557,,0,0.515,0.504,0.515,0.515,0.892,0.853
ctmc,2,1,IDSA-PIP,5,1,0.6,0.503623188,,996.0465105,,0,0.504,0.461,0.504,0.461,0.7,0.646
ctmc,2,2,IDSA-PIP,4,1,0.6,0.561594203,,910.8442664,,0,0.562,0.474,0.562,0.482,0.657,0.585
ctmc,2,3,IDSA-PIP,6,1,0.6,0.537137681,,1556.870516,,0,0.537,0.491,0.539,0.496,0.713,0.667
ctmc,2,4,IDSA-PIP,5,1,0.6,0.543478261,,1329.067305,,0,0.543,0.501,0.543,0.504,0.75,0.686
ctmc,2,1,IDSA-PIP,5,1,0.62,0.531702899,,1413.746793,,0,0.532,0.491,0.532,0.491,0.791,0.787
ctmc,2,2,IDSA-PIP,4,1,0.62,0.566123188,,908.2361934,,0,0.566,0.474,0.566,0.477,0.656,0.566
ctmc,2,3,IDSA-PIP,6,1,0.62,0.519927536,,1076.785234,,0,0.52,0.485,0.521,0.501,0.725,0.7
ctmc,2,4,IDSA-PIP,5,1,0.62,0.539855072,,1191.413698,,0,0.54,0.52,0.54,0.52,0.792,0.779
ctmc,2,1,IDSA-PIP,5,1,0.64,0.525362319,,861.193074,,0,0.525,0.469,0.525,0.469,0.708,0.636
ctmc,2,2,IDSA-PIP,4,1,0.64,0.558876812,,680.6313803,,0,0.559,0.461,0.563,0.469,0.68,0.573
ctmc,2,3,IDSA-PIP,6,1,0.64,0.52173913,,1125.482147,,0,0.522,0.499,0.523,0.512,0.751,0.736
ctmc,2,4,IDSA-PIP,5,1,0.64,0.522644928,,1079.814431,,0,0.523,0.499,0.524,0.509,0.874,0.827
ctmc,2,1,IDSA-PIP,5,1,0.66,0.52807971,,1179.321918,,0,0.528,0.493,0.528,0.507,0.793,0.813
ctmc,2,2,IDSA-PIP,4,1,0.66,0.545289855,,1105.600426,,0,0.545,0.474,0.545,0.474,0.793,0.679
ctmc,2,3,IDSA-PIP,6,1,0.66,0.530797101,,1361.219143,,0,0.531,0.491,0.534,0.499,0.831,0.713
ctmc,2,4,IDSA-PIP,5,1,0.66,0.519021739,,1001.198057,,0,0.519,0.496,0.519,0.509,0.855,0.851
ctmc,2,1,IDSA-PIP,5,1,0.68,0.560688406,,1622.928666,,0,0.561,0.504,0.561,0.504,0.792,0.705
ctmc,2,2,IDSA-PIP,4,1,0.68,0.54076087,,1167.88117,,0,0.541,0.466,0.541,0.466,0.803,0.679
ctmc,2,3,IDSA-PIP,6,1,0.68,0.523550725,,1342.615354,,0,0.524,0.458,0.526,0.463,0.826,0.72
ctmc,2,4,IDSA-PIP,5,1,0.68,0.510869565,,982.0039303,,0,0.511,0.485,0.512,0.491,0.79,0.756
ctmc,2,1,IDSA-PIP,5,1,0.7,0.530797101,,1716.936516,,0,0.531,0.515,0.531,0.515,0.789,0.813
ctmc,2,2,IDSA-PIP,4,1,0.7,0.546195652,,1341.372278,,0,0.546,0.463,0.546,0.463,0.823,0.714
