dataset,depth,split,method,restricted_class,beta_p,objective_value,optimality_gap,time,gamma,train_acc,test_acc,train_prec,test_prec
ctmc,2,1,U-BinOCT,0,,488,6.82E-05,104.384753,,0.557971014,0.509485095,0.64208243,0.594936709
ctmc,2,2,U-BinOCT,0,,488,8.72E-05,103.7589171,,0.557971014,0.493224932,0.656750572,0.618320611
ctmc,2,3,U-BinOCT,0,,502,9.20E-05,123.5743341,,0.545289855,0.547425474,0.640522876,0.6
ctmc,2,4,U-BinOCT,0,,493,2.82E-05,96.14765596,,0.553442029,0.52303523,0.63362069,0.619354839
ctmc,3,1,U-BinOCT,0,,477,1,3600.318928,,0.567934783,0.498644986,0.63877551,0.568862275
ctmc,3,2,U-BinOCT,0,,453,1,3600.487225,,0.589673913,0.509485095,0.637867647,0.587209302
ctmc,3,3,U-BinOCT,0,,476,1,3600.515893,,0.56884058,0.555555556,0.641547862,0.609467456
ctmc,3,4,U-BinOCT,0,,461,1,3600.254955,,0.582427536,0.544715447,0.686915888,0.7
ctmc,4,1,U-BinOCT,0,,466,1,3600.50922,,0.577898551,0.490514905,0.64742268,0.562874251
ctmc,4,2,U-BinOCT,0,,448,1,3600.712124,,0.594202899,0.506775068,0.738461538,0.669565217
ctmc,4,3,U-BinOCT,0,,464,1,3600.44443,,0.579710145,0.552845528,0.625475285,0.595628415
ctmc,4,4,U-BinOCT,0,,464,1,3600.48132,,0.579710145,0.501355014,0.632612967,0.572254335
