dataset,depth,split,method,tau_0,key_beta_p,beta_p,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec
ctmc,2,1,U-PIP,5,1,,0.509057971,,194.6005888,,,0.509,0.447,0.509,0.447,0.531,0.49
ctmc,2,2,U-PIP,4,1,,0.569746377,,334.7803445,,,0.57,0.488,0.57,0.488,0.679,0.59
ctmc,2,3,U-PIP,6,1,,0.548007246,,547.6118722,,,0.548,0.493,0.548,0.493,0.614,0.555
ctmc,2,4,U-PIP,5,1,,0.513586957,,406.2990377,,,0.514,0.461,0.514,0.472,0.541,0.5
ctmc,3,1,U-PIP,3,1,,0.605072464,,468.8451302,,,0.605,0.528,0.605,0.531,0.663,0.593
ctmc,3,2,U-PIP,7,1,,0.608695652,,531.6479506,,,0.609,0.491,0.61,0.499,0.635,0.538
ctmc,3,3,U-PIP,3,1,,0.583333333,,315.8724215,,,0.583,0.531,0.583,0.531,0.681,0.609
ctmc,3,4,U-PIP,6,1,,0.595108696,,554.9178011,,,0.595,0.561,0.595,0.561,0.769,0.752
ctmc,4,1,U-PIP,9,1,,0.629528986,,565.9953523,,,0.63,0.537,0.63,0.55,0.724,0.647
ctmc,4,2,U-PIP,7,1,,0.61865942,,526.997541,,,0.619,0.501,0.619,0.509,0.714,0.639
ctmc,4,3,U-PIP,9,1,,0.643115942,,690.653652,,,0.643,0.542,0.644,0.561,0.708,0.612
ctmc,4,4,U-PIP,3,1,,0.604166667,,385.2734411,,,0.604,0.531,0.604,0.539,0.678,0.613
