dataset,depth,split,method,tau_0,key_beta,beta,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec
wine,2,1,Full MIP,8.0,2,0.98,1.0,0.0,988.4420869350433,988.6843719482422,0.0,1.0,0.911,1.0,0.911,1.0,1.0
wine,2,1,IDSA-PIP,8.0,2,0.98,1.0,,36.37810659408569,,0.0,1.0,0.867,1.0,0.867,1.0,1.0
wine,2,2,Full MIP,9.0,2,0.98,1.0,0.0,81.15810894966125,81.24495601654053,0.0,1.0,0.933,1.0,0.933,1.0,0.857
wine,2,2,IDSA-PIP,9.0,2,0.98,1.0,,71.36940217018127,,0.0,1.0,0.889,1.0,0.933,1.0,0.944
wine,2,3,Full MIP,8.0,2,0.98,1.0,0.0,1058.7037830352783,1058.970554113388,0.0,1.0,0.911,1.0,0.911,1.0,0.889
wine,2,3,IDSA-PIP,8.0,2,0.98,1.0,,124.04444670677185,,0.0,1.0,0.889,1.0,0.911,1.0,0.938
wine,2,4,Full MIP,4.0,2,0.98,0.9774436090225563,0.023076923076923134,2974.955789089203,3600.230756998062,0.0,0.977,0.933,0.977,0.933,1.0,1.0
wine,2,4,IDSA-PIP,4.0,2,0.98,0.9924812030075187,,496.81835198402405,,0.0,0.992,0.956,0.992,0.978,1.0,1.0
wine,3,1,Full MIP,7.0,2,0.99,1.0,0.0,67.14989805221558,67.32329392433167,0.0,1.0,0.778,1.0,0.778,1.0,0.8
wine,3,1,IDSA-PIP,7.0,2,0.99,1.0,,153.15407705307007,,0.0,1.0,0.867,1.0,0.889,1.0,0.882
wine,3,2,Full MIP,10.0,2,0.99,1.0,0.0,91.38538312911987,91.52533292770386,0.0,1.0,0.911,1.0,0.911,1.0,0.818
wine,3,2,IDSA-PIP,10.0,2,0.99,1.0,,4.907989978790283,,0.0,1.0,0.889,1.0,0.933,1.0,1.0
wine,3,3,Full MIP,7.0,2,0.99,0.669172932330827,0.4943820224719103,178.89223098754883,3600.210258960724,0.0,0.669,0.622,0.669,0.667,1.0,1.0
wine,3,3,IDSA-PIP,7.0,2,0.99,1.0,,327.8334047794342,,0.0,1.0,0.8,1.0,0.867,1.0,0.929
wine,3,4,Full MIP,7.0,2,0.99,1.0,0.0,446.03400802612305,446.2040901184082,0.0,1.0,0.911,1.0,0.933,1.0,0.941
wine,3,4,IDSA-PIP,7.0,2,0.99,0.9999999999999999,,2.624117136001587,,0.0,1.0,0.911,1.0,0.911,1.0,1.0
wine,4,1,Full MIP,10.0,2,0.99,1.0,0.0,3600.1023910045624,3600.420248031616,0.0,1.0,0.844,1.0,0.844,1.0,0.824
wine,4,1,IDSA-PIP,10.0,2,0.99,0.9999999999999999,,6.486740589141846,,0.0,1.0,0.867,1.0,0.867,1.0,0.875
wine,4,2,Full MIP,7.0,2,0.99,1.0,0.0,509.0777111053467,509.32671904563904,0.0,1.0,0.889,1.0,0.911,1.0,0.818
wine,4,2,IDSA-PIP,7.0,2,0.99,1.0,,7.999918699264526,,0.0,1.0,0.911,1.0,0.956,1.0,0.944
wine,4,3,Full MIP,10.0,2,0.99,0.9999999999999999,0.0,1765.5536141395569,1765.807538986206,0.0,1.0,0.844,1.0,0.889,1.0,0.941
wine,4,3,IDSA-PIP,10.0,2,0.99,1.0,,43.869828939437866,,0.0,1.0,0.889,1.0,0.911,1.0,1.0
wine,4,4,Full MIP,8.0,2,0.99,1.0,0.0,291.32019805908203,291.58354592323303,0.0,1.0,0.911,1.0,0.911,1.0,0.938
wine,4,4,IDSA-PIP,8.0,2,0.99,1.0,,5.621800184249878,,0.0,1.0,0.844,1.0,0.933,1.0,0.941
